report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,6988062000.0,662024000.0,638671000.0,2408538000.0,4567912000.0,1657428000.0,324266000.0,218983000.0,374442000.0,43013000.0,191479000.0,31491000.0,2702000.0,0.78,,-72047000.0,6519000.0,,-78566000.0,1981694000.0,,6.8454,10.3343,0.78,43013000.0,0.0419182768844934,0.02740087308899091,0.5113715875889991,0.1148722632610658,0.006155211559370824,0.006567265267559606,-0.20982154779645446,0.1148722632610658,0.4338292856780078,1.0365649919911817,,,,,,,1.5332812,71.04,35.53,3.32765,8606.896,11.602,1.1104,0.767
2010-06-30,6430701000.0,764516000.0,729732000.0,2445827000.0,3974752000.0,1625086000.0,380725000.0,248237000.0,786919000.0,123814000.0,-43665000.0,62988000.0,7367000.0,-0.18,,-57642000.0,12583000.0,,-70225000.0,2005811000.0,,20.1401,5.3657,-0.18,123814000.0,-0.010985591050712095,-0.006790084004838663,-0.05548855727209535,0.15734020909394741,0.019253577487119988,0.020702733170773386,-0.08924044279017282,0.15734020909394741,0.5046380252151581,1.0476668146662063,,,,,,,1.5332812,71.04,35.53,3.32765,8606.896,11.602,1.1104,0.767
2010-09-30,7307335000.0,683777000.0,820498000.0,2517836000.0,4783391000.0,1608376000.0,134924000.0,323284000.0,734360000.0,,244090000.0,94334000.0,10936000.0,1.0,,45900000.0,20108000.0,,25792000.0,1743300000.0,,37.4896,6.1984,1.0,,0.05102865310404272,0.03340342272524799,0.33238466147393647,,,,0.03512173865678959,,0.364448567971968,0.8333682714644033,,,,,,,1.5332812,71.04,35.53,3.32765,8606.896,11.602,1.1104,0.767
2010-12-31,9350298000.0,985590000.0,747840000.0,2386917000.0,6956758000.0,1548469000.0,142659000.0,441340000.0,-575717000.0,,1547408000.0,-64004000.0,-1160323000.0,6.25,,515055000.0,5134000.0,,509921000.0,1691128000.0,1.0,3.6609,5.3788,6.25,,0.22243234564146117,0.16549290728488011,-2.6877927870811527,,,,-0.8857146827347464,,0.243091394008531,1.3179155969191272,1320004000.0,1939312000.0,386922000.0,124809000.0,7.85,7.85,1.5332812,71.04,35.53,3.32765,8606.896,11.602,1.1104,0.767
2011-03-31,9224385000.0,767672000.0,720350000.0,2316274000.0,6902674000.0,1506237000.0,33550000.0,313932000.0,284034000.0,,10507000.0,28977000.0,39053000.0,0.04,,-17775000.0,4052000.0,,-21827000.0,1539787000.0,,5.2167,6.8216,0.04,,0.001522163729592329,0.0011390461261103044,0.03699205024750558,,,,-0.07684643387763437,,0.22307108810295836,1.0656930658707573,1229596000.0,1758340000.0,443661000.0,122295000.0,7.109999999999999,7.109999999999999,1.5332812,71.04,35.53,3.32765,8606.896,11.602,1.1104,0.767
2011-06-30,9192181000.0,1487852000.0,826372000.0,2386702000.0,6800725000.0,1471239000.0,1040000.0,539092000.0,1037475000.0,,196816000.0,56814000.0,229161000.0,0.8,,1924000.0,21264000.0,,-19340000.0,1472279000.0,,3.8258,4.7799,0.8,,0.02894044384973661,0.021411240705551816,0.18970673992144388,,,,-0.018641413046097496,,0.21648853614871943,1.8004627455915738,1480152000.0,1998821000.0,494546000.0,116121000.0,8.09,8.09,1.5332812,71.04,35.53,3.32765,8606.896,11.602,1.1104,0.767
2011-08-31,45125243000.0,,,41633555000.0,3174735000.0,4580978000.0,353000000.0,2014950000.0,2730898000.0,,236232000.0,736068000.0,107899000.0,1.07,213661000.0,-1009002000.0,60275000.0,53786000.0,-1069277000.0,4933978000.0,,3.8258,4.7799,1.07,,0.07440999012516006,0.005235029980891183,0.08650341389535603,,,,-0.39154776194497193,,1.554138534397359,,3476690000.0,1990963000.0,-600523000.0,757855000.0,8.16,8.16,1.5332812,71.04,35.53,3.32765,8606.896,11.602,1.1104,0.767
2011-09-30,8215054000.0,1419413000.0,659299000.0,2186651000.0,6023442000.0,1471294000.0,1103000.0,306270000.0,1273533000.0,,-94206000.0,84352000.0,243196000.0,-0.39,,22954000.0,30889000.0,,-7935000.0,1472397000.0,,3.451,9.4742,-0.39,,-0.01563989493050651,-0.01146748396297821,-0.07397217033245311,,,,-0.006230698380018421,,0.2444444555123134,2.1529124115158678,5325940000.0,349349000.0,-1118379000.0,906211000.0,1.52,1.52,1.5332812,71.04,35.53,3.32765,8606.896,11.602,1.1104,0.767
2011-11-30,34971422000.0,,,31434447000.0,3224312000.0,4608926000.0,52721000.0,2393797000.0,-1796302000.0,,-64731000.0,74614000.0,-486343000.0,-0.24,1510000.0,718912000.0,-39150000.0,14736000.0,679762000.0,4661647000.0,,3.451,9.4742,-0.24,,-0.02007591076794057,-0.0018509684850676075,0.0360357000103546,,,,-0.3784230045949957,,1.4457803711303372,,3245604000.0,274111000.0,-416790000.0,951848000.0,1.2400000000000002,1.2400000000000002,1.5332812,71.04,35.53,3.32765,8606.896,11.602,1.1104,0.767
2011-12-31,9263189000.0,1253479000.0,877132000.0,2849019000.0,6174396000.0,1875571000.0,30133000.0,168490000.0,-3755172000.0,,-324118000.0,-794334000.0,-349056000.0,-1.42,,1010983000.0,-77894000.0,,933089000.0,1905704000.0,1.1291,233.1298,4519.1308,-1.42,,-0.05249387956328036,-0.0349898938691632,0.08631242457069876,,,,-0.2484810282991032,,0.30864622223777033,1.4290654086272077,-1547043000.0,-246823000.0,535639000.0,100700000.0,-0.9799999999999998,-0.9799999999999998,1.5332812,71.04,35.53,3.32765,8606.896,11.602,1.1104,0.767
