report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-27,57057000000.0,32336000000.0,12229000000.0,17709000000.0,39348000000.0,,10018000000.0,,29182000000.0,12036000000.0,8704000000.0,6452000000.0,2335000000.0,7.0,921331000.0,8111000000.0,,,,0.0,,19.4904,4.122,7.0,8704000000.0,0.1639727559215208,0.11307990255358677,0.2210951956685628,0.412446028373655,0.29826605441710646,0.15254920518078413,0.22120565212971435,,0.29826605441710646,0.0,2.644206394635702,,,,,,,,,,1.1241058,288.62,169.2101,36.37246,3669404.0,31.1555,50.978,8.4235
2010-06-26,64725000000.0,36033000000.0,15612000000.0,21614000000.0,43111000000.0,,9705000000.0,,44882000000.0,18172000000.0,12938000000.0,9705000000.0,3374000000.0,10.0,923341000.0,12912000000.0,,,,0.0,,19.9506,4.2764,10.0,12938000000.0,0.2251165595787618,0.1499420625724218,0.21623367942605054,0.40488391782897376,0.2882670112740074,0.19989185013518734,0.3001090208995384,,0.2882670112740074,0.0,2.308032282859339,,,,,,,,,,1.1241058,288.62,169.2101,36.37246,3669404.0,31.1555,50.978,8.4235
2010-09-25,75183000000.0,41678000000.0,20722000000.0,27392000000.0,47791000000.0,,11261000000.0,,65225000000.0,25684000000.0,18385000000.0,14013000000.0,4527000000.0,15.0,924712000.0,18595000000.0,,,,0.0,2.0113,18.9822,4.0781,15.0,18385000000.0,0.2932142035111213,0.18638522006304617,0.21484093522422384,0.39377539287083174,0.2818704484476811,0.24453666387348202,0.38469586323784816,,0.2818704484476811,0.0,2.0112923462986196,,,,,,,,,,1.1241058,288.62,169.2101,36.37246,3669404.0,31.1555,50.978,8.4235
2010-12-25,86742000000.0,43927000000.0,23795000000.0,32076000000.0,54666000000.0,,10734000000.0,,26741000000.0,10298000000.0,7827000000.0,6004000000.0,1959000000.0,6.0,933154000.0,9773000000.0,,,,0.0,,17.8996,3.9043,6.0,7827000000.0,0.10983060769033769,0.0692167577413479,0.22452413896264165,0.38510152948655624,0.2926966082046296,0.09023310507020821,0.14317857534847986,,0.2926966082046296,0.0,1.846060096658962,166030000000.0,36174000000.0,47854000000.0,66190000000.0,,47854000000.0,38.0,38.0,0.0,1.1241058,288.62,169.2101,36.37246,3669404.0,31.1555,50.978,8.4235
2011-03-26,94904000000.0,46997000000.0,24327000000.0,33427000000.0,61477000000.0,,15978000000.0,,51408000000.0,20516000000.0,15701000000.0,11991000000.0,3872000000.0,12.0,934549000.0,15992000000.0,,,,0.0,,16.5125,3.6918,12.0,15701000000.0,0.1950485547440506,0.1263487313495743,0.2332516339869281,0.3990818549642079,0.3054193899782135,0.1654408665598921,0.2553963270816728,,0.3054193899782135,0.0,1.9318863813869362,188256000000.0,41713000000.0,54851000000.0,74670000000.0,,54851000000.0,43.0,43.0,0.0,1.1241058,288.62,169.2101,36.37246,3669404.0,31.1555,50.978,8.4235
2011-06-25,106758000000.0,46898000000.0,26859000000.0,37415000000.0,69343000000.0,,12091000000.0,,79979000000.0,32438000000.0,25080000000.0,19299000000.0,6115000000.0,20.0,935688000.0,27100000000.0,,,,0.0,,13.007,3.0607,20.0,25080000000.0,0.27831215840099216,0.18077333782948352,0.2413008414708861,0.4055814651345978,0.3135823153577814,0.23492384645647166,0.36168034264453514,,0.3135823153577814,0.0,1.7460813879891284,223353000000.0,51307000000.0,66993000000.0,88936000000.0,,66993000000.0,53.0,53.0,0.0,1.1241058,288.62,169.2101,36.37246,3669404.0,31.1555,50.978,8.4235
2011-09-24,116371000000.0,44988000000.0,27970000000.0,39756000000.0,76615000000.0,,9815000000.0,,-49879000000.0,-19434000000.0,-14818000000.0,-11372000000.0,-3663000000.0,-11.0,-1866746000.0,-15336000000.0,,,,0.0,1.6084,14.4532,3.4611,-11.0,-14818000000.0,-0.14843046400835347,-0.09772194103341898,0.2279917400108262,0.3896228873874777,0.2970789310130516,-0.1273341296371089,-0.19340860144880245,,0.2970789310130516,0.0,1.6084376117268502,108249000000.0,25922000000.0,33790000000.0,43818000000.0,,33790000000.0,27.0,27.0,0.0,1.1241058,288.62,169.2101,36.37246,3669404.0,31.1555,50.978,8.4235
2011-12-31,138681000000.0,54771000000.0,34607000000.0,48627000000.0,90054000000.0,,10310000000.0,,46333000000.0,20703000000.0,17340000000.0,13064000000.0,4413000000.0,13.0,941572000.0,17554000000.0,,,,0.0,,11.6223,2.9985,13.0,17340000000.0,0.14506851444688743,0.09420180125612015,0.28195886301340295,0.4468305527377895,0.37424729674314205,0.12503515261643627,0.19255113598507562,,0.37424729674314205,0.0,1.5826566879533042,127841000000.0,32982000000.0,43303000000.0,54223000000.0,,43303000000.0,34.0,34.0,0.0,1.1241058,288.62,169.2101,36.37246,3669404.0,31.1555,50.978,8.4235
2012-03-31,150934000000.0,50712000000.0,32036000000.0,48436000000.0,102498000000.0,,10121000000.0,,85519000000.0,39267000000.0,32724000000.0,24686000000.0,8323000000.0,26.0,943185000.0,31531000000.0,,,,0.0,,14.9781,4.063,26.0,32724000000.0,0.2408437237799762,0.16355493129447307,0.2886609993100948,0.459161122089828,0.3826518083700698,0.21680999642227727,0.3192647661417784,,0.3826518083700698,0.0,1.5829691596953428,161952000000.0,45677000000.0,60326000000.0,72974000000.0,,60326000000.0,48.0,48.0,0.0,1.1241058,288.62,169.2101,36.37246,3669404.0,31.1555,50.978,8.4235
2012-06-30,162896000000.0,51943000000.0,33060000000.0,51150000000.0,111746000000.0,,7945000000.0,,120542000000.0,54261000000.0,44297000000.0,33510000000.0,11360000000.0,35.0,944440000.0,41720000000.0,,,,0.0,,13.7198,3.7001,35.0,44297000000.0,0.29987650564673457,0.20571407523818877,0.2779943919961507,0.4501418592689685,0.36748187353785405,0.2719342402514488,0.3964079251158878,,0.36748187353785405,0.0,1.5711736237144585,202515000000.0,59888000000.0,79543000000.0,94797000000.0,,79543000000.0,63.0,63.0,0.0,1.1241058,288.62,169.2101,36.37246,3669404.0,31.1555,50.978,8.4235
