report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,4289561000.0,862323000.0,448304000.0,1841395000.0,2448166000.0,1007443000.0,191285000.0,534441000.0,279565000.0,100716000.0,59725000.0,16181000.0,25257000.0,0.62,96036000.0,95086000.0,1007443000.0,,21.8807,2.6068,0.62,100716000.0,0.024395813029018457,0.013923336210861672,0.11175227948454554,0.5230979659120464,0.18845111059967332,0.023479325739860092,0.029145658551068713,0.18845111059967332,0.41150926857084036,1.9235228773332382,,,,,,,,,,,0.8867108,594.25,313.07,1.30485,36105.945,23.5019,2.4099,4.5689
2010-06-30,4387327000.0,985468000.0,474180000.0,1879850000.0,2507477000.0,1016400000.0,290740000.0,1101545000.0,581512000.0,219903000.0,131006000.0,32474000.0,55213000.0,1.36,96235000.0,205355000.0,1016400000.0,,20.2764,2.4562,1.36,219903000.0,0.0522461422377952,0.0298600947684091,0.11892932199773953,0.5279058050283919,0.1996314267687657,0.05012231821334494,0.062403710458679464,0.1996314267687657,0.4053476861402916,2.078257201906449,,,,,,,,,,,0.8867108,594.25,313.07,1.30485,36105.945,23.5019,2.4099,4.5689
2010-09-30,5056127000.0,957642000.0,509346000.0,2419752000.0,2636375000.0,1380742000.0,250813000.0,1706633000.0,903261000.0,348136000.0,215269000.0,49608000.0,84680000.0,2.23,96374000.0,344418000.0,1380742000.0,,21.3744,2.7159,2.23,348136000.0,0.08165340666635057,0.04257586884190211,0.12613666793036346,0.5292649327652752,0.20398996152072532,0.06885428313015081,0.08666314672935839,0.20398996152072532,0.5237274666919539,1.8801404153561625,,,,,,,,,,,0.8867108,594.25,313.07,1.30485,36105.945,23.5019,2.4099,4.5689
2010-12-31,5069524000.0,998091000.0,539645000.0,2318617000.0,2750907000.0,1247703000.0,270394000.0,-956507000.0,-489212000.0,-154461000.0,-83420000.0,-31730000.0,-39336000.0,-0.8700000000000001,-191992000.0,-145319000.0,1247703000.0,1.8495,22.4306,3.0324,-0.8700000000000001,-154461000.0,-0.03032454386862224,-0.01645519382095834,0.0872131620573608,0.5114567901750849,0.1614844428739152,-0.030468541030676647,-0.03862867346402875,0.1614844428739152,0.45356058928927806,1.8495325630738726,2386112000.0,322580000.0,514294000.0,1275126000.0,514294000.0,66533000.0,3.3400000000000003,3.3400000000000003,2.426050080304262,7.729908466475283,0.8867108,594.25,313.07,1.30485,36105.945,23.5019,2.4099,4.5689
2011-03-31,5096894000.0,1029640000.0,507541000.0,2214765000.0,2882129000.0,1159961000.0,261447000.0,645309000.0,350096000.0,142000000.0,88979000.0,16696000.0,37036000.0,0.91,98153000.0,86584000.0,1159961000.0,,23.4281,3.3011,0.91,142000000.0,0.030872663923092965,0.017457494701675177,0.13788588102753874,0.5425245889953495,0.22004961963958353,0.027860104604882894,0.035130340986964666,0.22004961963958353,0.40246671817951246,2.02868339700635,2496980000.0,351834000.0,555578000.0,1345657000.0,555578000.0,67048000.0,3.6300000000000003,3.6300000000000003,2.0878454510437776,8.286272521178857,0.8867108,594.25,313.07,1.30485,36105.945,23.5019,2.4099,4.5689
2011-06-30,5263992000.0,1002059000.0,541623000.0,2280438000.0,2983554000.0,1173694000.0,196027000.0,1345180000.0,727159000.0,305970000.0,195290000.0,32892000.0,85742000.0,1.99,98282000.0,242517000.0,1173694000.0,,20.6487,3.0376,1.99,305970000.0,0.06545549368303707,0.037099220515532695,0.14517759705020888,0.54056631826224,0.22745654856599118,0.05812508833600051,0.0735991694505596,0.22745654856599118,0.3933878857228661,1.850104223786656,2740615000.0,416118000.0,641645000.0,1491304000.0,641645000.0,67466000.0,4.26,4.26,1.829195271528649,9.51064239765215,0.8867108,594.25,313.07,1.30485,36105.945,23.5019,2.4099,4.5689
2011-09-30,5258438000.0,1030023000.0,525829000.0,2189775000.0,3068663000.0,1103296000.0,246454000.0,2057885000.0,1109715000.0,473185000.0,305571000.0,48265000.0,127993000.0,3.11,98285000.0,409074000.0,1103296000.0,,16.0345,2.4185,3.11,473185000.0,0.0995778943468214,0.05811060242604363,0.1484878892649492,0.5392502496495188,0.22993753295252164,0.08998584750832851,0.11342033802345612,0.22993753295252164,0.35953638441236463,1.9588554454014517,3091867000.0,506420000.0,766694000.0,1697758000.0,766694000.0,66123000.0,5.140000000000001,5.140000000000001,1.4390304345671154,11.594966955522285,0.8867108,594.25,313.07,1.30485,36105.945,23.5019,2.4099,4.5689
2011-12-31,5319417000.0,1115473000.0,554196000.0,2124321000.0,3195096000.0,1015110000.0,338101000.0,-1251285000.0,-671406000.0,-260616000.0,-162593000.0,-34205000.0,-73031000.0,-1.67,-196334000.0,-136557000.0,1015110000.0,2.0128,19.9188,3.0425,-1.67,-260616000.0,-0.05088829881793849,-0.0305659435987064,0.12994082083618042,0.5365732027475755,0.20827868950718662,-0.0489933389316912,-0.06190100911926875,0.20827868950718662,0.3177087636803401,2.0127770680409096,2797089000.0,427247000.0,660539000.0,1515564000.0,660539000.0,63648000.0,4.34,4.34,1.5367904090447346,10.378000879839115,0.8867108,594.25,313.07,1.30485,36105.945,23.5019,2.4099,4.5689
2012-03-31,5430782000.0,1215912000.0,521358000.0,2098438000.0,3332344000.0,1014099000.0,451718000.0,711066000.0,391193000.0,170304000.0,108309000.0,15483000.0,46022000.0,1.09,99307000.0,141457000.0,1014099000.0,,21.5362,3.3594,1.09,170304000.0,0.03250234669649952,0.019943536676670138,0.1523191939988693,0.5501500563942026,0.23950519361071967,0.03135901975074676,0.039182384308272304,0.23950519361071967,0.3043200221825838,2.332201673322362,2862846000.0,446577000.0,688843000.0,1556661000.0,688843000.0,62435000.0,4.5200000000000005,4.5200000000000005,1.4721772595497087,11.032962280772002,0.8867108,594.25,313.07,1.30485,36105.945,23.5019,2.4099,4.5689
2012-06-30,5502181000.0,1325377000.0,512610000.0,2088170000.0,3414011000.0,1011817000.0,518898000.0,1435938000.0,788801000.0,349088000.0,223122000.0,30560000.0,94342000.0,2.24,99500000.0,260783000.0,1011817000.0,,20.8788,3.2902,2.24,349088000.0,0.06535479821242521,0.04055155582849783,0.15538414611215803,0.5493280350544383,0.24310798934215821,0.06344538647492694,0.07887518448525338,0.24310798934215821,0.2963719214730122,2.585546516845165,2953604000.0,474409000.0,731961000.0,1618303000.0,731961000.0,60103000.0,4.770000000000001,4.770000000000001,1.3823373103211782,12.17844367169692,0.8867108,594.25,313.07,1.30485,36105.945,23.5019,2.4099,4.5689
