report_date,total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_pe,eps,ebitda,roe,roa,net_margin,roi,roic,fcf_margin,debt_equity,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,200707587000.0,176333205000.0,24374382000.0,,,636263000.0,801676000.0,244359000.0,1.4,2023968000.0,73473000.0,147516000.0,1950495000.0,0.0,11.6076,1.4,,0.026103759266593918,0.0031700993943990768,,,,,0.0,,,,,,1.1203048,259.635,143.22,4.9288,113141.87,46.1239,1.3561,1.11745
2010-06-30,197489000000.0,172219000000.0,25270000000.0,,,1244000000.0,1540000000.0,613000000.0,2.73,4811000000.0,150000000.0,316000000.0,4661000000.0,0.0,9.1383,2.73,,0.04922833399287693,0.006299085012329801,,,,,0.0,,,,,,1.1203048,259.635,143.22,4.9288,113141.87,46.1239,1.3561,1.11745
2010-09-30,196933000000.0,170872000000.0,26061000000.0,,,2046000000.0,2245000000.0,948000000.0,4.49,8020000000.0,225000000.0,422000000.0,7795000000.0,0.0,7.4562,4.49,,0.07850811557499712,0.010389320225660505,,,,,0.0,,,,,,1.1203048,259.635,143.22,4.9288,113141.87,46.1239,1.3561,1.11745
2011-03-31,199300000000.0,171750000000.0,27550000000.0,,,1016000000.0,612000000.0,354000000.0,2.21,1869000000.0,67000000.0,167000000.0,1802000000.0,0.0,7.6287,2.21,,0.03687840290381125,0.005097842448569995,,,,,0.0,4942263000.0,16208495000.0,5198676000.0,10.83,10.83,1.1203048,259.635,143.22,4.9288,113141.87,46.1239,1.3561,1.11745
2011-06-30,199753000000.0,171072000000.0,28681000000.0,,,1927000000.0,1175000000.0,804000000.0,4.18,4361000000.0,159000000.0,299000000.0,4202000000.0,0.0,6.9227,4.18,,0.067187336564276,0.009646913938714313,,,,,0.0,6233000000.0,18460000000.0,5572000000.0,13.61,13.61,1.1203048,259.635,143.22,4.9288,113141.87,46.1239,1.3561,1.11745
2011-09-30,200148000000.0,170770000000.0,29378000000.0,,,2740000000.0,1727000000.0,1174000000.0,5.95,5916000000.0,269000000.0,424000000.0,5647000000.0,0.0,5.2968,5.95,,0.0932670705970454,0.013689869496572537,,,,,0.0,7729000000.0,19446000000.0,5759000000.0,16.83,16.83,1.1203048,259.635,143.22,4.9288,113141.87,46.1239,1.3561,1.11745
2011-12-31,206019000000.0,176353000000.0,29666000000.0,,,-2536000000.0,-1268000000.0,-998000000.0,-5.54,-4691000000.0,-180000000.0,-290000000.0,-4871000000.0,0.0,6.3905,-5.54,,-0.0854850670801591,-0.012309544265334751,,,,,0.0,3147000000.0,6780000000.0,2246000000.0,6.800000000000001,6.800000000000001,1.1203048,259.635,143.22,4.9288,113141.87,46.1239,1.3561,1.11745
2012-03-31,294481000000.0,257531000000.0,36950000000.0,,,1403000000.0,565000000.0,353000000.0,2.72,1466000000.0,156000000.0,234000000.0,1310000000.0,0.0,9.2516,2.72,,0.037970230040595396,0.004764314166278979,,,,,0.0,3534000000.0,6288000000.0,2199000000.0,7.3100000000000005,7.3100000000000005,1.1203048,259.635,143.22,4.9288,113141.87,46.1239,1.3561,1.11745
2012-06-30,296572000000.0,259380000000.0,37192000000.0,,,1496000000.0,1180000000.0,396000000.0,2.72,3152000000.0,262000000.0,692000000.0,2890000000.0,0.0,11.6987,2.72,,0.0402237040223704,0.005044306273012961,,,,,0.0,3103000000.0,4976000000.0,2204000000.0,5.8500000000000005,5.8500000000000005,1.1203048,259.635,143.22,4.9288,113141.87,46.1239,1.3561,1.11745
2012-09-30,301989000000.0,262317000000.0,39672000000.0,,,2674000000.0,1788000000.0,931000000.0,4.75,8133000000.0,359000000.0,1257000000.0,7774000000.0,0.0,10.9487,4.75,,0.06740270215769309,0.008854627155293737,,,,,0.0,3037000000.0,7103000000.0,2265000000.0,4.65,4.65,1.1203048,259.635,143.22,4.9288,113141.87,46.1239,1.3561,1.11745
2012-12-31,312918000000.0,272419000000.0,40499000000.0,,,-2056000000.0,-1158000000.0,-379000000.0,-4.030000000000001,-3691000000.0,-217000000.0,-321000000.0,-3908000000.0,0.0,9.0932,-4.030000000000001,,-0.05076668559717524,-0.006570411417687701,,,,,0.0,3517000000.0,8066000000.0,2375000000.0,6.16,6.16,1.1203048,259.635,143.22,4.9288,113141.87,46.1239,1.3561,1.11745
2013-03-31,300163000000.0,258867000000.0,41296000000.0,,,1066000000.0,481000000.0,494000000.0,1.79,2794000000.0,236000000.0,341000000.0,2558000000.0,0.0,9.3245,1.79,,0.025813638124757846,0.003551403737302732,,,,,0.0,3180000000.0,9314000000.0,2291000000.0,5.229999999999999,5.229999999999999,1.1203048,259.635,143.22,4.9288,113141.87,46.1239,1.3561,1.11745
2013-06-30,296542000000.0,255501000000.0,41041000000.0,,,2183000000.0,938000000.0,1075000000.0,3.0,5632000000.0,450000000.0,1152000000.0,5182000000.0,0.0,8.4976,3.0,,0.05319071172729709,0.007361520459159243,,,,,0.0,3867000000.0,11606000000.0,2049000000.0,5.509999999999999,5.509999999999999,1.1203048,259.635,143.22,4.9288,113141.87,46.1239,1.3561,1.11745
2013-09-30,289888000000.0,248138000000.0,41750000000.0,,,3300000000.0,1376000000.0,1600000000.0,5.0,15264000000.0,622000000.0,1647000000.0,14642000000.0,0.0,9.2952,5.0,,0.07904191616766468,0.011383706810906282,,,,,0.0,4493000000.0,18474000000.0,1637000000.0,5.759999999999999,5.759999999999999,1.1203048,259.635,143.22,4.9288,113141.87,46.1239,1.3561,1.11745
2013-12-31,297048000000.0,255304000000.0,41744000000.0,,,-2390000000.0,-1003000000.0,-1144000000.0,-2.829999999999999,-13706000000.0,-490000000.0,-1075000000.0,-14196000000.0,0.0,10.6285,-2.829999999999999,,-0.0572537370640092,-0.008045837709730413,,,,,0.0,4159000000.0,8186000000.0,1792000000.0,6.96,6.96,1.1203048,259.635,143.22,4.9288,113141.87,46.1239,1.3561,1.11745
2014-03-31,290500000000.0,247699000000.0,42801000000.0,,,1154000000.0,403000000.0,579000000.0,1.0,3159000000.0,129000000.0,514000000.0,3030000000.0,0.0,10.4576,1.0,,0.026961986869465666,0.003972461273666093,,,,,0.0,4247000000.0,8658000000.0,1714000000.0,6.170000000000001,6.170000000000001,1.1203048,259.635,143.22,4.9288,113141.87,46.1239,1.3561,1.11745
2014-06-30,298317000000.0,254502000000.0,43815000000.0,,,2348000000.0,800000000.0,1160000000.0,4.0,4920000000.0,250000000.0,1017000000.0,4670000000.0,0.0,10.7618,4.0,,0.0535889535547187,0.007870821977963039,,,,,0.0,4412000000.0,8146000000.0,1576000000.0,7.170000000000001,7.170000000000001,1.1203048,259.635,143.22,4.9288,113141.87,46.1239,1.3561,1.11745
2014-09-30,300202000000.0,256184000000.0,44018000000.0,,,3429000000.0,1190000000.0,1696000000.0,5.0,7701000000.0,405000000.0,1532000000.0,7296000000.0,0.0,10.6308,5.0,,0.07789995002044618,0.011422308978621062,,,,,0.0,4541000000.0,800000000.0,1390000000.0,7.170000000000001,7.170000000000001,1.1203048,259.635,143.22,4.9288,113141.87,46.1239,1.3561,1.11745
