report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-06-30,570099000.0,467550000.0,122883000.0,146984000.0,423115000.0,7406000.0,156089000.0,,207557000.0,20476000.0,10672000.0,7826000.0,0.21,50986000.0,-12325000.0,15209000.0,15349000.0,-27534000.0,7406000.0,,1.8138,32.2631,0.21,35825000.0,0.02522245725157463,0.018719555726286138,,,,0.035916568876633706,0.047560978442398864,,,0.017503515592687566,3.804838749053978,,,,,,,,,,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2010-09-30,642863000.0,536345000.0,152334000.0,181472000.0,461391000.0,10476000.0,133936000.0,,374929000.0,77165000.0,45529000.0,28932000.0,0.89,51047000.0,-31907000.0,22533000.0,23191000.0,-54440000.0,10476000.0,,2.3277,37.7517,0.89,100356000.0,0.09867769418996036,0.07082224361955813,,,,0.1200333508072482,0.16353124927151083,,,0.02270525432875804,3.5208489240747305,,,,,,,,,,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2010-12-31,675378000.0,555850000.0,149147000.0,178412000.0,496966000.0,9077000.0,203870000.0,,530507000.0,112355000.0,68477000.0,40442000.0,1.34,51282.0,50114000.0,30182000.0,31321000.0,19932000.0,9077000.0,3.7269,2.6286,40.8407,1.34,143676000.0,0.1377901103898456,0.1013906286553604,,,,0.1663586909849003,0.2220265866734645,,,0.01826483099447447,3.7268600776415215,,,,,,,,,,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2011-03-31,691710000.0,558104000.0,136056000.0,166535000.0,525175000.0,7660000.0,110844000.0,,145051000.0,21142000.0,12139000.0,7914000.0,0.23,52386000.0,-85497000.0,10846000.0,8613000.0,-96343000.0,7660000.0,,3.062,47.8277,0.23,29755000.0,0.023114200028561908,0.01754926197394862,,,,0.03056483208280927,0.03967832443439338,,,0.014585614319036511,4.102016816604928,,136817000.0,231138000.0,1258044000.0,-158385000.0,309612000.0,2.67,2.67,0.024740643127527356,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2011-06-30,766189000.0,621327000.0,172553000.0,227723000.0,538466000.0,31290000.0,119684000.0,,279830000.0,32500000.0,18380000.0,12372000.0,0.35,52452000.0,-83673000.0,30183000.0,16730000.0,-113856000.0,31290000.0,,3.24,52.4698,0.35,49230000.0,0.034134002889690346,0.02398885914571992,,,,0.04241773243938506,0.05704196182225374,,,0.058109518521132254,3.600789322700851,,144525000.0,243162000.0,1330317000.0,-244707000.0,323017000.0,2.81,2.81,0.09686796670144296,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2011-09-30,900138000.0,672004000.0,209364000.0,308073000.0,592065000.0,73470000.0,67859000.0,,504931000.0,107465000.0,64367000.0,38605000.0,1.23,52477000.0,-126084000.0,45281000.0,25968000.0,-171365000.0,73470000.0,,2.4978,39.2117,1.23,133433000.0,0.10871610380616993,0.07150792434049001,,,,0.1193872495106306,0.16147159803766895,,,0.12409110486179727,3.209739974398655,,163363000.0,273462000.0,1460319000.0,-361632000.0,356094000.0,3.15,3.15,0.20632192623296097,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2011-12-31,919210000.0,689663000.0,183607000.0,282778000.0,636432000.0,70842000.0,175384000.0,,-216976000.0,1660000.0,2033000.0,1052000.0,0.040000000000000036,-104789000.0,310472000.0,-30082000.0,-15010000.0,280390000.0,70842000.0,3.7562,2.5346,38.5133,0.040000000000000036,-13350000.0,0.00319437111898836,0.002211681770215729,,,,0.0018058985433143677,0.002347039478335129,,,0.1113111848555698,3.7561912127533263,,96919000.0,162767000.0,712836000.0,-101174000.0,199068000.0,1.85,1.85,0.35586834649466514,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2012-03-31,920237000.0,694102000.0,182694000.0,246149000.0,674088000.0,32451000.0,107052000.0,,175204000.0,24403000.0,14661000.0,8469000.0,0.28,52853000.0,-73048000.0,8839000.0,10591000.0,-81887000.0,32451000.0,,3.2406,50.3286,0.28,34994000.0,0.02174938583686403,0.01593176540391225,,,,0.026518168689152903,0.03453878696009704,,,0.048140598853562144,3.7992599647498,,99441000.0,166028000.0,742989000.0,-86718000.0,204307000.0,1.9000000000000001,1.9000000000000001,0.15883449906268507,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2012-06-30,1004689000.0,777295000.0,251538000.0,315556000.0,689133000.0,31499000.0,142928000.0,,344671000.0,36123000.0,21329000.0,12711000.0,0.2,105838000.0,-26835000.0,23560000.0,20714000.0,-50395000.0,31499000.0,,2.9487,47.9055,0.2,56837000.0,0.030950484159081047,0.021229455085105937,,,,0.03595440977257639,0.05012683311315623,,,0.04570815793177804,3.0901692785980646,,102390000.0,169651000.0,807830000.0,-23257000.0,211914000.0,1.7500000000000002,1.7500000000000002,0.1486404862349821,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2012-09-30,1078639000.0,842302000.0,253841000.0,320259000.0,758380000.0,30682000.0,157047000.0,,625062000.0,127103000.0,78646000.0,45040000.0,0.74,106157000.0,-6012000.0,37550000.0,31755000.0,-43562000.0,30682000.0,,3.347,52.1383,0.74,158858000.0,0.10370262928874707,0.07291225331181239,,,,0.11783645872251977,0.1610811317741825,,,0.04045729054036235,3.3182267639979357,,116669000.0,189289000.0,927961000.0,104546000.0,237339000.0,1.2600000000000002,1.2600000000000002,0.12927500326537147,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2012-12-31,1157083000.0,903598000.0,252228000.0,340161000.0,816922000.0,52757000.0,341841000.0,,-265640000.0,21066000.0,14142000.0,8441000.0,-0.010000000000000009,-158468000.0,305656000.0,-19299000.0,-19978000.0,286357000.0,52757000.0,3.5825,2.7679,39.4384,-0.010000000000000009,1088000.0,0.017311322255980376,0.012222113711808055,,,,0.01820612695891306,0.02422273045571987,,,0.06458021696073799,3.5824650712847106,,128778000.0,208695000.0,879297000.0,110513000.0,251777000.0,1.2100000000000002,1.2100000000000002,0.20953859963380292,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2013-03-31,1140488000.0,887441000.0,206329000.0,297330000.0,843158000.0,51658000.0,255722000.0,,216551000.0,13492000.0,7814000.0,5193000.0,0.0,107096000.0,-74536000.0,18329000.0,11842000.0,-92865000.0,51658000.0,,2.7637,43.5675,0.0,25334000.0,0.009267539417285966,0.0068514530621979364,,,,0.011830023639003654,0.01507796016164217,,,0.061267283237542665,4.301096792016634,,121931000.0,197784000.0,920644000.0,99535000.0,242117000.0,0.9300000000000002,0.9300000000000002,0.2133596566949037,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2013-06-30,1275388000.0,1011955000.0,303895000.0,398381000.0,877007000.0,50387000.0,223842000.0,,436182000.0,45802000.0,25380000.0,18429000.0,0.0,107256000.0,-90476000.0,39696000.0,23618000.0,-130172000.0,50387000.0,,3.1449,47.5233,0.0,69420000.0,0.02893933571795892,0.01989982656258331,,,,0.035912208676888914,0.04938785456882404,,,0.0574533612616547,3.3299494891327597,,125982000.0,207463000.0,1012155000.0,19758000.0,254700000.0,0.7300000000000002,0.7300000000000002,0.1978288182175108,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2013-09-30,1396990000.0,1122915000.0,332984000.0,430535000.0,966455000.0,49148000.0,186377000.0,,786317000.0,166631000.0,98164000.0,65670000.0,0.0,107426000.0,-112341000.0,62058000.0,36052000.0,-174399000.0,49148000.0,,3.8887,56.5143,0.0,202683000.0,0.10157120610892385,0.07026821952913048,,,,0.11927859182957645,0.16407100018412707,,,0.05085389386986461,3.372279148547678,,145500000.0,246991000.0,1173410000.0,-111079000.0,298525000.0,-0.009999999999999787,-0.009999999999999787,0.16463612762750188,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2013-12-31,1577741000.0,1128811000.0,426630000.0,524387000.0,1053354000.0,47951000.0,347489000.0,,-302380000.0,39173000.0,30972000.0,9371000.0,1.5,-213799000.0,397423000.0,-32253000.0,-20963000.0,365170000.0,47951000.0,2.6459,3.9544,56.809,1.5,18210000.0,0.029403220569723,0.01963059843155499,,,,0.024828536496167623,0.03556961967847236,,,0.04552220810857509,2.6458781614044957,,162330000.0,265098000.0,1136670000.0,-32266000.0,315647000.0,1.5000000000000002,1.5000000000000002,0.15191337158281246,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2014-03-31,1599016000.0,1125157000.0,387252000.0,490439000.0,1108577000.0,46846000.0,179926000.0,,300690000.0,26856000.0,13538000.0,11598000.0,0.0,216912000.0,-147536000.0,39715000.0,17320000.0,-187251000.0,46846000.0,,4.8788,72.6368,0.0,44176000.0,0.012212052027058112,0.00846645687097565,,,,0.01679532912741336,0.02324343552101698,,,0.04225777731271711,2.9054904816501916,,168054000.0,278462000.0,1220809000.0,-126652000.0,334489000.0,1.5000000000000002,1.5000000000000002,0.1400524381967718,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2014-06-30,1863945000.0,1368319000.0,480245000.0,723186000.0,1140759000.0,176987000.0,300434000.0,,600642000.0,61550000.0,31228000.0,27622000.0,0.0,217134000.0,-45666000.0,68901000.0,34347000.0,-114567000.0,176987000.0,,4.775,75.4433,0.0,95897000.0,0.027374756631330543,0.016753713226516878,,,,0.03302136060881625,0.04670854626005315,,,0.15514845817565323,2.8492102989099313,,173902000.0,294210000.0,1385269000.0,-111047000.0,360966000.0,1.5000000000000002,1.5000000000000002,0.4903148773014633,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2014-09-30,1978110000.0,1463903000.0,490479000.0,723969000.0,1254141000.0,172124000.0,249469000.0,,1065942000.0,207656000.0,120333000.0,79733000.0,0.0,217601000.0,-72496000.0,96596000.0,52391000.0,-169092000.0,172124000.0,,5.1417,80.0357,0.0,260047000.0,0.09594854167115181,0.06083230962888818,,,,0.10497697296914732,0.1455942619358955,,,0.13724453630014488,2.984639505463027,,196071000.0,335235000.0,1664894000.0,-105740000.0,418330000.0,1.5000000000000002,1.5000000000000002,0.41145507135515025,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2014-12-31,2095083000.0,1549399000.0,421627000.0,744783000.0,1350300000.0,255250000.0,593175000.0,,-455068000.0,57893000.0,42943000.0,15215000.0,0.0,-432267000.0,484731000.0,-64684000.0,-31965000.0,420047000.0,255250000.0,3.6748,4.7044,69.7455,0.0,25928000.0,0.03180256239354218,0.020497039974072626,,,,0.027632795454881738,0.03605804864376693,,,0.1890320669480856,3.674809725183634,,208042000.0,353955000.0,1512206000.0,-50863000.0,426048000.0,0.0,0.0,0.5991108983025387,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2015-03-31,2548054000.0,1434479000.0,448219000.0,1163528000.0,1384526000.0,383500000.0,232040000.0,,377664000.0,27667000.0,11728000.0,11889000.0,0.0,219616000.0,-176526000.0,68619000.0,21308000.0,-245145000.0,383500000.0,,5.359,84.3933,0.0,48975000.0,0.008470769057424707,0.004602728199637841,,,,0.010858090134667476,0.015648525530733145,,,0.27699010347223524,3.2003975735075936,,206232000.0,354766000.0,1589180000.0,-108757000.0,430847000.0,0.0,0.0,0.8901071610107533,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2015-06-30,2762258000.0,1557936000.0,591295000.0,1346678000.0,1415580000.0,373003000.0,171236000.0,,756717000.0,59568000.0,26494000.0,24803000.0,0.0,219721000.0,-179913000.0,165485000.0,46064000.0,-345398000.0,373003000.0,,5.2591,88.51,0.0,105632000.0,0.01871600333432233,0.009591428461787422,,,,0.02156496605313479,0.033304576863360545,,,0.263498354031563,2.634786358754936,,201498000.0,352784000.0,1745255000.0,-339588000.0,440582000.0,0.0,0.0,0.8466142511496157,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2015-09-30,3035502000.0,1773111000.0,848604000.0,1500248000.0,1535254000.0,362550000.0,159398000.0,,1343877000.0,230965000.0,126971000.0,88384000.0,0.0,220708000.0,-313448000.0,226733000.0,72211000.0,-540181000.0,362550000.0,,5.6637,97.2922,0.0,303176000.0,0.08270357869121331,0.04182866623049499,,,,0.07608790901801415,0.1217011872669675,,,0.23614984881980441,2.0894445465729596,,208136000.0,376093000.0,2023190000.0,-710677000.0,483711000.0,0.0,0.0,0.7495177905815663,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2015-12-31,2868900000.0,1498763000.0,478810000.0,1200678000.0,1668222000.0,352000000.0,129852000.0,,-572711000.0,90347000.0,67380000.0,29036000.0,1.0,-439177000.0,625783000.0,-161909000.0,-38643000.0,463874000.0,352000000.0,3.1302,4.3895,74.8019,1.0,51704000.0,0.040390307764793895,0.023486353654710863,,,,0.031491860992017846,0.044721322706118435,,,0.21100309191462527,3.130183162423508,,232573000.0,408547000.0,1905547000.0,-666850000.0,509487000.0,1.0000000000000002,1.0000000000000002,0.6908910335298055,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
