report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,1370275000.0,1029183000.0,162309000.0,,1190965000.0,,178822000.0,520772000.0,265913000.0,90436000.0,56034000.0,,34635000.0,,,79028000.0,8138000.0,70890000.0,0.0,,36.9082,3.6066,,90436000.0,0.04704924158140667,0.04089252157413658,0.10759795073467851,0.5106130897974546,0.17365756991543324,0.06599843097188521,0.07593506106392715,0.13612483005998788,0.17365756991543324,0.0,6.3408868269781715,,,,,,,,,,,,0.8453015,50.63,35.3,8.83445,53167.68,42.2435,11.6824,6.4835
2010-06-30,1441855000.0,1088486000.0,166164000.0,,1258869000.0,,196392000.0,1091955000.0,563571000.0,202272000.0,125201000.0,,77593000.0,0.85,147510000.0,119527000.0,32211000.0,87316000.0,0.0,,34.0482,3.5954,0.85,202272000.0,0.09945514584917096,0.08683328073904796,0.1146576553063084,0.5161119276893279,0.1852384026814292,0.14028595108384684,0.16067756057222793,0.0799630021383665,0.1852384026814292,0.0,6.550672829253027,,,,,,,,,,,,0.8453015,50.63,35.3,8.83445,53167.68,42.2435,11.6824,6.4835
2010-09-30,1469337000.0,1116803000.0,177143000.0,,1275375000.0,,172565000.0,1695705000.0,876219000.0,322783000.0,200195000.0,,123301000.0,1.36,147431000.0,166293000.0,42643000.0,123650000.0,0.0,,32.0427,3.6097,1.36,322783000.0,0.1569695187689895,0.13624852569560283,0.11806003992439723,0.5167284403832034,0.19035327489156428,0.21967935197983854,0.25308869940213663,0.0729195231481891,0.19035327489156428,0.0,6.304527980219371,,,,,,,,,,,,0.8453015,50.63,35.3,8.83445,53167.68,42.2435,11.6824,6.4835
2010-12-31,1468283000.0,1085698000.0,162185000.0,,1282512000.0,,143693000.0,-1038961000.0,-530867000.0,-185802000.0,-116074000.0,,-70245000.0,,,-124360000.0,-9395000.0,-133755000.0,0.0,6.6942,33.2857,3.8919,,-185802000.0,-0.09050519605274648,-0.07905424226800964,0.11172122918954609,0.5109595066609816,0.17883443170629118,-0.12654372488137505,-0.14487349825966542,0.12873919232771971,0.17883443170629118,0.0,6.694194900884792,2269471000.0,265356000.0,429689000.0,1174836000.0,148101000.0,429689000.0,,,,0.0,,0.8453015,50.63,35.3,8.83445,53167.68,42.2435,11.6824,6.4835
2011-03-31,1524613000.0,1132921000.0,209516000.0,,1291517000.0,,124848000.0,640583000.0,333380000.0,128663000.0,79547000.0,,49264000.0,0.54,147714471.0,74284000.0,21206000.0,53078000.0,0.0,,33.0874,4.0003,0.54,128663000.0,0.061591910907870355,0.052175207741243186,0.12417906813012522,0.5204321688212145,0.20085297299491245,0.08439059617096273,0.09962160776822915,0.08285889572467581,0.20085297299491245,0.0,5.407324500276829,2389282000.0,288869000.0,467916000.0,1242303000.0,130289000.0,467916000.0,,,,0.0,,0.8453015,50.63,35.3,8.83445,53167.68,42.2435,11.6824,6.4835
2011-06-30,1581871000.0,1171815000.0,204394000.0,,1354171000.0,,89409000.0,1342313000.0,699613000.0,278769000.0,173659000.0,,105334000.0,0.59,295689663.0,101277000.0,56324000.0,44953000.0,0.0,,33.8165,4.2114,0.59,278769000.0,0.1282400819394301,0.10978075961946328,0.12937295548802702,0.5211996009872512,0.20767808998348372,0.17622739148767505,0.20585952586490186,0.033489208552699705,0.20767808998348372,0.0,5.733118388993806,2639640000.0,337327000.0,544413000.0,1378345000.0,87926000.0,544413000.0,,,,0.0,,0.8453015,50.63,35.3,8.83445,53167.68,42.2435,11.6824,6.4835
2011-09-30,1651020000.0,1217364000.0,218869000.0,1651020000.0,1408826000.0,,111048000.0,2069055000.0,1076994000.0,433994000.0,270458000.0,,163854000.0,0.91,295762762.0,194181000.0,92479000.0,101702000.0,0.0,,29.2725,3.7174,0.91,433994000.0,0.19197402660087193,0.16381267337766955,0.13071571321207023,0.5205245873115988,0.2097546947761176,0.2628641688168526,0.30805365602281615,0.049153840763053666,0.2097546947761176,0.0,5.562066807085517,3012990000.0,407590000.0,655624000.0,1579120000.0,65978000.0,655624000.0,,,,0.0,,0.8453015,50.63,35.3,8.83445,53167.68,42.2435,11.6824,6.4835
2011-12-31,1684948000.0,1236138000.0,187818000.0,1684948000.0,1458976000.0,,117676000.0,-1285092000.0,-675815000.0,-266817000.0,-165735000.0,,-101300000.0,-0.8300000000000001,-443298170.0,-101253000.0,-49966000.0,-151219000.0,0.0,6.5816,36.0912,4.6689,-0.8300000000000001,-266817000.0,-0.11359679665738162,-0.09836208595161394,0.128967420231392,0.5258884188836286,0.20762482374802738,-0.15835325481854634,-0.18287963612835303,0.11767173089553122,0.20762482374802738,0.0,6.581573651087755,2766859000.0,357929000.0,574609000.0,1434172000.0,48514000.0,574609000.0,,1.2100000000000002,1.2100000000000002,0.0,,0.8453015,50.63,35.3,8.83445,53167.68,42.2435,11.6824,6.4835
2012-03-31,1813332000.0,1349975000.0,236227000.0,1813332000.0,1538968000.0,,198878000.0,768875000.0,394177000.0,161033000.0,100194000.0,,60935000.0,0.34,296927223.0,132188000.0,28212000.0,103976000.0,0.0,,42.7399,5.5888,0.34,161033000.0,0.0651046675434447,0.05525408474565055,0.13031246951715167,0.5126672085839701,0.20943976589172492,0.08880502853310922,0.10463700349844832,0.13523134449682978,0.20943976589172492,0.0,5.714736249454973,2895151000.0,378576000.0,606979000.0,1494969000.0,99412000.0,606979000.0,,1.0100000000000002,1.0100000000000002,0.0,,0.8453015,50.63,35.3,8.83445,53167.68,42.2435,11.6824,6.4835
2012-06-30,1850747000.0,1378096000.0,210519000.0,1850747000.0,1600897000.0,,185916000.0,1573765000.0,809328000.0,339928000.0,212500000.0,,127668000.0,0.72,297021238.0,190431000.0,50980000.0,139451000.0,0.0,,29.1322,3.8551,0.72,339928000.0,0.13273808371181905,0.11481850301526897,0.1350265128529355,0.514262294561132,0.21599667040504777,0.18367070161399696,0.2123359591528999,0.08860979879461038,0.21599667040504777,0.0,6.546183479875926,3126603000.0,417417000.0,668138000.0,1604684000.0,193910000.0,668138000.0,,1.1400000000000001,1.1400000000000001,0.0,,0.8453015,50.63,35.3,8.83445,53167.68,42.2435,11.6824,6.4835
