report_date,total_assets,total_liabilities,total_equity,long_term_debt,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,265396000000.0,235962000000.0,26818000000.0,,3763000000.0,,333000000.0,526000000.0,251000000.0,0.66,500000000.0,2272000000.0,226000000.0,0.0,11.8942,0.66,,0.012417033335819226,0.0012547287826493241,0.08849322349189477,,,,,0.0,,,,,,,,,0.9600798,243.94,145.12,2.54061,85393.64,12.3117,1.3511,2.34179
2010-06-30,261695000000.0,230705000000.0,28377000000.0,,7675000000.0,,,964000000.0,557000000.0,2.15,514000000.0,4268000000.0,442000000.0,0.0,9.2562,2.15,,,,,,,,,0.0,,,,,,,,,0.9600798,243.94,145.12,2.54061,85393.64,12.3117,1.3511,2.34179
2010-09-30,260133000000.0,227467000000.0,30042000000.0,,11273000000.0,,,1450000000.0,736000000.0,4.24,518000000.0,4437000000.0,753000000.0,0.0,7.3061,4.24,,,,,,,,,0.0,,,,,,,,,0.9600798,243.94,145.12,2.54061,85393.64,12.3117,1.3511,2.34179
2010-12-31,264284000000.0,231446000000.0,30242000000.0,,-7535000000.0,,,-1020000000.0,-507000000.0,-1.3100000000000005,-1012000000.0,-6166000000.0,-362000000.0,0.0,9.3571,-1.3100000000000005,,,,,,,,,0.0,15176000000.0,,,1920000000.0,5.74,5.74,,,0.9600798,243.94,145.12,2.54061,85393.64,12.3117,1.3511,2.34179
2011-03-31,259378000000.0,225661000000.0,31132000000.0,,3631000000.0,,,407000000.0,308000000.0,1.57,526000000.0,727000000.0,279000000.0,0.0,9.2644,1.57,,,,,,,,,0.0,15044000000.0,,,1801000000.0,6.65,6.65,,,0.9600798,243.94,145.12,2.54061,85393.64,12.3117,1.3511,2.34179
2011-06-30,263117000000.0,228244000000.0,32235000000.0,,7233000000.0,,,804000000.0,542000000.0,3.24,527000000.0,3705000000.0,569000000.0,0.0,8.5388,3.24,,,,,,,,,0.0,14602000000.0,,,1641000000.0,7.74,7.74,,,0.9600798,243.94,145.12,2.54061,85393.64,12.3117,1.3511,2.34179
2011-09-30,269470000000.0,232228000000.0,34219000000.0,,10777000000.0,,,1159000000.0,851000000.0,4.79,526000000.0,4585000000.0,850000000.0,0.0,7.4521,4.79,,,,,,,,,0.0,14106000000.0,,,1350000000.0,8.29,8.29,,,0.9600798,243.94,145.12,2.54061,85393.64,12.3117,1.3511,2.34179
2011-12-31,271205000000.0,233959000000.0,34053000000.0,,-7315000000.0,,,-876000000.0,-703000000.0,-3.9600000000000017,-1053000000.0,-2982000000.0,-558000000.0,0.0,10.1624,-3.9600000000000017,,,,,,,,,0.0,14326000000.0,,,1494000000.0,5.639999999999999,5.639999999999999,,,0.9600798,243.94,145.12,2.54061,85393.64,12.3117,1.3511,2.34179
2012-03-31,295883000000.0,257647000000.0,35045000000.0,,3732000000.0,1092000000.0,,306000000.0,281000000.0,1.44,529000000.0,2764000000.0,269000000.0,0.0,11.3003,1.44,1361000000.0,,,,0.29260450160771706,0.003690647992618704,0.031159937223569696,0.3646838156484459,0.0,14427000000.0,,,1393000000.0,5.509999999999998,5.509999999999998,,,0.9600798,243.94,145.12,2.54061,85393.64,12.3117,1.3511,2.34179
2012-06-30,299575000000.0,259361000000.0,37005000000.0,,7355000000.0,1811000000.0,,576000000.0,454000000.0,2.42,529000000.0,3814000000.0,554000000.0,0.0,12.2145,2.42,2365000000.0,,,,0.24622705642420123,0.006045230743553367,0.04893933252263208,0.32154996600951735,0.0,14549000000.0,,,1165000000.0,4.689999999999998,4.689999999999998,,,0.9600798,243.94,145.12,2.54061,85393.64,12.3117,1.3511,2.34179
