report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-04-03,6468451000.0,2647586000.0,1056880000.0,,3824866000.0,,48525000.0,718634000.0,1749879000.0,223260000.0,163516000.0,20499000.0,46219000.0,1.46,111629000.0,184154000.0,,48525000.0,,17.32,1.2523,1.46,223260000.0,0.04275077872009111,0.025279004200541983,0.0934441752829767,0.12758596451526077,0.03451521855850806,0.05763941724447648,0.12758596451526077,0.012686718959566166,2.505096132011203,,,,,,,,,,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2010-07-03,6321442000.0,2588128000.0,1111520000.0,,3647834000.0,,41970000.0,540191000.0,3343983000.0,392784000.0,274351000.0,40993000.0,86178000.0,2.47,111054000.0,308500000.0,,41970000.0,,13.7676,1.0468,2.47,392784000.0,0.07520928858056589,0.043400065997599914,0.08204318024344023,0.11745992727833844,0.062135190040500256,0.10645118277285189,0.11745992727833844,0.0115054577593169,2.3284583273355404,,,,,,,,,,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2010-10-02,6679693000.0,2874373000.0,1146959000.0,,3938309000.0,,49022000.0,402863000.0,5576350000.0,747329000.0,517138000.0,61550000.0,178121000.0,4.68,110492000.0,448624000.0,,49022000.0,,14.9461,1.1651,4.68,747329000.0,0.13130965599702818,0.07741942631195775,0.09273772270391924,0.13401759215257292,0.11188074062685216,0.18742587460133106,0.13401759215257292,0.012447474284013773,2.5060817343950395,,,,,,,,,,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2011-01-01,6457556000.0,2826060000.0,1109475000.0,,3861219000.0,,36576000.0,792239000.0,-2967623000.0,-542513000.0,-383643000.0,-45304000.0,-133818000.0,-3.4299999999999997,,60004000.0,,36576000.0,2.5482,16.3959,1.2161,-3.4299999999999997,-542513000.0,-0.0993580006728445,-0.05940993775354019,0.12927619175346733,0.18281061981255706,-0.08401212471095876,-0.13918459026193014,0.18281061981255706,0.009472656174125321,2.5472047590076388,7702589000.0,571362000.0,820860000.0,820860000.0,77738000.0,5.18,5.18,0.044558146334332284,10.55931462090612,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2011-04-02,6693138000.0,2950028000.0,1036846000.0,,4125507000.0,,40052000.0,672963000.0,1958799000.0,274643000.0,200703000.0,15940000.0,56318000.0,1.82,,-32865000.0,,40052000.0,,17.6184,1.3551,1.82,274643000.0,0.04864929328686147,0.029986383068748918,0.10246227407712583,0.14020989391969263,0.04103351820924654,0.06593184732229215,0.14020989391969263,0.009708382509107365,2.845193982520066,7911509000.0,608549000.0,872243000.0,872243000.0,73179000.0,5.54,5.54,0.04591839659360981,11.919307451591303,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2011-07-02,6800446000.0,3045908000.0,1013914000.0,6800446000.0,4269293000.0,934600000.0,42567000.0,611478000.0,3798922000.0,463314000.0,330071000.0,31902000.0,98235000.0,2.99,,-42321000.0,,977167000.0,,19.3816,1.4899,2.99,463314000.0,0.0773128009719642,0.048536669506676476,0.08688543750042775,0.12195933477970856,0.06812994324195795,0.08830983177228074,0.12195933477970856,0.22888262763881514,3.0041088297429566,8366448000.0,664269000.0,942773000.0,942773000.0,64088000.0,6.0600000000000005,6.0600000000000005,1.0364817405674536,14.710601048558232,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2011-10-01,10119048000.0,3942392000.0,2664564000.0,10119048000.0,4458811000.0,1832412000.0,1145845000.0,337391000.0,6548993000.0,893432000.0,630771000.0,52573000.0,201168000.0,5.69,,-28833000.0,,2978257000.0,,18.9349,1.4951,5.69,893432000.0,0.14146618908045216,0.06233501412385829,0.09631572365400298,0.13642280576571086,0.08829210020547387,0.12013228869226421,0.13642280576571086,0.6679486975339389,1.4795636359269284,9339091000.0,777902000.0,1088876000.0,1088876000.0,55111000.0,7.07,7.07,2.7351663550303247,19.75787047957758,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2011-12-31,9313126000.0,3187944000.0,1666032000.0,9313126000.0,4525991000.0,1831781000.0,281686000.0,341228000.0,-2847482000.0,-386598000.0,-273456000.0,-22837000.0,-81371000.0,-2.5199999999999996,,1185390000.0,,2113467000.0,1.9136,16.1138,1.5129,-2.5199999999999996,-386598000.0,-0.060419033091316354,-0.029362428898739263,0.09603432084908702,0.1357683736016593,-0.04151108875795302,-0.058227343256030836,0.1357683736016593,0.46696226307122574,1.913495058918436,9459232000.0,888089000.0,1244791000.0,1244791000.0,77578000.0,7.98,7.98,1.6978488758353811,16.045670164221814,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2012-03-31,9503317000.0,3363333000.0,1904320000.0,9503317000.0,4452473000.0,1831113000.0,680500000.0,325649000.0,2556455000.0,314102000.0,215216000.0,23345000.0,78314000.0,1.91,,-112137000.0,,2511613000.0,,18.4079,1.6521,1.91,314102000.0,0.048336284127944176,0.022646408617117583,0.08418532694688544,0.1228662346882695,0.03305182811433103,0.04510311905970144,0.1228662346882695,0.5640939316195741,1.7661595740211729,10056888000.0,902602000.0,1284250000.0,1284250000.0,84983000.0,8.07,8.07,1.9557041074557135,15.111845898591483,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2012-06-30,9426069000.0,3339809000.0,1768039000.0,9426069000.0,4524052000.0,1830473000.0,681835000.0,330512000.0,4698241000.0,478087000.0,370513000.0,46938000.0,106026000.0,3.31,,73129000.0,,2512308000.0,,15.5646,1.3951,3.31,478087000.0,0.08189848392547212,0.039307265839025794,0.07886206773982007,0.10175872204086593,0.0507196584281316,0.06794521599235968,0.10175872204086593,0.5553225294492636,1.8889905709093522,10956207000.0,943044000.0,1299023000.0,1299023000.0,100019000.0,8.39,8.39,1.9339980893332913,12.98776232515822,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
