report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,gross_margin,fcf_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,gross_profit_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,41882000000.0,10460000000.0,6894000000.0,,6247000000.0,,,3392000000.0,,,1000000000.0,187000000.0,393000000.0,196000000.0,0.27,,684000000.0,493000000.0,293000000.0,191000000.0,0.0,,11.7482,0.5032,0.27,0.029934368496878503,0.004464925266224154,,,,0.0,1.5172613867130837,,,,,,,,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2010-09-30,41780000000.0,9768000000.0,7029000000.0,,6890000000.0,,,2848000000.0,,,985000000.0,114000000.0,387000000.0,111000000.0,0.14,,,,,,0.0,,22.7005,0.5774,0.14,0.016545718432510886,0.0027285782671134513,,,,0.0,1.3896713615023475,,,,,,,,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2010-12-31,40511000000.0,9446000000.0,8065000000.0,,6473000000.0,,,2554000000.0,,,3964000000.0,9000000.0,1526000000.0,307000000.0,0.01,,3510000000.0,2310000000.0,1178000000.0,1200000000.0,0.0,1.1712,1066.5622,0.6065,0.01,0.001390390854317936,0.00022216188195798672,,,,0.0,1.1712337259764414,,,,,,,,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2011-03-31,40500000000.0,8746000000.0,7551000000.0,,6792000000.0,,,2008000000.0,,,1016000000.0,224000000.0,351000000.0,218000000.0,0.28,,505000000.0,479000000.0,305000000.0,26000000.0,0.0,,222.7674,0.6379,0.28,0.03297997644287397,0.005530864197530864,,,,0.0,1.158257184478877,,534000000.0,6965000000.0,,2657000000.0,0.7000000000000001,0.7000000000000001,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2011-06-30,42635000000.0,10173000000.0,7193000000.0,,6911000000.0,,,3624000000.0,,,1019000000.0,174000000.0,396000000.0,178000000.0,0.22,,,,,,0.0,,131.0892,0.601,0.22,0.025177253653595716,0.004081153981470622,,,,0.0,1.4142916724593355,,521000000.0,6984000000.0,,2660000000.0,0.65,0.65,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2011-09-30,40883000000.0,10067000000.0,7241000000.0,40883000000.0,6233000000.0,,,3392000000.0,,,3019000000.0,267000000.0,1178000000.0,469000000.0,0.34,,2308000000.0,1832000000.0,947000000.0,476000000.0,0.0,,,0.452,0.34,0.042836515321674956,0.006530831886114033,,,,0.0,1.3902775859687888,,674000000.0,9018000000.0,,3451000000.0,0.8500000000000001,0.8500000000000001,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2011-12-31,45333000000.0,9228000000.0,8446000000.0,45333000000.0,5946000000.0,,,1710000000.0,,,-920000000.0,-607000000.0,-322000000.0,-229000000.0,-0.77,,71000000.0,119000000.0,10000000.0,-48000000.0,0.0,1.0937,,,-0.77,-0.10208543558694921,-0.013389804336796594,,,,0.0,1.0925882074354725,,58000000.0,4134000000.0,,1603000000.0,0.07000000000000006,0.07000000000000006,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2012-03-31,45431000000.0,9559000000.0,7978000000.0,45431000000.0,6489000000.0,,,1688000000.0,,,1078000000.0,341000000.0,416000000.0,267000000.0,0.44,,534000000.0,579000000.0,360000000.0,-45000000.0,0.0,,89.3295,0.7507,0.44,0.052550470026198184,0.0075058880500099056,,,,0.0,1.1981699674103785,,175000000.0,4196000000.0,,1668000000.0,0.23000000000000004,0.23000000000000004,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2012-06-30,42749000000.0,8317000000.0,7039000000.0,42749000000.0,6123000000.0,,,1727000000.0,,,1770000000.0,481000000.0,801000000.0,343000000.0,0.63,,1114000000.0,1071000000.0,706000000.0,43000000.0,0.0,,122.2353,0.7473,0.63,0.07855626326963906,0.011251725186554071,,,,0.0,1.1815598806648673,,482000000.0,4947000000.0,426000000.0,2073000000.0,0.64,0.64,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2012-09-30,41356000000.0,8684000000.0,7526000000.0,41356000000.0,4424000000.0,,,1943000000.0,,,2774000000.0,-1087000000.0,1202000000.0,519000000.0,-1.43,,2129000000.0,1581000000.0,1038000000.0,548000000.0,0.0,,,0.6308,-1.43,-0.24570524412296565,-0.026283973304961794,,,,0.0,1.1538665958012224,,-872000000.0,4702000000.0,498000000.0,2097000000.0,-1.13,-1.13,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
