report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,25885000000.0,7344000000.0,9359000000.0,,-3930000000.0,9142000000.0,,,-102000000.0,-516000000.0,418000000.0,0.0,-1.55,,1173000000.0,,9142000000.0,,,0.1078,-1.55,-102000000.0,0.13129770992366413,-0.019934324898589918,,,-0.0039405060846049835,-0.019570222563315427,,-2.326208651399491,0.784699220002137,,,,,,,,,,1.316483,16.5,8.5,55.59708,7157.706,64.4838,6.338,0.131
2010-09-30,25357000000.0,6837000000.0,8939000000.0,,-3643000000.0,9010000000.0,,,240000000.0,-373000000.0,622000000.0,0.0,-1.12,,1090000000.0,,9010000000.0,,,0.0965,-1.12,240000000.0,0.10238814164150425,-0.01470994202784241,,,0.0094648420554482,0.044717719396310786,,-2.4732363436727973,0.7648506544356192,,,,,,,,,,1.316483,16.5,8.5,55.59708,7157.706,64.4838,6.338,0.131
2010-12-31,25088000000.0,6838000000.0,8780000000.0,,-3945000000.0,8756000000.0,,,308000000.0,-471000000.0,823000000.0,-35000000.0,-1.41,,1241000000.0,,8756000000.0,0.7788,,0.1171,-1.41,308000000.0,0.11939163498098859,-0.01877391581632653,,,0.012276785714285714,0.06401995427146123,,-2.2195183776932828,0.7788154897494305,,,,,,,,,,1.316483,16.5,8.5,55.59708,7157.706,64.4838,6.338,0.131
2011-03-31,27113000000.0,8825000000.0,9853000000.0,,-3949000000.0,9568000000.0,,,-232000000.0,-436000000.0,200000000.0,0.0,-1.31,,708000000.0,,9568000000.0,,,0.0952,-1.31,-232000000.0,0.11040769815143074,-0.016080846826245714,,,-0.008556780880020654,-0.04128848549563979,,-2.422891871359838,0.8956662945295849,,-1796000000.0,214000000.0,214000000.0,2063000000.0,-5.390000000000001,-5.390000000000001,44.71028037383178,0.10373242850218128,1.316483,16.5,8.5,55.59708,7157.706,64.4838,6.338,0.131
2011-06-30,25787000000.0,7997000000.0,9766000000.0,,-4509000000.0,9428000000.0,,,-309000000.0,-722000000.0,415000000.0,,-2.16,,653000000.0,,9428000000.0,,,0.078,-2.16,-309000000.0,0.16012419605233977,-0.0279986039477256,,,-0.011982782021949044,-0.06281764586298028,,-2.0909292526058993,0.8188613557239403,,-2002000000.0,7000000.0,7000000.0,2060000000.0,-6.0,-6.0,1346.857142857143,0.0033980582524271844,1.316483,16.5,8.5,55.59708,7157.706,64.4838,6.338,0.131
2011-09-30,24719000000.0,6838000000.0,8923000000.0,24719000000.0,-4833000000.0,9552000000.0,,,-270000000.0,-884000000.0,626000000.0,,-2.64,,346000000.0,,9552000000.0,,,0.042,-2.64,-270000000.0,0.18290916614938962,-0.03576196448076378,,,-0.010922771956794369,-0.05721551176096631,,-1.9764121663563003,0.7663341925361425,,-2513000000.0,-503000000.0,-503000000.0,2064000000.0,-7.5200000000000005,-7.5200000000000005,-18.990059642147116,-0.2437015503875969,1.316483,16.5,8.5,55.59708,7157.706,64.4838,6.338,0.131
2011-12-31,23848000000.0,6757000000.0,8630000000.0,23848000000.0,-7111000000.0,6702000000.0,,,-243000000.0,63000000.0,-415000000.0,0.0,0.20000000000000018,,-1027000000.0,,6702000000.0,0.783,,0.004,0.20000000000000018,-243000000.0,-0.008859513429897343,0.002641730962764173,,,-0.010189533713518953,0.5941320293398533,,-0.9424834763043173,0.7829663962920046,,-1979000000.0,-1054000000.0,-1054000000.0,826000000.0,-5.91,-5.91,-6.358633776091081,-1.2760290556900726,1.316483,16.5,8.5,55.59708,7157.706,64.4838,6.338,0.131
2012-03-31,24511000000.0,7778000000.0,9543000000.0,24511000000.0,-8686000000.0,6575000000.0,,,-89000000.0,-1660000000.0,178000000.0,,-4.95,,1067000000.0,,6575000000.0,,,0.0067,-4.95,-89000000.0,0.19111213446926087,-0.06772469503488229,,,-0.003631022806087063,0.04216011369019422,,-0.7569652314068617,0.8150476789269622,,-3203000000.0,-911000000.0,-911000000.0,804000000.0,-9.55,-9.55,-7.217343578485181,-1.1330845771144278,1.316483,16.5,8.5,55.59708,7157.706,64.4838,6.338,0.131
2012-06-30,24726000000.0,7984000000.0,10066000000.0,24726000000.0,-8968000000.0,6323000000.0,,,53000000.0,-1900000000.0,342000000.0,0.0,-5.67,,1722000000.0,,6323000000.0,,,0.0073,-5.67,53000000.0,0.211864406779661,-0.07684219040685918,,,0.0021434926797702825,-0.02003780718336484,,-0.7050624442462088,0.7931651102722035,,-4381000000.0,-549000000.0,-549000000.0,731000000.0,-13.059999999999999,-13.059999999999999,-11.517304189435338,-0.7510259917920656,1.316483,16.5,8.5,55.59708,7157.706,64.4838,6.338,0.131
2012-09-30,23927000000.0,7303000000.0,9586000000.0,23927000000.0,-7375000000.0,6097000000.0,,,104000000.0,-2139000000.0,503000000.0,0.0,-6.38,,1567000000.0,,6097000000.0,,,0.0052,-6.38,104000000.0,0.29003389830508475,-0.08939691561833911,,,0.004346554102060434,-0.081377151799687,,-0.8267118644067797,0.761840183601085,,-5636000000.0,-175000000.0,-175000000.0,608000000.0,-16.799999999999997,-16.799999999999997,-34.84,-0.2878289473684211,1.316483,16.5,8.5,55.59708,7157.706,64.4838,6.338,0.131
