report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage
2011-09-30,8184000000.0,3682600000.0,923700000.0,8184000000.0,5105700000.0,,78800000.0,2212000000.0,4016800000.0,955100000.0,654700000.0,55100000.0,257600000.0,2.11,,701500000.0,75400000.0,189400000.0,626100000.0,78800000.0,2.11,1144500000.0,0.12822923399337996,0.07999755620723363,0.16299044015136427,0.23777633937462656,0.11670332355816226,0.18422220079081877,0.1558703445528779,0.28492830113523204,0.01543373092817831,3.9867922485655516,,,,,,,,,,
2011-12-31,8508600000.0,4048300000.0,955000000.0,8508600000.0,5309600000.0,,83900000.0,2406100000.0,5419100000.0,1365100000.0,934500000.0,71800000.0,361600000.0,3.01,,1081900000.0,118600000.0,253400000.0,963300000.0,83900000.0,3.01,1618500000.0,0.1760019587162875,0.10983005429800437,0.17244560904947315,0.25190529792770017,0.16043767482312013,0.2531009548530639,0.17776014467346976,0.2986658301193925,0.015801566973029983,4.239057591623037,,,,,,,,,,
2012-03-31,8684200000.0,4238600000.0,968800000.0,8684200000.0,5458600000.0,,87700000.0,2291700000.0,1391900000.0,354400000.0,229800000.0,15800000.0,94500000.0,0.74,,208900000.0,23100000.0,62700000.0,185800000.0,87700000.0,0.74,417100000.0,0.042098706628073135,0.02646185025678819,0.1650980673898987,0.2546159925281989,0.04080974643605629,0.06389845482573968,0.13348660104892593,0.29966233206408505,0.016066390649617117,4.375103220478943,,,,,,,,,,
2012-06-30,8673400000.0,4259600000.0,963800000.0,8673400000.0,5438800000.0,,42400000.0,2368700000.0,2883300000.0,793300000.0,525200000.0,32900000.0,226500000.0,1.7,,638300000.0,57300000.0,126900000.0,581000000.0,42400000.0,1.7,920200000.0,0.0965654188423917,0.06055295501187539,0.1821523948253737,0.2751361287413727,0.09146355523785367,0.1447310807852295,0.2015052197135227,0.3191481982450664,0.007795837317055233,4.419589126374767,13711100000.0,2344200000.0,3467900000.0,2356200000.0,4100300000.0,175600000.0,7.56,7.56,0.010340706777552862,19.74886104783599
2012-09-30,8910900000.0,4535800000.0,1054900000.0,8910900000.0,5569600000.0,,40700000.0,2655000000.0,4297200000.0,1147300000.0,774600000.0,48800000.0,306700000.0,2.52,,1100000000.0,98100000.0,191400000.0,1001900000.0,40700000.0,2.52,1338700000.0,0.13907641482332664,0.08692724640608693,0.180256911477241,0.2669878060132179,0.12875242680312876,0.2044988681532182,0.23315181978963045,0.3115284371218468,0.007307526572823901,4.299744051568869,13991500000.0,2464100000.0,3660100000.0,2732000000.0,4294500000.0,169300000.0,7.969999999999999,7.969999999999999,0.009477238328094073,21.619019492025988
2012-12-31,9179300000.0,4458800000.0,1095200000.0,9179300000.0,5837100000.0,,48800000.0,2701800000.0,-2766300000.0,-681700000.0,-430800000.0,-33900000.0,-196900000.0,-1.38,,-347300000.0,-35200000.0,-124400000.0,-382500000.0,48800000.0,-1.38,-806100000.0,-0.07380377242123658,-0.046931683243820334,0.15573148248563062,0.24643024979214112,-0.07426492216182062,-0.11581916104588932,0.13827133716516646,0.29140006506886457,0.008360315910297922,4.071219868517166,5806100000.0,1098800000.0,1613300000.0,1386200000.0,1869900000.0,63600000.0,3.5799999999999996,3.5799999999999996,0.026097652280870635,25.36635220125786
2013-03-31,9250500000.0,4069500000.0,1061500000.0,9250500000.0,5337100000.0,,57200000.0,2198800000.0,1459600000.0,371100000.0,12500000.0,17400000.0,73600000.0,0.04,,119600000.0,23700000.0,73100000.0,95900000.0,57200000.0,0.04,444200000.0,0.0023420958947743156,0.0013512783092805795,0.008563990134283366,0.25424773910660453,0.04011675044592184,0.06879483899671876,0.06570293231022198,0.30432995341189367,0.010717430814487268,3.8337258596325956,5873800000.0,881500000.0,1630000000.0,1296300000.0,1897000000.0,65200000.0,2.88,2.88,0.030152872957301003,25.0
2013-12-31,10574300000.0,5319700000.0,1244300000.0,10574300000.0,6463200000.0,,55600000.0,3046100000.0,6300400000.0,1809300000.0,985100000.0,75000000.0,458300000.0,3.26,,1695400000.0,171900000.0,254600000.0,1523500000.0,55600000.0,3.26,2063900000.0,0.1524167594999381,0.09315983091079315,0.15635515205383785,0.2871722430321884,0.17110352458318753,0.27755108302141496,0.24181004380674243,0.32758237572217636,0.008602549820522342,4.2752551635457685,9290900000.0,1341400000.0,2646000000.0,2238800000.0,3040700000.0,107300000.0,4.4399999999999995,4.4399999999999995,0.018285263261748938,24.659832246039144
2015-06-30,138411100000.0,10486900000.0,7649500000.0,66336600000.0,72069100000.0,41319400000.0,,1517900000.0,9989200000.0,-484800000.0,-755100000.0,511800000.0,-485000000.0,-2.48,341300000.0,1926300000.0,248200000.0,,1678100000.0,41319400000.0,-2.48,-484800000.0,-0.010477444563620193,-0.005455487312795,-0.0755916389700877,-0.048532415008208867,-0.0035026092560495508,-0.004275565864263131,0.1679914307452048,-0.048532415008208867,0.5733303177089766,1.3709262043270802,14982900000.0,-188300000.0,1013900000.0,2915000000.0,1217200000.0,570300000.0,-0.56,-0.56,33.946270128163,1.7778362265474312
2015-09-30,142816300000.0,16658700000.0,8133000000.0,65336200000.0,77473700000.0,40648100000.0,,2063900000.0,10873500000.0,-2474200000.0,4546100000.0,852000000.0,-1456900000.0,12.21,358900000.0,2974500000.0,350700000.0,,2623800000.0,40648100000.0,12.21,-2474200000.0,0.05867926793221442,0.03183180071182351,0.4180898514737665,-0.22754402906147975,-0.017324353032532002,-0.020946175896405236,0.24130224858601187,-0.22754402906147975,0.5246696620917808,2.048284765769089,28622700000.0,4788600000.0,-778600000.0,5921300000.0,-450900000.0,1456200000.0,13.030000000000001,13.030000000000001,-90.14881348414282,-0.534679302293641
2015-12-31,135840700000.0,8615400000.0,8328300000.0,59251400000.0,76591400000.0,40293400000.0,,1096000000.0,15071000000.0,-3014500000.0,3915200000.0,1193300000.0,-1561900000.0,10.01,367800000.0,4530000000.0,454900000.0,,4075100000.0,40293400000.0,10.01,-3014500000.0,0.051118010638270095,0.02882199517523099,0.2597836905314843,-0.20001990577931125,-0.022191434525882153,-0.02579035084117011,0.2703934709043859,-0.20001990577931125,0.5260825627942562,1.034472821584237,42234100000.0,8691300000.0,-4164200000.0,9900500000.0,-3909600000.0,2632100000.0,23.0,23.0,-10.306271741354614,-1.582082747615972
2016-03-31,136073700000.0,10091500000.0,10195500000.0,58625000000.0,77450000000.0,38551800000.0,,2260800000.0,3795900000.0,-153800000.0,255700000.0,332800000.0,-402000000.0,0.47,394800000.0,1218500000.0,84900000.0,,1133600000.0,38551800000.0,0.47,-153800000.0,0.003301484828921885,0.0018791287368536316,0.06736215390289522,-0.04051740035301246,-0.0011302698464141123,-0.0013258414955629998,0.29863800416238573,-0.04051740035301246,0.49776371852808265,0.9897994213133245,39729600000.0,7961900000.0,-6127300000.0,9510600000.0,-6127300000.0,2889900000.0,20.21,20.21,-6.29180879016859,-2.120246375307104
2016-06-30,132619100000.0,8755200000.0,8867400000.0,55978300000.0,76643900000.0,37075100000.0,,489500000.0,7084100000.0,-659100000.0,-246000000.0,678600000.0,-666900000.0,-0.97,395200000.0,2601000000.0,182800000.0,,2418200000.0,37075100000.0,-0.97,-659100000.0,-0.0032096487783111246,-0.0018549364307252876,-0.034725653223415816,-0.09303934162420067,-0.004969872363784704,-0.0057958652467925325,0.3413559944100168,-0.09303934162420067,0.4837319082144828,0.9873469111577238,36824500000.0,8471000000.0,-6301600000.0,10250700000.0,-6301600000.0,3056700000.0,21.72,21.72,-5.88344230036816,-2.0615696666339516
2016-09-30,143607700000.0,31723900000.0,8025500000.0,53877300000.0,89725900000.0,31178200000.0,,7554700000.0,10706300000.0,-925500000.0,14974000000.0,1002900000.0,-825800000.0,37.44,394400000.0,1508600000.0,250500000.0,,1258100000.0,31178200000.0,37.44,-925500000.0,0.1668860384794134,0.10427017492794606,1.3986157682859626,-0.08644442991509672,-0.006444640503259923,-0.00765482725565138,0.11751025097372575,-0.08644442991509672,0.34748272238004857,3.9528876705501217,36657300000.0,18898900000.0,-4752900000.0,8885000000.0,-4752900000.0,3207600000.0,46.949999999999996,46.949999999999996,-6.559826632161418,-1.4817620650953984
2016-12-31,128986300000.0,17857900000.0,7874700000.0,52785800000.0,76192700000.0,29970800000.0,,1724000000.0,-7015700000.0,-87100000.0,-10300000.0,-718700000.0,-2300000.0,1.240000000000002,-799500000.0,-3902800000.0,-186800000.0,,-4089600000.0,29970800000.0,1.240000000000002,-87100000.0,-0.00013518355433000799,-7.985344179963298e-05,0.0014681357526690139,0.01241501204441467,-0.0006752655126939838,-0.000820432634568378,0.5829211625354562,0.01241501204441467,0.3933552689430877,2.267756231983441,14570600000.0,14973400000.0,-1825500000.0,720300000.0,-1825500000.0,1295600000.0,38.18,38.18,-16.41785812106272,-1.4089996912627354
2017-03-31,126836900000.0,13700700000.0,10391600000.0,51638100000.0,75188400000.0,26223000000.0,,1092900000.0,3572900000.0,-906000000.0,-2565200000.0,289700000.0,-532100000.0,-7.86,335100000.0,723300000.0,33200000.0,,690100000.0,26223000000.0,-7.86,-906000000.0,-0.03411696485096105,-0.020224398420333516,-0.7179602003974362,-0.25357552688292423,-0.007143031720264371,-0.008933906838876102,0.1931484228497859,-0.25357552688292423,0.348763905070463,1.318439893760345,14347600000.0,12152500000.0,-2577700000.0,276800000.0,-2577700000.0,1252500000.0,29.85,29.85,-10.173022461884626,-2.058043912175649
2017-06-30,124734800000.0,10433200000.0,8638300000.0,49502000000.0,75220400000.0,26443300000.0,,886900000.0,7580300000.0,-1808400000.0,-3291100000.0,567100000.0,-1113300000.0,-10.23,335200000.0,2352600000.0,137200000.0,,2215400000.0,26443300000.0,-10.23,-1808400000.0,-0.043752758560177823,-0.026384777944887874,-0.4341648747411052,-0.23856575597271876,-0.01449795886953761,-0.01778806004503082,0.29225756236560557,-0.23856575597271876,0.35154426192894483,1.2077839389694731,14843800000.0,9107400000.0,-3727000000.0,74000000.0,-3727000000.0,1141000000.0,20.59,20.59,-7.095063053394151,-3.266432953549518
2017-09-30,118992800000.0,10112800000.0,8559800000.0,47819300000.0,71159400000.0,26539100000.0,,1612700000.0,11614600000.0,-5830700000.0,-7246800000.0,832300000.0,-2752100000.0,-22.28,334600000.0,3825000000.0,234000000.0,,3591000000.0,26539100000.0,-22.28,-5830700000.0,-0.10183896997445173,-0.06090116376789184,-0.6239388356034646,-0.502014705629122,-0.04900044372432618,-0.059680547807796434,0.3091798253921788,-0.502014705629122,0.37295283546516694,1.1814294726512302,15752100000.0,-13113400000.0,-8632200000.0,2406900000.0,-8632200000.0,970400000.0,-39.129999999999995,-39.129999999999995,-3.074430620235861,-8.89550700741962
