report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,gross_profit_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,4743000000.0,1338000000.0,1772000000.0,4563000000.0,180000000.0,2132000000.0,,241000000.0,,1797000000.0,,432000000.0,107000000.0,218000000.0,3.04,141509000.0,443000000.0,111000000.0,139000000.0,332000000.0,2132000000.0,,15.0059,1.7028,3.04,,2.4,0.09108159392789374,,,,,,,,11.844444444444445,0.755079006772009,,,,,,,,0.68309665,150.84,96.6601,2.56826,12229.04,16.1974,46.1027,1.8096
2010-06-30,4555000000.0,1124000000.0,1647000000.0,4472000000.0,83000000.0,2124000000.0,,87000000.0,,2477000000.0,,603000000.0,139000000.0,322000000.0,4.24,141534000.0,819000000.0,203000000.0,185000000.0,616000000.0,2124000000.0,0.9052,14.5186,1.6727,4.24,,7.265060240963855,0.13238199780461032,,,,,,,,25.59036144578313,0.6824529447480268,,,,,,,,0.68309665,150.84,96.6601,2.56826,12229.04,16.1974,46.1027,1.8096
2010-09-30,4793000000.0,1721000000.0,1697000000.0,4514000000.0,279000000.0,2124000000.0,,286000000.0,,561000000.0,,216000000.0,32000000.0,,1.52,140932000.0,148000000.0,34000000.0,45000000.0,114000000.0,2124000000.0,,14.0623,1.7913,1.52,,0.7741935483870968,0.04506572084289589,,,,,,,,7.612903225806452,1.0141426045963464,,,,,,,,0.68309665,150.84,96.6601,2.56826,12229.04,16.1974,46.1027,1.8096
2010-12-31,4158000000.0,1344000000.0,1176000000.0,4034000000.0,124000000.0,2125000000.0,,379000000.0,,1053000000.0,,237000000.0,65000000.0,,1.7,139077000.0,225000000.0,89000000.0,88000000.0,136000000.0,2125000000.0,,15.1972,1.6873,1.7,,1.9112903225806452,0.056998556998557,,,,,,,,17.137096774193548,1.1428571428571428,,1488000000.0,5888000000.0,1198000000.0,343000000.0,10.5,10.5,0.68309665,150.84,96.6601,2.56826,12229.04,16.1974,46.1027,1.8096
2011-03-31,4051000000.0,1204000000.0,1232000000.0,4133000000.0,-82000000.0,2125000000.0,,153000000.0,,1628000000.0,,388000000.0,94000000.0,,2.77,139527000.0,406000000.0,159000000.0,130000000.0,247000000.0,2125000000.0,,16.7134,1.8043,2.77,,-4.7317073170731705,0.09577882004443347,,,,,,,,-25.914634146341463,0.9772727272727273,,1444000000.0,5719000000.0,1113000000.0,330000000.0,10.23,10.23,0.68309665,150.84,96.6601,2.56826,12229.04,16.1974,46.1027,1.8096
2011-06-30,4163000000.0,1279000000.0,1365000000.0,4249000000.0,-86000000.0,2125000000.0,,259000000.0,,-969000000.0,,-284000000.0,-68000000.0,,-1.9700000000000006,-281435000.0,-81000000.0,-54000000.0,-90000000.0,-135000000.0,2125000000.0,0.937,16.1438,1.719,-1.9700000000000006,,3.302325581395349,-0.06822003362959404,,,,,,,,-24.709302325581394,0.936996336996337,,557000000.0,2273000000.0,362000000.0,123000000.0,4.02,4.02,0.68309665,150.84,96.6601,2.56826,12229.04,16.1974,46.1027,1.8096
2011-09-30,4077000000.0,1238000000.0,1268000000.0,4153000000.0,-76000000.0,2122000000.0,,270000000.0,1305000000.0,546000000.0,,130000000.0,29000000.0,,0.98,133611000.0,131000000.0,37000000.0,46000000.0,94000000.0,2122000000.0,,18.5759,1.6602,0.98,,-1.7105263157894737,0.031886190826588175,0.09961685823754789,0.41839080459770117,,,,0.07203065134099616,,-27.92105263157895,0.9763406940063092,,471000000.0,2258000000.0,342000000.0,120000000.0,3.4799999999999995,3.4799999999999995,0.68309665,150.84,96.6601,2.56826,12229.04,16.1974,46.1027,1.8096
2011-12-31,4290000000.0,1348000000.0,1637000000.0,4489000000.0,-199000000.0,2070000000.0,,297000000.0,2526000000.0,1053000000.0,,235000000.0,59000000.0,,1.76,133022000.0,168000000.0,82000000.0,89000000.0,86000000.0,2070000000.0,,16.0472,1.6766,1.76,,-1.1809045226130652,0.054778554778554776,0.09303246239113222,0.4168646080760095,,,,0.034045922406967535,,-10.402010050251256,0.8234575442883323,,469000000.0,2258000000.0,292000000.0,114000000.0,3.5399999999999996,3.5399999999999996,0.68309665,150.84,96.6601,2.56826,12229.04,16.1974,46.1027,1.8096
2012-03-31,4386000000.0,1442000000.0,2131000000.0,4492000000.0,-106000000.0,1570000000.0,,303000000.0,3927000000.0,1646000000.0,,367000000.0,92000000.0,,2.77,132569000.0,325000000.0,119000000.0,133000000.0,206000000.0,1570000000.0,,16.7871,1.6635,2.77,,-3.4622641509433962,0.08367533059735523,0.09345556404379934,0.4191494779730074,,,,0.05245734657499363,,-14.81132075471698,0.676677616142656,,448000000.0,2276000000.0,251000000.0,112000000.0,3.5399999999999996,3.5399999999999996,0.68309665,150.84,96.6601,2.56826,12229.04,16.1974,46.1027,1.8096
2012-06-30,4355000000.0,1376000000.0,2061000000.0,4490000000.0,-135000000.0,1571000000.0,,267000000.0,-2290000000.0,-941000000.0,,-191000000.0,-55000000.0,,-1.42,-266892000.0,-12000000.0,-46000000.0,-90000000.0,-58000000.0,1571000000.0,0.6676,17.3849,1.72,-1.42,,1.4148148148148147,-0.04385763490241102,0.08340611353711791,0.4109170305676856,,,,0.025327510917030567,,-11.637037037037038,0.6676370693837943,5468000000.0,541000000.0,2304000000.0,328000000.0,125000000.0,4.09,4.09,0.68309665,150.84,96.6601,2.56826,12229.04,16.1974,46.1027,1.8096
