report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda
2011-09-30,1849050000.0,631791000.0,216479000.0,531347000.0,1298173000.0,184783000.0,280713000.0,1336732000.0,232738000.0,160684000.0,73102000.0,0.83,297665000.0,18121000.0,125403000.0,279544000.0,184783000.0,0.83,358141000.0,0.12377703125854567,0.08690084097239123,0.12020659339344011,0.17410969438900242,0.1258689597360807,0.15694194568146325,0.2091249405265977,0.26792281474521445,0.14234081281924674,2.9184863196892077,,,,,,,,
2011-12-31,1858392000.0,650181000.0,380576000.0,537383000.0,1301289000.0,39104000.0,316337000.0,1808966000.0,322456000.0,220559000.0,102597000.0,1.15,436319000.0,26938000.0,169165000.0,409381000.0,39104000.0,1.15,491621000.0,0.16949271068917052,0.11868271064447114,0.12192545354639059,0.17825431765992286,0.17351344603291446,0.24056825125168513,0.2263066304175977,0.2717690658641456,0.030050204066890598,1.7084130370806356,,,,,,,,
2012-03-31,1906135000.0,712980000.0,383034000.0,537911000.0,1349051000.0,34269000.0,370955000.0,461162000.0,84831000.0,56395000.0,29556000.0,0.3,97913000.0,4984000.0,40873000.0,92929000.0,34269000.0,0.3,125704000.0,0.04180346035842974,0.029586047158254792,0.12228891365723976,0.18395054232569033,0.044504193039842405,0.06132420553451118,0.2015105320906753,0.2725810019038863,0.025402301321447447,1.8614013377402527,,,,,,,,
2012-06-30,1936541000.0,753840000.0,372098000.0,522823000.0,1392951000.0,37627000.0,418643000.0,923813000.0,176927000.0,123106000.0,54108000.0,0.65,203404000.0,13810000.0,84086000.0,189594000.0,37627000.0,0.65,261013000.0,0.08837783956506726,0.0635700457671694,0.1332585707280586,0.19151819686451696,0.09136238272259663,0.12367518583397759,0.20522984630006288,0.2825387821994278,0.027012436187633306,2.025917903348043,4530673000.0,560744000.0,816952000.0,971448000.0,1236479000.0,2.9299999999999997,2.9299999999999997,0.030430763482436823
2012-09-30,1969919000.0,690953000.0,221436000.0,519567000.0,1390945000.0,176935000.0,356569000.0,1391872000.0,267821000.0,183418000.0,84336000.0,0.97,333987000.0,24296000.0,127329000.0,309691000.0,176935000.0,0.97,395150000.0,0.13186574594969608,0.09310941211288383,0.13177792210778003,0.19241783727239287,0.13595533623463707,0.17081728193484194,0.22249962640242782,0.2838982320213353,0.127204885886933,3.120328221246771,4585813000.0,583478000.0,852035000.0,1001595000.0,1273488000.0,3.07,3.07,0.13893731232646087
2012-12-31,2023838000.0,574726000.0,230519000.0,539398000.0,1425210000.0,174859000.0,247612000.0,-905875000.0,-171927000.0,-118639000.0,-52898000.0,-0.6299999999999999,-179551000.0,-11695000.0,-81678000.0,-191246000.0,174859000.0,-0.6299999999999999,-253605000.0,-0.08324317118179075,-0.05862079870029123,0.13096619290740996,0.18979108596660688,-0.08495096939577179,-0.10744974122990945,0.2111174279012005,0.27995584379743343,0.12268998954540032,2.49318277452184,1870972000.0,244280000.0,357652000.0,400968000.0,528262000.0,1.29,1.29,0.33100809825427535
2013-03-31,2039194000.0,566702000.0,220197000.0,525648000.0,1454801000.0,169229000.0,223097000.0,464996000.0,74903000.0,57028000.0,17846000.0,0.3,52437000.0,6481000.0,42498000.0,45956000.0,169229000.0,0.3,117401000.0,0.03919986307405618,0.027965951253289288,0.12264191519927053,0.1610831060912352,0.03673166947333113,0.04612168494424364,0.09883095768565751,0.2524774406661563,0.11632450073927637,2.5736136277969273,1874806000.0,244913000.0,347724000.0,353995000.0,519959000.0,1.29,1.29,0.32546604636134774
2013-12-31,3686568000.0,653933000.0,297215000.0,2044490000.0,1581077000.0,1428251000.0,278230000.0,2132353000.0,386247000.0,244750000.0,112369000.0,1.29,452398000.0,40598000.0,205351000.0,411800000.0,1428251000.0,1.29,591598000.0,0.1547995448672013,0.06638966106145336,0.11477930717850188,0.18113651914106155,0.10477142968744914,0.12834991732373474,0.19311999467255186,0.27743905441547434,0.9033405710158329,2.2002018740642297,3083346000.0,366557000.0,557044000.0,576201000.0,850544000.0,1.9300000000000002,1.9300000000000002,1.6792205929381667
2019-03-31,7774132000.0,1229393000.0,565377000.0,5421372000.0,2352760000.0,4139148000.0,494646000.0,1034531000.0,223270000.0,161607000.0,29899000.0,0.9,227589000.0,19396000.0,103710000.0,208193000.0,4139148000.0,0.9,326980000.0,0.06868826399632771,0.020787786983807323,0.15621281527571432,0.21581760237247602,0.028719604966831024,0.034392046221234186,0.2012438486618574,0.31606592745891615,1.7592733640490317,2.174465887363653,2726005000.0,344746000.0,512493000.0,474703000.0,782374000.0,1.8600000000000003,1.8600000000000003,5.290497894868695
