report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2022-01-31,1623675000.0,1532589000.0,308677000.0,341384000.0,1282291000.0,1355828000.0,320769000.0,257329000.0,-289314000.0,-290138000.0,986000.0,,,-56215000.0,214000.0,2500000.0,-56429000.0,0.0,4.9647,,,-286814000.0,-0.22626533290805284,-0.17869216438018692,-0.9045076051613467,0.8022252773802955,-0.9019387783732219,-0.17818467365698185,-0.22562273306137218,-0.1759178723629777,-0.8941450077781831,0.0,4.965024928971061,,,,,,,,,,-0.32114968,34.82,34.77,9.19901,7110.6797,3.5909,10.8578
2022-04-30,1580382000.0,1482348000.0,298260000.0,328768000.0,1251614000.0,1340900000.0,100897000.0,81508000.0,-78442000.0,-78217000.0,285000.0,,,-13719000.0,13000.0,900000.0,-13732000.0,0.0,4.9647,,,-77542000.0,-0.06249290915569816,-0.04949246448010671,-0.7752163097019733,0.8078337314290811,-0.7774463066295331,-0.049634835122141355,-0.06267267703940672,-0.13609919026333786,-0.7685263189192939,0.0,4.969985918326293,,,,,,,,,,-0.32114968,34.82,34.77,9.19901,7110.6797,3.5909,10.8578
2022-07-31,1567351000.0,1458592000.0,309305000.0,337121000.0,1230230000.0,1291834000.0,214760000.0,173831000.0,-157061000.0,-152981000.0,422000.0,-0.83,184113824.0,-70869000.0,72000.0,1900000.0,-70941000.0,0.0,,,-0.83,-155161000.0,-0.12435154402022386,-0.09760481219586423,-0.712334699199106,0.8094198174706649,-0.731332650400447,-0.10020793045080521,-0.12766799704120368,-0.3303268765133172,-0.7224855652821754,0.0,4.715707796511534,,,,,,,,,,-0.32114968,34.82,34.77,9.19901,7110.6797,3.5909,10.8578
2022-10-31,1553365000.0,1441934000.0,319028000.0,346159000.0,1207206000.0,1274901000.0,340101000.0,276624000.0,-234399000.0,-224939000.0,744000.0,-1.22,185124000.0,-86040000.0,140000.0,3178000.0,-86180000.0,0.0,,13.2211,-1.22,-231221000.0,-0.1863302534944326,-0.14480756293594874,-0.6613888227320708,0.8133583847151288,-0.6892040893734508,-0.1508975675388592,-0.1941665299874255,-0.2533953149211558,-0.6798598063516426,0.0,4.5197725591484135,976527000.0,-746275000.0,-759216000.0,789292000.0,-227282000.0,-750738000.0,,,-0.0,-0.32114968,34.82,34.77,9.19901,7110.6797,3.5909,10.8578
2023-01-31,1628340000.0,1508998000.0,380849000.0,422990000.0,1205350000.0,1286134000.0,-179869000.0,-143043000.0,172615000.0,181839000.0,-438000.0,0.5799999999999998,-183208824.0,86166000.0,27000.0,-1390000.0,86139000.0,0.0,3.9627,12.8455,0.5799999999999998,171225000.0,0.15085991620691086,0.11167139540882125,-1.010952415368963,0.7952621074226243,-0.9596706491946917,0.10600673078104081,0.1432073671547683,-0.47889853170918834,-0.9519428028176061,0.0,3.962194990665592,475889000.0,-274298000.0,-297287000.0,388920000.0,-84714000.0,-292699000.0,,,-0.0,-0.32114968,34.82,34.77,9.19901,7110.6797,3.5909,10.8578
2023-04-30,1583349000.0,1461880000.0,350184000.0,389053000.0,1194296000.0,966791000.0,137983000.0,111195000.0,-67810000.0,-53258000.0,308000.0,-0.28,190806000.0,3874000.0,391000.0,1583000.0,3483000.0,0.0,,10.1188,-0.28,-66227000.0,-0.04459363507874095,-0.03363629875662283,-0.3859750838871455,0.8058601421914294,-0.49143735097801905,-0.04282694465970547,-0.056778219134954816,0.02524223998608524,-0.4799649232151787,0.0,4.174605350330112,512975000.0,-249339000.0,-286655000.0,418607000.0,-67499000.0,-281384000.0,-1.7500000000000002,-1.7500000000000002,-0.0,-0.32114968,34.82,34.77,9.19901,7110.6797,3.5909,10.8578
2023-07-31,1590603000.0,1440352000.0,361777000.0,405691000.0,1184912000.0,830018000.0,281229000.0,225107000.0,-150406000.0,-119573000.0,200000.0,-0.62,191723000.0,-29794000.0,417000.0,3876000.0,-30211000.0,0.0,,10.5732,-0.62,-146530000.0,-0.1009129791917037,-0.07517463502835088,-0.4251801912320564,0.8004402106468395,-0.5348168218782557,-0.0945591074579892,-0.12693432086095846,-0.10742490994883173,-0.521034459461862,0.0,3.9813255126776994,579444000.0,-215931000.0,-280000000.0,469883000.0,-26769000.0,-272753000.0,-1.5400000000000003,-1.5400000000000003,-0.0,-0.32114968,34.82,34.77,9.19901,7110.6797,3.5909,10.8578
2023-10-31,1586269000.0,1438590000.0,357890000.0,394546000.0,1191723000.0,729826000.0,427354000.0,345627000.0,-205979000.0,-159046000.0,500000.0,-0.83,192693000.0,-21137000.0,491000.0,6586000.0,-21628000.0,0.0,,6.8368,-0.83,-199393000.0,-0.13345886586060687,-0.10026420487319616,-0.37216452870454003,0.8087604187628992,-0.4819868305900963,-0.12985124212854188,-0.1728413398079923,-0.050609096907949846,-0.4665757194269856,0.0,4.019642907038476,666697000.0,-150038000.0,-251580000.0,538886000.0,37783000.0,-240925000.0,-1.1500000000000004,-1.1500000000000004,-0.0,-0.32114968,34.82,34.77,9.19901,7110.6797,3.5909,10.8578
2024-01-31,1691947000.0,1541551000.0,440752000.0,478954000.0,1212993000.0,763414000.0,-263429000.0,-207491000.0,169917000.0,141209000.0,31000.0,0.75,-381397000.0,36206000.0,-602000.0,-2539000.0,35604000.0,0.0,3.4975,7.4698,0.75,167378000.0,0.11641369735851732,0.08345947006614274,-0.5360419695629562,0.7876543584798941,-0.6450201002926785,0.10042690462526309,0.14008077540430983,-0.1351559623276101,-0.6353818296391058,0.0,3.4975473735797,583137000.0,-190668000.0,-254278000.0,474438000.0,-12752000.0,-244772000.0,-0.9800000000000001,-0.9800000000000001,-0.0,-0.32114968,34.82,34.77,9.19901,7110.6797,3.5909,10.8578
2024-04-30,1648573000.0,1502515000.0,402244000.0,436994000.0,1211579000.0,594738000.0,160579000.0,130267000.0,-67712000.0,-51128000.0,700000.0,-0.26,200073000.0,28148000.0,232000.0,3117000.0,27916000.0,0.0,,10.7704,-0.26,-64595000.0,-0.04219947688099579,-0.03101348863532279,-0.3183977979686011,0.811233100218584,-0.42167406697015175,-0.04107309776394494,-0.05588739983112946,0.1738458951668649,-0.402263060549636,0.0,3.7353322858762343,605733000.0,-188538000.0,-254180000.0,493510000.0,11681000.0,-243140000.0,-0.9600000000000001,-0.9600000000000001,-0.0,-0.32114968,34.82,34.77,9.19901,7110.6797,3.5909,10.8578
