report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,roi,roic,fcf_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-09-30,2682204000.0,1651709000.0,410694000.0,1254072000.0,1423832000.0,733574000.0,630640000.0,,,,,44764000.0,14400000.0,12824000.0,1.59,28103000.0,,,,,733574000.0,,16.1118,1.3275,1.59,,0.031439102366009476,0.016689260026455856,,,,,,0.5152110642266784,4.021750987353115,,,,,,,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2010-12-31,3062764000.0,1975346000.0,666627000.0,1522245000.0,1540519000.0,,,,,,,185490000.0,63717000.0,33348000.0,6.59,28151000.0,225909000.0,,,,0.0,2.961,15.5746,1.5,6.59,,0.12040747306589532,0.06056294249246759,,,,,,0.0,2.9631953101209523,,,,,,,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2011-03-31,2908773000.0,1797310000.0,427591000.0,1295285000.0,1612292000.0,731214000.0,627908000.0,,,,,33039000.0,16766000.0,15323000.0,1.16,28389000.0,19782000.0,,28115000.0,,731214000.0,,18.1905,1.7066,1.16,,0.02049194562771508,0.011358397509877877,,,,,,0.4535245476625822,4.203339172246376,,,,,,,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2011-06-30,3044245000.0,1889656000.0,442844000.0,1318330000.0,1725834000.0,731331000.0,670301000.0,,,,,73087000.0,28807000.0,33120000.0,2.57,28443000.0,130081000.0,42557000.0,57743000.0,87524000.0,731331000.0,,17.957,1.6574,2.57,,0.042348800637836546,0.02400825163546298,,,,,,0.42375512360980255,4.267091797563024,,336380000.0,,123690000.0,11.91,11.91,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2011-09-30,2969795000.0,1877703000.0,415326000.0,1276149000.0,1693149000.0,731597000.0,671028000.0,,,,,118984000.0,41148000.0,43031000.0,4.18,28454000.0,181239000.0,67233000.0,88127000.0,114006000.0,731597000.0,,13.6178,1.2367,4.18,,0.07027379161550461,0.04006471827179991,,,,,,0.4320925092829987,4.521034079253406,,410600000.0,,150438000.0,14.5,14.5,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2011-12-31,3096803000.0,1798155000.0,459115000.0,1352421000.0,1743937000.0,731698000.0,574231000.0,,,,,-46887000.0,-33586000.0,-33735000.0,-1.6499999999999995,-56818000.0,-71286000.0,-6902000.0,,-78188000.0,731698000.0,3.9172,15.4813,1.3297,-1.6499999999999995,,-0.026885718922185838,-0.015140452912245306,,,,,,0.41956676187270525,3.9165677444648943,,178223000.0,,53135000.0,6.26,6.26,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2012-01-31,,,,,,,,,,,,,,,,,,,,,0.0,3.9172,15.4813,1.3297,,,,,,,,,,,,,,,,,,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2012-03-31,3187874000.0,1817448000.0,444080000.0,1347828000.0,1839649000.0,731899000.0,533812000.0,,,,,31005000.0,13196000.0,15235000.0,1.09,28553000.0,35260000.0,34654000.0,31096000.0,606000.0,731899000.0,,16.4929,1.3999,1.09,,0.016853758515890802,0.009725917649191907,,,,,,0.39784708930888446,4.092613943433616,,,,,,,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2012-06-30,3168895000.0,1811072000.0,417184000.0,1316403000.0,1851888000.0,732054000.0,456487000.0,,,,,79348000.0,25597000.0,32689000.0,2.78,28582000.0,108902000.0,75697000.0,62749000.0,33205000.0,732054000.0,,15.2059,1.3611,2.78,,0.04284708362492764,0.025039643156368387,,,,,,0.39530144371581866,4.341182787451101,,,,,,,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2012-07-31,,,,,,,,,,,,,,,,,,,,,0.0,,15.2059,1.3611,,,,,,,,,,,,,,,,,,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
