report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda
2011-09-24,3521583000.0,1503942000.0,386667000.0,1009027000.0,2512556000.0,311792000.0,,710041000.0,,,395473000.0,172380000.0,133446000.0,,34834000.0,0.44,301076000.0,120809000.0,49324000.0,52071000.0,71485000.0,311792000.0,4.1706,0.44,224451000.0,0.053111652038800326,0.03789375403050276,,,,0.048949577505343476,0.06103355535507664,,,0.12409355254171449,3.889501819394983,,,,,,,,
2011-12-31,3520655000.0,1465200000.0,379659000.0,1016189000.0,2504466000.0,308700000.0,,741160000.0,,,743433000.0,286890000.0,221576000.0,,63588000.0,0.74,300083000.0,370129000.0,117685000.0,104066000.0,252444000.0,308700000.0,,0.74,390956000.0,0.08847235298862113,0.06293601616744611,,,,0.0814876777190608,0.1019811841889174,,,0.12325980867777801,3.85925264513682,,,,,,,,
2012-03-31,3670237000.0,1637246000.0,437627000.0,1167039000.0,2503198000.0,308700000.0,,860551000.0,,,1078863000.0,398776000.0,276093000.0,,152536000.0,0.92,300113000.0,566628000.0,187738000.0,157542000.0,378890000.0,308700000.0,,0.92,556318000.0,0.1102961092170895,0.07522484242843173,,,,0.10865129418073002,0.14181737744398978,,,0.12332224618268312,3.7411905572553796,,,,,,,,
2012-06-30,3737946000.0,1699366000.0,755389000.0,1199669000.0,2538277000.0,5592000.0,,881060000.0,,,-766917000.0,-323249000.0,-244388000.0,,-73143000.0,-0.81,-601270000.0,-300844000.0,-90399000.0,-102583000.0,-391243000.0,5592000.0,2.2497,-0.81,-425832000.0,-0.09628105994735799,-0.0653802917431124,,,,-0.08647770727560002,-0.12706982946055792,,,0.002203069247367407,2.249656799344444,386727000.0,534797000.0,1450852000.0,311576000.0,745893000.0,1.29,1.29,0.007497053866975558
2012-09-29,3704574000.0,1666796000.0,682397000.0,1136137000.0,2568437000.0,5592000.0,,849850000.0,,,385691000.0,165403000.0,127888000.0,,31773000.0,0.43,298782000.0,136745000.0,50703000.0,53674000.0,86042000.0,5592000.0,2.2497,0.43,219077000.0,0.04979214985611872,0.03452164810312873,,,,0.04464831853810992,0.06425840579107694,,,0.002177199596486112,2.4425605622533513,381169000.0,527820000.0,1441070000.0,326133000.0,740519000.0,1.28,1.28,0.007551460529709568
2012-12-29,3738553000.0,1723995000.0,673819000.0,1157341000.0,2581212000.0,3997000.0,,955107000.0,,,749066000.0,282951000.0,204510000.0,,69901000.0,0.68,298704000.0,391842000.0,112805000.0,105554000.0,279037000.0,3997000.0,,0.68,388505000.0,0.07923022208171975,0.054702982678057524,,,,0.07568462985545477,0.10944995162866909,,,0.001548497372552119,2.558543169604894,364103000.0,523881000.0,1446703000.0,352726000.0,738068000.0,1.22,1.22,0.005415490171637302
2013-03-30,4334118000.0,2335958000.0,706963000.0,1721552000.0,2612566000.0,503573000.0,,1547980000.0,,,1125168000.0,437229000.0,335898000.0,,92725000.0,1.12,298821000.0,603535000.0,167750000.0,155945000.0,435785000.0,503573000.0,,1.12,593174000.0,0.12857014904121083,0.07750088945432497,,,,0.10088073282730188,0.14031113502959913,,,0.19275034582858386,3.3042153549761446,423908000.0,562334000.0,1493008000.0,409621000.0,774924000.0,1.42,1.42,0.6498353386912781
2013-12-28,4306882000.0,1890136000.0,381116000.0,1950818000.0,2356064000.0,1000871000.0,,1149909000.0,,,675868000.0,199003000.0,147473000.0,,42234000.0,0.51,289371000.0,330325000.0,82462000.0,115537000.0,247863000.0,1000871000.0,,0.51,314540000.0,0.06259295163459057,0.034241244594117044,,,,0.04620581664415231,0.059281159748401445,,,0.424806371983104,4.959476904669445,815769000.0,1084586000.0,2935793000.0,1048727000.0,1515296000.0,2.74,2.74,0.6605118735877347
2019-03-30,3803854000.0,2576769000.0,398997000.0,2141107000.0,1662747000.0,992225000.0,0.0,1654563000.0,,1757784000.0,1144115000.0,573527000.0,459928000.0,33900000.0,116843000.0,1.64,279680000.0,638373000.0,52170000.0,85176000.0,586203000.0,992225000.0,,1.64,658703000.0,0.2766073251071871,0.12091105494585229,0.261652171142757,0.6508848641243747,0.3262784278386878,0.15077524005916104,0.21601998062503108,0.3334897803143048,0.3747348934795174,0.5967384093912063,6.4581162264377925,1147809000.0,1492710000.0,3694217000.0,1548888000.0,1954922000.0,3.9499999999999997,3.9499999999999997,0.5075522194747412
2021-03-27,4172227000.0,2874798000.0,534503000.0,2023062000.0,2149165000.0,995100000.0,,2033973000.0,268363772.0,1912674000.0,1276321000.0,662363000.0,573522000.0,,78600000.0,2.12,270743000.0,644450000.0,45442000.0,72892000.0,599008000.0,995100000.0,,2.12,735255000.0,0.26685805882749813,0.1374618399238584,0.2998535035243852,0.6672966747077651,0.34630208807146434,0.1587552642749304,0.21065749865230826,0.3131783043006806,0.3844120848612989,0.46301703219622503,5.378450635450128,1516821000.0,1872122000.0,4221472000.0,1868859000.0,2301672000.0,5.39,5.39,0.43233788306935134
