report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,4837865000.0,2231558000.0,1254804000.0,,2800318000.0,596710000.0,29872000.0,1280067000.0,618347000.0,168445000.0,97476000.0,61000000.0,0.7,139612000.0,170646000.0,90725000.0,,79921000.0,596710000.0,,16.7763,1.1563,0.7,168445000.0,0.03480890384592036,0.02014855726648015,0.07614913906850189,0.4830583086666557,0.13159076829572203,0.0348180447366762,0.04958599104864605,0.06243501316727953,0.13159076829572203,0.21308651374593884,1.778411608506189,,,,,,,,,,0.60598546,108.715,86.79,5.34684,73979.71,29.1464,232.539,4.1604
2010-06-30,4916519000.0,2257497000.0,1309104000.0,,2930452000.0,,31611000.0,2661308000.0,1290980000.0,349609000.0,197071000.0,132850000.0,1.4,140418000.0,355743000.0,182272000.0,,173471000.0,0.0,,18.442,1.2898,1.4,349609000.0,0.06724935265958971,0.040083441150130815,0.07405042933775421,0.48509229296270856,0.13136735770530883,0.07110905093624167,0.11930207353677863,0.06518260945369721,0.13136735770530883,0.0,1.7244596304036959,,,,,,,,,,0.60598546,108.715,86.79,5.34684,73979.71,29.1464,232.539,4.1604
2010-09-30,5023419000.0,2309596000.0,1383262000.0,,3074271000.0,,43193000.0,4087195000.0,1984395000.0,548640000.0,313613000.0,206500000.0,2.23,140874000.0,592563000.0,276463000.0,,316100000.0,0.0,,19.1494,1.4032,2.23,548640000.0,0.10201215182396087,0.062430189478520505,0.07673061843146706,0.48551512712263545,0.13423386943857585,0.10921645198220574,0.17846182070481098,0.07733910420227075,0.13423386943857585,0.0,1.6696735687093263,,,,,,,,,,0.60598546,108.715,86.79,5.34684,73979.71,29.1464,232.539,4.1604
2010-12-31,5047827000.0,2301252000.0,1228958000.0,,3209685000.0,,29721000.0,-2631045000.0,-1272730000.0,-353918000.0,-188787000.0,-130350000.0,-1.38,-278912000.0,-415265000.0,-184041000.0,,-599306000.0,0.0,1.8723,20.1165,1.5631,-1.38,-353918000.0,-0.05881792138480879,-0.03739965731789144,0.0717536188092564,0.48373554994308343,0.13451613332345133,-0.0701129416677711,-0.11026564912133122,0.22778249706865522,0.13451613332345133,0.0,1.8725229015149418,5397525000.0,419373000.0,712776000.0,2620992000.0,-29814000.0,712776000.0,2.95,2.95,0.0,0.60598546,108.715,86.79,5.34684,73979.71,29.1464,232.539,4.1604
2011-03-31,5248086000.0,2467411000.0,1317974000.0,,3187850000.0,,230048000.0,1382738000.0,669781000.0,196437000.0,102474000.0,63700000.0,0.72,142866000.0,294113000.0,94404000.0,,199709000.0,0.0,,19.0698,1.4715,0.72,196437000.0,0.03214517621594492,0.01952597575573266,0.07410948422622363,0.4843874978484717,0.14206378938020073,0.03743021741640667,0.06162052794202989,0.1444301089577346,0.14206378938020073,0.0,1.872124184543853,5500196000.0,424371000.0,740768000.0,2672426000.0,89974000.0,740768000.0,2.9699999999999998,2.9699999999999998,0.0,0.60598546,108.715,86.79,5.34684,73979.71,29.1464,232.539,4.1604
2011-06-30,5365902000.0,2554184000.0,1458243000.0,,3153385000.0,,268792000.0,2862056000.0,1388442000.0,418805000.0,236246000.0,146910000.0,1.67,141289000.0,561468000.0,150649000.0,,410819000.0,0.0,,19.6945,1.6134,1.67,418805000.0,0.07491822279867508,0.04402726699071284,0.08254415706750672,0.48512048681088,0.14633012072440232,0.07804931957385729,0.13281124886431564,0.1435398189273725,0.14633012072440232,0.0,1.751548953089437,5700944000.0,463546000.0,809964000.0,2769888000.0,327322000.0,809964000.0,3.24,3.24,0.0,0.60598546,108.715,86.79,5.34684,73979.71,29.1464,232.539,4.1604
2011-09-30,5396783000.0,2536514000.0,1506047000.0,5396783000.0,2830548000.0,796962000.0,276717000.0,4397509000.0,2142652000.0,659855000.0,384685000.0,233500000.0,2.76,139183000.0,840149000.0,243311000.0,,596838000.0,796962000.0,,18.4667,1.5869,2.76,659855000.0,0.13590477886260893,0.07128042761771225,0.08747793353009624,0.4872422091688727,0.15005199534554675,0.12226821052467739,0.1819030133617826,0.13572183706730334,0.15005199534554675,0.28155749346063025,1.6842196823870703,6011258000.0,534618000.0,921179000.0,2928145000.0,608060000.0,921179000.0,3.77,3.77,0.8651543293974352,0.60598546,108.715,86.79,5.34684,73979.71,29.1464,232.539,4.1604
2011-12-31,5500501000.0,2607610000.0,1580010000.0,5500501000.0,2844851000.0,796912000.0,361552000.0,-2853487000.0,-1363526000.0,-408331000.0,-215732000.0,-136010000.0,-1.4399999999999995,-286355000.0,-576739000.0,-160045000.0,165880000.0,-736784000.0,796912000.0,1.6506,19.5767,1.717,-1.4399999999999995,-242451000.0,-0.07583244254268501,-0.03922042737561542,0.07560293773898391,0.47784552724438556,0.14309895226436986,-0.07423523784469814,-0.11212453968036909,0.25820478593384166,0.08496656897332983,0.2801243369160634,1.650375630533984,5788816000.0,507673000.0,866766000.0,2837349000.0,470582000.0,1032646000.0,3.710000000000001,3.710000000000001,0.7717184785492802,0.60598546,108.715,86.79,5.34684,73979.71,29.1464,232.539,4.1604
2012-03-31,5754125000.0,2830382000.0,1801656000.0,5754125000.0,2871847000.0,796863000.0,575196000.0,1529392000.0,761680000.0,247501000.0,147492000.0,92300000.0,1.14,129327000.0,414528000.0,75457000.0,43833000.0,339071000.0,796863000.0,,21.1683,1.9711,1.14,291334000.0,0.051357889191172096,0.025632394152021377,0.09643832320294601,0.49802797451536296,0.1618296682603283,0.04301279516868334,0.06746267761692802,0.2217031343174281,0.19049007710253488,0.2774740437077602,1.570989134440759,5935470000.0,552691000.0,917830000.0,2929248000.0,609944000.0,1127543000.0,4.13,4.13,0.706725153719193,0.60598546,108.715,86.79,5.34684,73979.71,29.1464,232.539,4.1604
2012-06-30,5710092000.0,2763992000.0,2012898000.0,5710092000.0,2612652000.0,796884000.0,367717000.0,3092241000.0,1541541000.0,491104000.0,293612000.0,181250000.0,2.29,128261000.0,691458000.0,151327000.0,88230000.0,540131000.0,796884000.0,,18.3777,1.7251,2.29,579334000.0,0.11238082990004027,0.051419837018387794,0.09495120205701948,0.4985190352239686,0.15881815162530993,0.08600632003827609,0.1440383676840485,0.174672996056905,0.18735085654708025,0.3050096224066581,1.3731406161663433,6165655000.0,610057000.0,990129000.0,3082347000.0,739256000.0,1288072000.0,4.75,4.75,0.6186641740523822,0.60598546,108.715,86.79,5.34684,73979.71,29.1464,232.539,4.1604
2012-09-30,5849356000.0,2882850000.0,2195409000.0,5849356000.0,2258523000.0,1095672000.0,422705000.0,4693799000.0,2347034000.0,754422000.0,452944000.0,275900000.0,3.6,125670000.0,1033126000.0,217341000.0,132496000.0,815785000.0,1095672000.0,,17.308,1.638,3.6,886918000.0,0.20054876571989746,0.07743484923810416,0.09649838009680431,0.5000286548273584,0.16072737669422998,0.12897522393918237,0.2249189447840689,0.17380058242800767,0.1889552577773356,0.4851276697204323,1.313126620142306,6461945000.0,678316000.0,1084696000.0,3286729000.0,958203000.0,1515135000.0,5.59,5.59,0.7231514023502856,0.60598546,108.715,86.79,5.34684,73979.71,29.1464,232.539,4.1604
2012-12-31,5749187000.0,2732948000.0,2272865000.0,5749187000.0,2108307000.0,1095734000.0,248128000.0,-3133248000.0,-1552837000.0,-515634000.0,-308302000.0,-193675000.0,-2.2799999999999994,-259944000.0,-887557000.0,-143406000.0,-87453000.0,-1030963000.0,1095734000.0,1.2024,17.4996,1.6579,-2.2799999999999994,-603087000.0,-0.14623202408377908,-0.05362532128455728,0.09839693506546561,0.49559977378107317,0.16456852441938843,-0.0896881593867098,-0.1609323975567104,0.3290397057621995,0.19247981647159754,0.5197222226174841,1.2024242530902627,6182184000.0,585746000.0,977393000.0,3097418000.0,664024000.0,1154499000.0,4.75,4.75,0.9490991330438571,0.60598546,108.715,86.79,5.34684,73979.71,29.1464,232.539,4.1604
2013-03-31,5789541000.0,2741188000.0,2349022000.0,5789541000.0,2072525000.0,1095852000.0,205410000.0,1585009000.0,798663000.0,251084000.0,154329000.0,86300000.0,1.36,113396000.0,226344000.0,73484000.0,44179000.0,152860000.0,1095852000.0,,19.2984,1.8331,1.36,295263000.0,0.0744642404796082,0.026656517330130317,0.09736790138100163,0.5038854668964025,0.15841171879781124,0.04336855028749256,0.07924688255217104,0.09644109276351112,0.18628474664812628,0.5287521260298428,1.1669486279821986,6237801000.0,592583000.0,980976000.0,3134401000.0,477813000.0,1158428000.0,4.970000000000001,4.970000000000001,0.9459819686678844,0.60598546,108.715,86.79,5.34684,73979.71,29.1464,232.539,4.1604
2013-06-30,6123646000.0,3005157000.0,2430298000.0,,2006143000.0,,365930000.0,3299978000.0,1670538000.0,547345000.0,331456000.0,195300000.0,2.0,112736000.0,439412000.0,176577000.0,89682000.0,262835000.0,0.0,,20.3275,1.9834,2.0,637027000.0,0.16522052515698032,0.05412723073802764,0.10044188173375701,0.5062270112103777,0.16586322696696765,0.08938220791992221,0.27283448886744366,0.07964750068030757,0.19303977178029672,0.0,1.2365384821120702,6445538000.0,630427000.0,1037217000.0,3263398000.0,200517000.0,1216121000.0,4.680000000000001,4.680000000000001,0.0,0.60598546,108.715,86.79,5.34684,73979.71,29.1464,232.539,4.1604
2013-09-30,6167176000.0,2975773000.0,2439056000.0,,2035887000.0,,363008000.0,5028003000.0,2549701000.0,847725000.0,517945000.0,297100000.0,4.0,111885000.0,719848000.0,299511000.0,136071000.0,420337000.0,0.0,,21.1116,2.1081,4.0,983796000.0,0.2544075383358703,0.0839841444447183,0.10301207059741213,0.5071001349840085,0.16860073472509862,0.1374575656670087,0.4163909883014136,0.08359919435211156,0.1956633677426207,0.0,1.2200511181375089,6779742000.0,695428000.0,1130520000.0,3466065000.0,-194931000.0,1312999000.0,5.08,5.08,0.0,0.60598546,108.715,86.79,5.34684,73979.71,29.1464,232.539,4.1604
2013-12-31,6067208000.0,2835201000.0,2423010000.0,6067208000.0,1966321000.0,1396141000.0,231318000.0,-3263753000.0,-1649901000.0,-542669000.0,-333438000.0,-190050000.0,-1.33,-226916000.0,-477578000.0,-153691000.0,-86752000.0,-631269000.0,1396141000.0,1.17,20.3454,2.0507,-1.33,-629421000.0,-0.1695745506455965,-0.05495740380089161,0.10216398115911345,0.5055226299294094,0.16627146723419328,-0.08944295300243539,-0.16139037407708995,0.1934181293743736,0.19285191005569355,0.7100269996607879,1.1701152698503101,6649237000.0,670292000.0,1103485000.0,3369001000.0,204763000.0,1286665000.0,6.029999999999999,6.029999999999999,1.085085084307104,0.60598546,108.715,86.79,5.34684,73979.71,29.1464,232.539,4.1604
