report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_pe,eps,ebitda,roe,roa,net_margin,roi,roic,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2021-06-30,1945996000000.0,1752869000000.0,191262000000.0,179656000000.0,45635000000.0,,,,10676000000.0,2131000000.0,2346000000.0,2.4,4164600000.0,-11532000000.0,225291000000.0,11.0233,2.4,,0.055818719871171485,0.005486136662151413,,,,1.1779182482667754,,14001000000.0,,,15473000000.0,2.569999999999999,2.569999999999999,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2021-09-30,1954901000000.0,1763830000000.0,189028000000.0,162982000000.0,41980000000.0,,,,15798000000.0,3056000000.0,3867000000.0,3.57,4140000000.0,-16342000000.0,204962000000.0,9.8204,3.57,,0.08357492011765452,0.008081227642729734,,,,1.0842943902490636,,31525000000.0,,,13193000000.0,6.789999999999999,6.789999999999999,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2021-12-31,1948068000000.0,1757958000000.0,187606000000.0,160689000000.0,34409000000.0,,,,-9668000000.0,-2510000000.0,-961000000.0,-2.0699999999999994,-8379400000.0,19819000000.0,195098000000.0,8.6529,-2.0699999999999994,,-0.05153353304265322,-0.0049628657726527,,,,1.0399347568841082,,21548000000.0,,,3915000000.0,4.949999999999999,4.949999999999999,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2022-03-31,1939709000000.0,1758020000000.0,179243000000.0,153337000000.0,33601000000.0,,,4509000000.0,3671000000.0,960000000.0,707000000.0,0.88,3868900000.0,199000000.0,186938000000.0,8.6649,0.88,4509000000.0,0.020480576647344668,0.0018925519240257172,,0.0023245754904472784,0.012313582627170716,1.0429305467995962,,20477000000.0,,,3637000000.0,4.779999999999999,4.779999999999999,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2022-06-30,1881142000000.0,1701349000000.0,177532000000.0,150291000000.0,37075000000.0,,,,6790000000.0,2318000000.0,1320000000.0,1.62,3845000000.0,7787000000.0,187366000000.0,8.0908,1.62,,0.03824662596039024,0.003609509542607629,,,,1.0553928305882883,,16591000000.0,,,3824000000.0,3.9999999999999996,3.9999999999999996,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2022-09-30,1877745000000.0,1699336000000.0,176189000000.0,156412000000.0,48382000000.0,,,,10318000000.0,4714000000.0,2214000000.0,2.47,3838500000.0,19803000000.0,204794000000.0,9.0686,2.47,,0.058562112277156915,0.005494888816106554,,,,1.1623540629664735,,11111000000.0,,,5482000000.0,2.9,2.9,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2022-12-31,1881016000000.0,1699141000000.0,179889000000.0,174870000000.0,51145000000.0,,,,-7597000000.0,1082000000.0,-2154000000.0,-1.8300000000000005,-7715400000.0,-741000000.0,226015000000.0,11.5036,-1.8300000000000005,,-0.042231598374553196,-0.004038774789794451,,,,1.2564136773232382,,13182000000.0,,,9074000000.0,3.1399999999999983,3.1399999999999983,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2023-03-31,1886400000000.0,1703180000000.0,181168000000.0,173466000000.0,81007000000.0,,,,4991000000.0,6020000000.0,966000000.0,1.23,3818700000.0,7406000000.0,254473000000.0,9.4535,1.23,,0.027549015278636405,0.00264578032230704,,,,1.4046244369866643,,14502000000.0,,,14134000000.0,3.489999999999999,3.489999999999999,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2023-06-30,1876320000000.0,1694368000000.0,180191000000.0,170632000000.0,84255000000.0,,,,9929000000.0,13687000000.0,1896000000.0,2.48,3772400000.0,6651000000.0,254887000000.0,9.387,2.48,,0.05510264108640276,0.00529174128080498,,,,1.4145379069986848,,17641000000.0,,,25503000000.0,4.349999999999999,4.349999999999999,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2023-09-30,1909261000000.0,1726888000000.0,180715000000.0,190035000000.0,93330000000.0,,,,15696000000.0,22675000000.0,2707000000.0,3.96,3741600000.0,22156000000.0,283365000000.0,7.6441,3.96,,0.08685499266801316,0.008220981835380286,,,,1.5680214702708686,,23019000000.0,,,43464000000.0,5.839999999999998,5.839999999999998,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2023-12-31,1932468000000.0,1745025000000.0,185735000000.0,207588000000.0,89559000000.0,,12694000000.0,,-11474000000.0,-9639000000.0,-2962000000.0,-2.84,-7612300000.0,4145000000.0,297147000000.0,9.3381,-2.84,,-0.061776186502274746,-0.005937485122651449,-0.9038916023318103,,,1.5998438635690635,,19142000000.0,,,32743000000.0,4.829999999999998,4.829999999999998,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2024-03-31,1959153000000.0,1776479000000.0,180943000000.0,187764000000.0,109014000000.0,,3584000000.0,,4619000000.0,10613000000.0,964000000.0,1.2,3600100000.0,-12125000000.0,296778000000.0,10.7476,1.2,,0.0255273760244939,0.002357651495314557,1.2887834821428572,,,1.6401739774404094,,18770000000.0,,,37336000000.0,4.799999999999999,4.799999999999999,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2024-06-30,1940073000000.0,1761925000000.0,176430000000.0,179136000000.0,118834000000.0,,7254000000.0,,9529000000.0,21574000000.0,2215000000.0,2.53,3543200000.0,-10075000000.0,297970000000.0,11.2707,2.53,,0.054010088987133706,0.004911670849498962,1.3136200716845878,,,1.6888851102420224,,18370000000.0,,,45223000000.0,4.85,4.85,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2024-09-30,1922125000000.0,1737114000000.0,183265000000.0,182015000000.0,111894000000.0,,11035000000.0,,14643000000.0,,3279000000.0,3.94,3503500000.0,-5869000000.0,293909000000.0,10.4476,3.94,,0.07990069025727771,0.007618130974832542,1.3269596737652922,,,1.603737756800262,34567000000.0,17317000000.0,,,,4.829999999999999,4.829999999999999,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2024-12-31,1929845000000.0,1748779000000.0,179120000000.0,173078000000.0,108806000000.0,,-6912000000.0,,-9069000000.0,,-3059000000.0,-2.3,-7179200000.0,31104000000.0,281884000000.0,11.915,-2.3,,-0.05063086199196069,-0.0046993411387961205,1.3120659722222223,,,1.573715944618133,14961000000.0,19722000000.0,,,,5.369999999999999,5.369999999999999,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2025-03-31,1950311000000.0,1767405000000.0,181090000000.0,173660000000.0,139776000000.0,,3949000000.0,,4894000000.0,,522000000.0,1.39,3321600000.0,-11037000000.0,313436000000.0,11.7095,1.39,,0.0270252360704622,0.0025093433816452864,1.2393010888832616,,,1.7308299740460544,15326000000.0,19997000000.0,,,,5.559999999999999,5.559999999999999,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2025-06-30,1981269000000.0,1798315000000.0,181111000000.0,176237000000.0,187995000000.0,,7754000000.0,,10388000000.0,,1438000000.0,2.98,3294200000.0,-22253000000.0,364232000000.0,12.5366,2.98,,0.057357090403122944,0.005243104293258512,1.3396956409595047,,,2.0110981663178933,15826000000.0,20856000000.0,,,,6.01,6.01,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2025-09-30,2062926000000.0,1879914000000.0,181154000000.0,177773000000.0,230649000000.0,,11905000000.0,,15977000000.0,,2738000000.0,4.64,3270300000.0,-23122000000.0,408422000000.0,12.5353,4.64,,0.08819567881471013,0.007744824584110142,1.3420411591768164,,,2.2545568963423386,16696000000.0,22190000000.0,,,,6.709999999999999,6.709999999999999,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
