report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,24203000000.0,2733000000.0,2482000000.0,,6551000000.0,6242000000.0,0.0,193000000.0,,472000000.0,229000000.0,140000000.0,116000000.0,,166000000.0,817000000.0,,251000000.0,,6242000000.0,,12.8835,0.9146,,723000000.0,0.0349564951915738,0.009461636987150353,,,0.019501714663471472,0.03689517704994919,,0.9528316287589681,1.1011281224818694,,,,,,,,,,,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2010-09-30,24266000000.0,2741000000.0,2513000000.0,,6646000000.0,6099000000.0,20000000.0,84000000.0,,1114000000.0,478000000.0,418000000.0,252000000.0,2.84,168000000.0,1509000000.0,,775000000.0,,6119000000.0,,12.9892,0.9133,2.84,1889000000.0,0.07192296117965694,0.01969834336108135,,,0.04590785461139042,0.0872698785742264,,0.9207041829671984,1.0907282132908873,,,,,,,,,,,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2010-12-31,24896000000.0,3167000000.0,2749000000.0,,6722000000.0,6114000000.0,150000000.0,65000000.0,,1464000000.0,630000000.0,549000000.0,311000000.0,3.74,169000000.0,1825000000.0,,1027000000.0,,6264000000.0,1.1521,12.1657,0.8957,3.74,2491000000.0,0.09372210651591788,0.025305269922879178,,,0.058804627249357325,0.11273679346989066,,0.931865516215412,1.1520552928337577,,,,,,,,,,,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2011-03-31,24489000000.0,2800000000.0,2555000000.0,,6793000000.0,6129000000.0,0.0,197000000.0,,390000000.0,176000000.0,126000000.0,103000000.0,1.04,170000000.0,722000000.0,,245000000.0,,6129000000.0,,14.3695,0.9714,1.04,635000000.0,0.025909023995289267,0.007186900240924497,,,0.015925517579321327,0.030181086519114688,,0.9022523185632269,1.095890410958904,,1513000000.0,3440000000.0,,5738000000.0,1233000000.0,,,1.0681422098292088,2.7899432278994323,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2011-06-30,24579000000.0,2771000000.0,2246000000.0,,6785000000.0,6622000000.0,151000000.0,61000000.0,,678000000.0,378000000.0,250000000.0,79000000.0,2.23,170000000.0,1159000000.0,,493000000.0,,6773000000.0,,12.222,0.9657,2.23,1171000000.0,0.055711127487103905,0.015378982057854266,,,0.02758452337361162,0.050007375719132614,,0.9982313927781872,1.2337488869100623,,1662000000.0,3646000000.0,,6186000000.0,1343000000.0,9.85,9.85,1.0948916909149693,2.7148175725986596,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2011-09-30,24780000000.0,2911000000.0,2100000000.0,24780000000.0,6970000000.0,6702000000.0,275000000.0,46000000.0,,1077000000.0,561000000.0,370000000.0,180000000.0,3.3,170000000.0,1486000000.0,,752000000.0,,6977000000.0,,11.6363,0.9356,3.3,1829000000.0,0.08048780487804878,0.022639225181598062,,,0.043462469733656174,0.07722090772209077,,1.0010043041606886,1.3861904761904762,,1745000000.0,3609000000.0,,6126000000.0,1295000000.0,10.31,10.31,1.1389160953313744,2.7868725868725868,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2011-12-31,26009000000.0,3196000000.0,2628000000.0,26009000000.0,7009000000.0,6405000000.0,419000000.0,68000000.0,,-722000000.0,-404000000.0,-252000000.0,-95000000.0,-2.3900000000000006,-340000000.0,-1359000000.0,,-495000000.0,,6824000000.0,1.2161,12.8236,1.0293,-2.3900000000000006,-1217000000.0,-0.05764017691539449,-0.015533084701449498,,,-0.027759621669422124,-0.05219402877177763,,0.9736053645313169,1.2161339421613395,,711000000.0,1423000000.0,,2418000000.0,494000000.0,4.18,4.18,2.8221670802315963,2.880566801619433,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2012-03-31,25846000000.0,2951000000.0,2530000000.0,25846000000.0,7104000000.0,6404000000.0,313000000.0,57000000.0,,312000000.0,156000000.0,113000000.0,73000000.0,0.91,170000000.0,620000000.0,,232000000.0,,6717000000.0,,13.5893,1.0836,0.91,544000000.0,0.02195945945945946,0.006035750212798886,,,0.012071500425597771,0.02257434339049273,,0.9455236486486487,1.166403162055336,,691000000.0,1345000000.0,,2327000000.0,481000000.0,4.049999999999999,4.049999999999999,2.8865492049849593,2.7962577962577964,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2012-06-30,26075000000.0,3050000000.0,2635000000.0,26075000000.0,7142000000.0,6528000000.0,39000000.0,185000000.0,,606000000.0,302000000.0,222000000.0,143000000.0,1.77,171000000.0,1161000000.0,,482000000.0,,6567000000.0,,16.0611,1.1789,1.77,1088000000.0,0.042285074208905066,0.011581975071907958,,,0.02324065196548418,0.04420453716536582,,0.9194903388406609,1.157495256166983,,615000000.0,1273000000.0,,2244000000.0,453000000.0,3.5899999999999994,3.5899999999999994,2.926470588235294,2.8101545253863134,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2012-09-30,25909000000.0,2730000000.0,2309000000.0,25909000000.0,7389000000.0,6526000000.0,98000000.0,59000000.0,,1016000000.0,529000000.0,334000000.0,251000000.0,3.08,171000000.0,1729000000.0,,747000000.0,,6624000000.0,,15.0811,1.19,3.08,1763000000.0,0.07159290837731763,0.020417615500405266,,,0.039214172681307655,0.07250410333261971,,0.8964677222898904,1.1823300129926375,,583000000.0,1212000000.0,,2178000000.0,417000000.0,3.3699999999999997,3.3699999999999997,3.041322314049587,2.906474820143885,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
