report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,143314000000.0,,,129889000000.0,13425000000.0,72293000000.0,1931000000.0,,,,1252000000.0,885000000.0,598000000.0,367000000.0,0.73,1191000000.0,1076000000.0,153000000.0,,923000000.0,74224000000.0,,19.1532,1.8016,0.73,1252000000.0,0.0659217877094972,0.006175251545557307,,,,0.008736062073488982,0.014284247395863045,,,5.5287895716946,,,,,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2010-06-30,143763000000.0,,,129250000000.0,14513000000.0,69345000000.0,2609000000.0,,,,2847000000.0,1902000000.0,1208000000.0,945000000.0,1.57,1194000000.0,4450000000.0,329000000.0,,4121000000.0,71954000000.0,,14.6378,1.6922,1.57,2847000000.0,0.13105491628195412,0.013230107885895537,,,,0.01980342647273638,0.032925856106954095,,,4.957899813959898,,,,,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2010-09-30,146056000000.0,,,130136000000.0,15920000000.0,68828000000.0,1919000000.0,,,,4487000000.0,2995000000.0,1818000000.0,1492000000.0,2.47,1195000000.0,7227000000.0,592000000.0,,6635000000.0,70747000000.0,,13.6273,1.7315,2.47,4487000000.0,0.18812814070351758,0.020505833378977927,,,,0.030721093279290134,0.05177287779662386,,,4.443907035175879,,,,,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2010-12-31,147042000000.0,,,130812000000.0,16230000000.0,66416000000.0,3414000000.0,654000000.0,,,,-1725000000.0,-1201000000.0,-897000000.0,-1.4199999999999995,-2385000000.0,-3465000000.0,-187000000.0,,-3652000000.0,69830000000.0,1.0083,12.7349,1.7219,-1.4199999999999995,,-0.10628465804066543,-0.011731342065532297,,,,,,,,4.30252618607517,,4057000000.0,8027000000.0,2423000000.0,3.350000000000001,3.350000000000001,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2011-03-31,143979000000.0,,,126497000000.0,17482000000.0,60730000000.0,3375000000.0,551000000.0,,,,1177000000.0,593000000.0,555000000.0,0.97,1198000000.0,751000000.0,255000000.0,,496000000.0,64105000000.0,,12.4969,1.7836,0.97,,0.0673263928612287,0.008174803269921307,,,,,,,,3.666914540670404,,4349000000.0,7600000000.0,2418000000.0,3.5900000000000007,3.5900000000000007,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2011-06-30,147796000000.0,,,129591000000.0,18205000000.0,61395000000.0,3702000000.0,468000000.0,,,,2508000000.0,1170000000.0,1025000000.0,2.07,1197000000.0,4389000000.0,558000000.0,,3831000000.0,65097000000.0,,13.3286,1.9888,2.07,,0.1377643504531722,0.01696933611193808,,,,,,,,3.5757758857456743,,4955000000.0,7310000000.0,2380000000.0,4.090000000000001,4.090000000000001,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2011-09-30,148693000000.0,,,130593000000.0,18100000000.0,61767000000.0,3649000000.0,,,,,3743000000.0,1745000000.0,1501000000.0,3.11,1191000000.0,6988000000.0,885000000.0,,6103000000.0,65416000000.0,,11.155,1.6848,3.11,,0.20679558011049723,0.025172671208463074,,,,,,,,3.6141436464088397,,5703000000.0,6778000000.0,2307000000.0,4.73,4.73,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2011-12-31,153337000000.0,,,134543000000.0,18794000000.0,59570000000.0,3424000000.0,,,,,-2493000000.0,-1188000000.0,-1024000000.0,-2.0300000000000002,-2402000000.0,-1653000000.0,-509000000.0,,-2162000000.0,62994000000.0,0.9112,11.3889,1.741,-2.0300000000000002,,-0.13264871767585398,-0.01625830686657493,,,,,,,,3.3518144088538895,,4935000000.0,8268000000.0,2320000000.0,4.120000000000001,4.120000000000001,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2012-03-31,151784000000.0,,,131877000000.0,19907000000.0,56844000000.0,3758000000.0,,,,,1256000000.0,574000000.0,517000000.0,1.07,1166000000.0,3432000000.0,266000000.0,,3166000000.0,60602000000.0,,13.4957,2.0618,1.07,,0.06309338423670066,0.008274916987297739,,,,,,,,3.0442557894208067,,5014000000.0,10938000000.0,2301000000.0,4.22,4.22,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2012-06-30,148128000000.0,,,128861000000.0,19267000000.0,55953000000.0,3553000000.0,,,,,2595000000.0,1124000000.0,1057000000.0,2.22,1158000000.0,6742000000.0,496000000.0,,6246000000.0,59506000000.0,,13.5327,2.0508,2.22,,0.1346862511029221,0.017518632534024626,,,,,,,,3.088493278662999,,5101000000.0,13353000000.0,2255000000.0,4.370000000000001,4.370000000000001,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
