report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2015-06-28,36062000000.0,4589000000.0,2653000000.0,,6954000000.0,,2000000.0,2147000000.0,,,1928000000.0,953000000.0,112000000.0,595000000.0,33000000.0,,411000000.0,163000000.0,,248000000.0,2000000.0,,,,,953000000.0,0.01610583836640782,0.0031057622982641007,,,,0.026426709555765072,0.13700402530189765,,,0.0002876042565429968,1.7297399170750094,,,,,,,,,,,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2015-09-27,121792000000.0,10411000000.0,5746000000.0,54433000000.0,58811000000.0,,,4437000000.0,1213171703.0,,3357000000.0,1352000000.0,-11000000.0,1055000000.0,-16000000.0,0.0,746000000.0,366000000.0,402000000.0,380000000.0,0.0,,,,0.0,1754000000.0,-0.00018703983948581047,-9.03179190751445e-05,,,,0.011100893326326852,0.02298889663498325,,,0.0,1.8118691263487643,,,,,,,,,,,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2016-01-03,122973000000.0,9780000000.0,6932000000.0,56737000000.0,57685000000.0,,,4837000000.0,,,5761000000.0,2639000000.0,634000000.0,1321000000.0,366000000.0,0.0,2467000000.0,648000000.0,740000000.0,1819000000.0,0.0,1.4108,,,0.0,3379000000.0,0.01099072549189564,0.005155603262504777,,,,0.02145999528351752,0.04574846147178643,,,0.0,1.4108482400461628,,,,,,,,,,,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2016-04-03,123273000000.0,9812000000.0,6730000000.0,56673000000.0,58043000000.0,,,4199000000.0,,,2378000000.0,1513000000.0,896000000.0,249000000.0,372000000.0,0.0,270000000.0,303000000.0,363000000.0,-33000000.0,0.0,,4.2719,76.4096,0.0,1876000000.0,0.015436831314714954,0.0072684204975947695,,,,0.012273571666139382,0.026066881449959514,,,0.0,1.4579494799405646,1631000000.0,6457000000.0,13424000000.0,2414000000.0,7962000000.0,3220000000.0,,,0.0,2.00527950310559,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2016-07-03,121684000000.0,9347000000.0,9593000000.0,63637000000.0,57826000000.0,,645000000.0,4237000000.0,,,4909000000.0,3149000000.0,1846000000.0,513000000.0,783000000.0,1.0,2104000000.0,514000000.0,720000000.0,1590000000.0,645000000.0,,4.0555,45.5676,1.0,3869000000.0,0.03192335627572372,0.015170441471352027,,,,0.025878504980112422,0.05385575755502728,,,0.011154152111506934,0.9743563014698218,3365000000.0,8653000000.0,16405000000.0,3756000000.0,10878000000.0,3138000000.0,1.0,1.0,0.05929398786541644,2.75748884639898,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2016-10-02,121080000000.0,8943000000.0,9414000000.0,63212000000.0,57642000000.0,,653000000.0,3920000000.0,,,7127000000.0,4562000000.0,2688000000.0,824000000.0,1045000000.0,2.0,2866000000.0,836000000.0,1010000000.0,2030000000.0,653000000.0,,4.0543,32.5437,2.0,5572000000.0,0.04663266368273134,0.0222001982160555,,,,0.037677568549719195,0.07825714040655288,,,0.011328545158044481,0.949968132568515,6064000000.0,11863000000.0,20175000000.0,5406000000.0,14696000000.0,2907000000.0,3.0,3.0,0.04443385955362003,4.080839353285174,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2016-12-31,120480000000.0,8753000000.0,9501000000.0,62906000000.0,57358000000.0,,645000000.0,4204000000.0,,,-4828000000.0,-3082000000.0,-1798000000.0,-452000000.0,-819000000.0,-1.0,-2000000.0,-406000000.0,-756000000.0,-408000000.0,645000000.0,0.9213,4.0513,29.6296,-1.0,-3838000000.0,-0.031346978625475086,-0.014923638778220451,,,,-0.02558100929614874,-0.053135182662965706,,,0.011245161965201018,0.921271445111041,3632000000.0,6142000000.0,9586000000.0,3179000000.0,7479000000.0,1134000000.0,2.0,2.0,0.08624147613317289,5.416225749559083,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2017-04-01,120802000000.0,8875000000.0,9383000000.0,62858000000.0,57732000000.0,,909000000.0,3242000000.0,,,2301000000.0,1551000000.0,893000000.0,313000000.0,359000000.0,0.0,-151000000.0,368000000.0,262000000.0,-519000000.0,909000000.0,,4.2539,30.8466,0.0,1813000000.0,0.015468024665696667,0.007392261717521233,,,,0.012839191404115826,0.026449071468767585,,,0.01574516732488048,0.9458595331983374,3629000000.0,6180000000.0,9509000000.0,2693000000.0,7416000000.0,1198000000.0,2.0,2.0,0.12257281553398058,5.158597662771285,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2017-07-01,119416000000.0,7108000000.0,7356000000.0,60870000000.0,58333000000.0,,1090000000.0,1445000000.0,,,4982000000.0,3472000000.0,2052000000.0,620000000.0,789000000.0,1.0,891000000.0,690000000.0,517000000.0,201000000.0,1090000000.0,,3.9715,27.0523,1.0,3989000000.0,0.0351773438705364,0.01718362698465867,,,,0.029074830843438065,0.05842855460007068,,,0.01868582106183464,0.9662860250135944,3835000000.0,6503000000.0,9582000000.0,1304000000.0,7536000000.0,1305000000.0,2.0,2.0,0.14463906581740976,4.9831417624521075,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2017-09-30,120051000000.0,7228000000.0,9387000000.0,61080000000.0,58759000000.0,,455000000.0,1441000000.0,,,7296000000.0,5133000000.0,2996000000.0,926000000.0,1205000000.0,2.0,16000000.0,956000000.0,790000000.0,-940000000.0,455000000.0,,3.6603,24.2933,2.0,5923000000.0,0.050987933763338385,0.024956060341021734,,,,0.04275682834795212,0.08668558111257472,,,0.007743494613591109,0.7700010653030788,4143000000.0,7074000000.0,9751000000.0,-1666000000.0,7887000000.0,1407000000.0,2.0,2.0,0.05768986940535058,5.02771855010661,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
