report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,2300988000.0,261060000.0,252318000.0,,949203000.0,859429000.0,8251000.0,682911000.0,,180730000.0,101213000.0,17833000.0,58714000.0,1.17,86646109.0,129305000.0,,,859429000.0,,4.2883,28.8608,1.17,180730000.0,0.10662945650192845,0.04398675699308297,0.1482081852540082,,0.26464649127045836,0.07854452087538048,0.09992635317742912,,0.26464649127045836,0.9054217064210711,1.0346467552849976,,,,,,,,,,,,0.30010223,56.12,37.78,0.32694,5754.065,159.8351,1.8178,2.1862
2010-09-30,2434286000.0,313141000.0,269989000.0,,1024583000.0,880452000.0,20627000.0,1045899000.0,,276769000.0,157899000.0,26342000.0,89359000.0,1.82,86830761.0,205426000.0,,,880452000.0,,4.3597,29.2673,1.82,276769000.0,0.15411050154062678,0.06486460506283978,0.1509696442964378,,0.26462306589833245,0.11369617210138826,0.14528289506492006,,0.26462306589833245,0.8593271604155056,1.1598287337632274,,,,,,,,,,,,0.30010223,56.12,37.78,0.32694,5754.065,159.8351,1.8178,2.1862
2010-12-31,2639023000.0,368688000.0,308489000.0,,1048425000.0,,77053000.0,1439388000.0,,370683000.0,207879000.0,37081000.0,121396000.0,2.39,86962651.0,325670000.0,48320000.0,277350000.0,0.0,1.1951,4.8084,33.2907,2.39,370683000.0,0.19827741612418628,0.07877119676486335,0.1444217959299369,,0.257528199484781,0.14046220893110822,0.353561771228271,0.19268605824141927,0.257528199484781,0.0,1.195141479923109,,,,,,,,,,,,0.30010223,56.12,37.78,0.32694,5754.065,159.8351,1.8178,2.1862
2011-03-31,2643637000.0,337663000.0,292245000.0,,1145243000.0,,24656000.0,398126000.0,,102413000.0,55674000.0,11372000.0,34376000.0,0.64,87526683.0,65585000.0,11692000.0,53893000.0,0.0,,5.057,35.2535,0.64,102413000.0,0.04861326373529461,0.021059623541356095,0.1398401511079407,,0.25723765842974333,0.038739433590920386,0.08942468978199386,0.1353666929565012,0.25723765842974333,0.0,1.1554106999264315,3566324000.0,522665000.0,930595000.0,,,930595000.0,92628000.0,6.02,6.02,0.0,10.046584186207195,0.30010223,56.12,37.78,0.32694,5754.065,159.8351,1.8178,2.1862
2011-06-30,2965596000.0,371647000.0,268335000.0,,1223651000.0,,38199000.0,808567000.0,,204361000.0,111216000.0,24379000.0,66671000.0,1.27,87738638.0,119694000.0,23652000.0,96042000.0,0.0,,4.8887,35.1118,1.27,204361000.0,0.09088866024708026,0.03750207378213351,0.13754704310217952,,0.25274467050967947,0.06891060009522537,0.16700922076637864,0.11878050922187029,0.25274467050967947,0.0,1.3850112732219055,3691980000.0,532668000.0,954226000.0,,,954226000.0,99174000.0,6.12,6.12,0.0,9.621735535523424,0.30010223,56.12,37.78,0.32694,5754.065,159.8351,1.8178,2.1862
2011-09-30,3155508000.0,384842000.0,329913000.0,3155508000.0,1182663000.0,1304628000.0,23395000.0,1229491000.0,,308927000.0,170463000.0,36413000.0,99119000.0,1.95,87620867.0,215176000.0,36981000.0,178195000.0,1304628000.0,,4.2832,31.5388,1.95,308927000.0,0.14413488880602504,0.05402077890469617,0.13864517918390618,,0.2512641410144523,0.0979008768160309,0.12420219427481545,0.1449339604763272,0.2512641410144523,1.103127433596891,1.1664954093958104,3875572000.0,545232000.0,986384000.0,,605480000.0,986384000.0,109245000.0,6.25,6.25,1.32263702574251,9.029099729964758,0.30010223,56.12,37.78,0.32694,5754.065,159.8351,1.8178,2.1862
2011-12-31,3177090000.0,390596000.0,326914000.0,3177090000.0,1198166000.0,1284113000.0,22511000.0,-760136000.0,,-191390000.0,-102602000.0,-22733000.0,-65185000.0,-1.1700000000000004,-175518476.0,-94351000.0,-19024000.0,-113375000.0,1284113000.0,1.1949,3.9353,28.1017,-1.1700000000000004,-191390000.0,-0.08563254173461773,-0.032294332234843834,0.13497847753559888,,0.25178389130366147,-0.06024066047861408,-0.07710253359916432,0.14915094141048443,0.25178389130366147,1.0717321306062766,1.1947974084927535,1676048000.0,234751000.0,424311000.0,,214755000.0,424311000.0,49431000.0,2.6899999999999995,2.6899999999999995,3.026348598080182,8.583904837045578,0.30010223,56.12,37.78,0.32694,5754.065,159.8351,1.8178,2.1862
2012-03-31,3275234000.0,427078000.0,333817000.0,3275234000.0,1299325000.0,1250769000.0,30262000.0,460077000.0,,116262000.0,64857000.0,12766000.0,37715000.0,0.75,86587944.0,99561000.0,17049000.0,82512000.0,1250769000.0,,4.1174,29.3403,0.75,116262000.0,0.04991591788043792,0.01980224924387082,0.14096988112859368,,0.2527011782810269,0.03549731103182246,0.04559126055745396,0.1793438924353967,0.2527011782810269,0.962629827025571,1.2793776230689269,1737999000.0,243934000.0,438160000.0,,243374000.0,438160000.0,50825000.0,2.8,2.8,2.8545942121599417,8.620954254795867,0.30010223,56.12,37.78,0.32694,5754.065,159.8351,1.8178,2.1862
2012-06-30,3341654000.0,436128000.0,301982000.0,3341654000.0,1367714000.0,1282462000.0,54213000.0,929027000.0,,233989000.0,132450000.0,25549000.0,74901000.0,1.53,86714407.0,188798000.0,33819000.0,154979000.0,1282462000.0,,4.3834,30.7628,1.53,233989000.0,0.09684042131615235,0.039636060465865104,0.14256851523152717,,0.2518645852058121,0.07002191130500046,0.08829187193605255,0.16681861775814913,0.2518645852058121,0.9376682552054011,1.4442185295812333,1858459000.0,265168000.0,467788000.0,,302311000.0,467788000.0,51995000.0,3.0599999999999996,3.0599999999999996,2.7415453153992835,8.99678815270699,0.30010223,56.12,37.78,0.32694,5754.065,159.8351,1.8178,2.1862
2012-09-30,3411596000.0,417385000.0,521323000.0,3411596000.0,1477676000.0,1010514000.0,16205000.0,1409511000.0,,348536000.0,197927000.0,38597000.0,110283000.0,2.28,86911229.0,277147000.0,51658000.0,225489000.0,1010514000.0,,4.1822,29.596,2.28,348536000.0,0.13394478897945153,0.05801595499584359,0.1404224585689647,,0.2472744093518958,0.1021621551907084,0.14007611958893815,0.15997675789688764,0.2472744093518958,0.6838535646515204,0.8006264830057374,2038479000.0,292632000.0,507397000.0,,349605000.0,507397000.0,54179000.0,3.3899999999999997,3.3899999999999997,1.9915647904894984,9.365196847487034,0.30010223,56.12,37.78,0.32694,5754.065,159.8351,1.8178,2.1862
