report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,40366000000.0,19809000000.0,6562000000.0,,22339000000.0,,,2266000000.0,,3592000000.0,1481000000.0,1167000000.0,253000000.0,1.18,988000000.0,913000000.0,94000000.0,252000000.0,819000000.0,0.0,,12.2313,3.8949,1.18,1733000000.0,0.052240476297058955,0.028910469206758164,0.32488864142538976,0.4123051224944321,0.03668929296933063,0.06629661130757868,0.22800668151447662,0.4824610244988864,0.0,3.018744285278878,,,,,,,,,0.4938354,391.29,261.43,2.34378,189794.95,24.6135,20.3569,5.1643
2010-06-30,,,,,,,,,,7396000000.0,2998000000.0,2369000000.0,515000000.0,2.43,976000000.0,2477000000.0,271000000.0,503000000.0,2206000000.0,0.0,,10.7528,3.3554,2.43,3501000000.0,,,0.32030827474310436,0.4053542455381287,,,0.29826933477555434,0.4733639805300162,,,,,,,,,,,0.4938354,391.29,261.43,2.34378,189794.95,24.6135,20.3569,5.1643
2010-09-30,,,,,,,,,,11212000000.0,4477000000.0,3605000000.0,713000000.0,3.71,971000000.0,3779000000.0,398000000.0,756000000.0,3381000000.0,0.0,,11.645,3.5165,3.71,5233000000.0,,,0.3215305030324652,0.3993043168034249,,,0.3015519086692829,0.4667320727791652,,,,,,,,,,,0.4938354,391.29,261.43,2.34378,189794.95,24.6135,20.3569,5.1643
2010-12-31,,,,,,,,,,-7147000000.0,-3411000000.0,-2514000000.0,-791000000.0,-2.5300000000000002,-1970000000.0,-1382000000.0,-183000000.0,-494000000.0,-1565000000.0,0.0,3.5204,11.2104,3.4459,-2.5300000000000002,-3905000000.0,,,0.3517559815307122,0.4772631873513362,,,0.21897299566251574,0.5463830978032741,,,15053000000.0,4627000000.0,5545000000.0,4841000000.0,6562000000.0,4.789999999999999,4.789999999999999,0.0,0.4938354,391.29,261.43,2.34378,189794.95,24.6135,20.3569,5.1643
2011-03-31,,,,,,,,,,3706000000.0,1293000000.0,1125000000.0,181000000.0,1.2,941000000.0,1030000000.0,100000000.0,273000000.0,930000000.0,0.0,,10.8771,3.2882,1.2,1566000000.0,,,0.3035617916891527,0.34889368591473285,,,0.2509444144630329,0.4225580140313006,,,15167000000.0,4585000000.0,5357000000.0,4952000000.0,6395000000.0,4.81,4.81,0.0,0.4938354,391.29,261.43,2.34378,189794.95,24.6135,20.3569,5.1643
2011-06-30,,,,,,,,,,7665000000.0,2625000000.0,2295000000.0,350000000.0,2.45,938000000.0,2566000000.0,223000000.0,534000000.0,2343000000.0,0.0,,11.9152,3.5406,2.45,3159000000.0,,,0.299412915851272,0.3424657534246575,,,0.3056751467710372,0.412133072407045,,,15436000000.0,4511000000.0,4984000000.0,5089000000.0,6053000000.0,4.829999999999999,4.829999999999999,0.0,0.4938354,391.29,261.43,2.34378,189794.95,24.6135,20.3569,5.1643
2011-09-30,,,,,,,,,,11609000000.0,3150000000.0,2749000000.0,350000000.0,2.96,930000000.0,3535000000.0,343000000.0,799000000.0,3192000000.0,0.0,,12.8109,3.1268,2.96,3949000000.0,,,0.23679903523128606,0.2713412007924886,,,0.27495908346972175,0.34016711172366265,,,15833000000.0,3655000000.0,3657000000.0,4900000000.0,4769000000.0,4.079999999999999,4.079999999999999,0.0,0.4938354,391.29,261.43,2.34378,189794.95,24.6135,20.3569,5.1643
2011-12-31,,,,,,,,,,-7398000000.0,-2756000000.0,-2486000000.0,-414000000.0,-2.5700000000000003,-1897000000.0,-2012000000.0,-99000000.0,-546000000.0,-2111000000.0,0.0,4.7954,13.856,3.275,-2.5700000000000003,-3302000000.0,,,0.33603676669370103,0.3725331170586645,,,0.28534739118680724,0.4463368477967018,,,15582000000.0,3683000000.0,4312000000.0,4354000000.0,5372000000.0,4.039999999999999,4.039999999999999,0.0,0.4938354,391.29,261.43,2.34378,189794.95,24.6135,20.3569,5.1643
2012-03-31,,,,,,,,,,4048000000.0,1477000000.0,1184000000.0,182000000.0,1.48,800000000.0,972000000.0,144000000.0,259000000.0,828000000.0,0.0,,14.2154,3.3405,1.48,1736000000.0,,,0.2924901185770751,0.36487154150197626,,,0.20454545454545456,0.4288537549407115,,,15924000000.0,3742000000.0,4496000000.0,4252000000.0,5542000000.0,4.3199999999999985,4.3199999999999985,0.0,0.4938354,391.29,261.43,2.34378,189794.95,24.6135,20.3569,5.1643
2012-06-30,,,,,,,,,,8525000000.0,3066000000.0,2450000000.0,373000000.0,3.09,792000000.0,3347000000.0,316000000.0,528000000.0,3031000000.0,0.0,,15.0678,3.5172,3.09,3594000000.0,,,0.2873900293255132,0.3596480938416422,,,0.3555425219941349,0.42158357771260996,,,16784000000.0,3897000000.0,4937000000.0,4940000000.0,5977000000.0,4.959999999999999,4.959999999999999,0.0,0.4938354,391.29,261.43,2.34378,189794.95,24.6135,20.3569,5.1643
