report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2011-09-30,17627000000.0,5733000000.0,3780000000.0,17627000000.0,7723000000.0,3368000000.0,86000000.0,278000000.0,12016000000.0,,988000000.0,172000000.0,2.86,344400000.0,689000000.0,384000000.0,419000000.0,305000000.0,3454000000.0,,9.3565,0.7567,2.86,,0.1279295610514049,0.05605037726215465,0.0822237017310253,,,,0.02538282290279627,,0.4472355302343649,1.5166666666666666,,,,,,1.1943897,408.45,231.85,3.05668,139853.47,34.194,6.3686,6.8488
2011-12-31,17873000000.0,5826000000.0,3637000000.0,17873000000.0,7469000000.0,3366000000.0,86000000.0,385000000.0,16049000000.0,,1350000000.0,201000000.0,3.93,342800000.0,1248000000.0,568000000.0,556000000.0,680000000.0,3452000000.0,1.6019,11.2613,0.9473,3.93,,0.1807470879635828,0.0755329267610362,0.08411739049161941,,,,0.04237024113651941,,0.4621769982594725,1.6018696728072588,,,,,,1.1943897,408.45,231.85,3.05668,139853.47,34.194,6.3686,6.8488
2012-03-31,17993000000.0,5882000000.0,3565000000.0,17993000000.0,7933000000.0,3345000000.0,86000000.0,367000000.0,3960000000.0,,311000000.0,57000000.0,0.91,339800000.0,-98000000.0,105000000.0,140000000.0,-203000000.0,3431000000.0,,12.2673,1.0401,0.91,,0.039203327870918944,0.017284499527594064,0.07853535353535354,,,,-0.05126262626262626,,0.4324971637463759,1.649929873772791,,,,,,1.1943897,408.45,231.85,3.05668,139853.47,34.194,6.3686,6.8488
2012-06-30,18554000000.0,6366000000.0,3830000000.0,18554000000.0,7937000000.0,3678000000.0,86000000.0,525000000.0,8028000000.0,,693000000.0,94000000.0,2.04,339600000.0,371000000.0,231000000.0,278000000.0,140000000.0,3764000000.0,,9.322,0.8179,2.04,,0.08731258661962958,0.03735043656354425,0.08632286995515695,,,,0.017438963627304436,,0.4742345974549578,1.6621409921671018,40053000000.0,3342000000.0,922000000.0,9.74,9.74,1.1943897,408.45,231.85,3.05668,139853.47,34.194,6.3686,6.8488
2012-09-30,4776348.0,,4784103.0,4776348.0,-7755.0,,,23273.0,0.0,,-7757.0,0.0,,,-7690.0,,,,0.0,,11.3776,0.9949,,,1.0002578981302386,-0.0016240441441871488,,,,,,,-0.0,,28037000000.0,2353992243.0,,,,1.1943897,408.45,231.85,3.05668,139853.47,34.194,6.3686,6.8488
2012-12-31,35848000000.0,7844000000.0,5431000000.0,35848000000.0,15086000000.0,9762000000.0,757000000.0,577000000.0,4323000000.0,,213007757.0,-120000000.0,0.5099999999999998,-328500000.0,1391007690.0,257000000.0,180000000.0,1134007690.0,10519000000.0,1.4325,20.7157,1.5456,0.5099999999999998,,0.014119564960890892,0.00594197045860299,0.04927313370344668,,,,0.2623196136941938,,0.6972689911175924,1.4443012336586265,16311000000.0,1217000000.0,,,,1.1943897,408.45,231.85,3.05668,139853.47,34.194,6.3686,6.8488
2013-03-31,34977000000.0,8196000000.0,4903000000.0,,15167000000.0,,84000000.0,639000000.0,5310000000.0,,378000000.0,20000000.0,0.0,475100000.0,100000000.0,122000000.0,245000000.0,-22000000.0,84000000.0,,22.5423,1.6389,0.0,,0.024922529175182964,0.0108071018097607,0.0711864406779661,,,,-0.004143126177024482,,0.005538339816707325,1.6716296145217213,17661000000.0,1284000000.0,,,,1.1943897,408.45,231.85,3.05668,139853.47,34.194,6.3686,6.8488
2013-06-30,35257000000.0,8229000000.0,4981000000.0,,15388000000.0,,115000000.0,628000000.0,10912000000.0,,872000000.0,57000000.0,1.0,475700000.0,709000000.0,251000000.0,490000000.0,458000000.0,115000000.0,,22.568,1.6413,1.0,,0.0566675331427086,0.02473267719885413,0.07991202346041056,,,,0.04197214076246334,,0.007473355861710424,1.6520778960048184,20545000000.0,1463000000.0,,,,1.1943897,408.45,231.85,3.05668,139853.47,34.194,6.3686,6.8488
2013-09-30,35312000000.0,8766000000.0,5054000000.0,,16071000000.0,,88000000.0,642000000.0,16519000000.0,,1382000000.0,64000000.0,2.0,476200000.0,1413000000.0,372000000.0,740000000.0,1041000000.0,88000000.0,,20.9254,1.5665,2.0,,0.08599340426855827,0.03913683733574989,0.08366123857376355,,,,0.06301834251468007,,0.0054757015742642025,1.7344677483181639,37064000000.0,2845007757.0,2611007690.0,3.51,3.51,1.1943897,408.45,231.85,3.05668,139853.47,34.194,6.3686,6.8488
2013-12-31,35491000000.0,8731000000.0,4914000000.0,35491000000.0,16791000000.0,8969000000.0,13000000.0,915000000.0,-10695000000.0,,-771000000.0,-130000000.0,0.8999999999999999,-950300000.0,63000000.0,-131000000.0,-478000000.0,-68000000.0,8982000000.0,1.7768,19.4083,1.6383,0.8999999999999999,,-0.04591745577988208,-0.021723817305795836,0.07208976157082748,,,,0.0063581112669471715,,0.5349294264784706,1.7767602767602768,22046000000.0,1861000000.0,1409000000.0,3.9,3.9,1.1943897,408.45,231.85,3.05668,139853.47,34.194,6.3686,6.8488
