report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,short_term_debt,cash,revenue,operating_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,eps,ebitda,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda
2011-09-30,5389000000.0,2889000000.0,1495000000.0,5389000000.0,1523000000.0,0.0,530000000.0,4806000000.0,,240000000.0,4.06,156100000.0,657000000.0,152000000.0,505000000.0,0.0,4.06,,,,,0.10507698709945901,,0.0,1.9324414715719063,,,,,,,
2011-12-31,5168000000.0,2693000000.0,1350000000.0,5168000000.0,1257000000.0,48000000.0,286000000.0,1094000000.0,194000000.0,64000000.0,0.86,151100000.0,-64000000.0,44000000.0,-108000000.0,48000000.0,0.86,194000000.0,0.1773308957952468,0.03753869969040248,0.1486590038314176,-0.09872029250457039,0.1773308957952468,0.03818615751789976,1.9948148148148148,,,,,,,
2012-03-31,5207000000.0,2757000000.0,1453000000.0,5207000000.0,1329000000.0,97000000.0,297000000.0,2255000000.0,407000000.0,116000000.0,1.95,149400000.0,45000000.0,69000000.0,-24000000.0,97000000.0,1.95,407000000.0,0.18048780487804877,0.07816400998655657,0.28541374474053294,-0.010643015521064302,0.18048780487804877,0.07298720842738901,1.8974535443909153,,,,,,,
2012-06-30,5148000000.0,2753000000.0,1485000000.0,5148000000.0,1273000000.0,201000000.0,265000000.0,3460000000.0,637000000.0,180000000.0,3.09,147900000.0,192000000.0,102000000.0,90000000.0,201000000.0,3.09,637000000.0,0.18410404624277457,0.12373737373737374,0.432157394843962,0.02601156069364162,0.18410404624277457,0.15789473684210525,1.853872053872054,11615000000.0,,463000000.0,,9.959999999999999,9.959999999999999,
2012-09-30,5314000000.0,2787000000.0,1440000000.0,5314000000.0,1259000000.0,,335000000.0,-2083000000.0,-381000000.0,-112000000.0,-1.75,-301600000.0,361000000.0,-77000000.0,284000000.0,0.0,-1.75,-381000000.0,0.18290926548247718,-0.07169740308618743,-0.30262112787926926,-0.13634181469035045,0.18290926548247718,0.0,1.9354166666666666,4726000000.0,857000000.0,242000000.0,857000000.0,4.15,4.15,0.0
2012-12-31,5313000000.0,2793000000.0,1915000000.0,5313000000.0,1052000000.0,549000000.0,337000000.0,1062000000.0,188000000.0,56000000.0,0.94,140700000.0,63000000.0,40000000.0,23000000.0,549000000.0,0.94,188000000.0,0.17702448210922786,0.035384904950122344,0.1174266083697689,0.021657250470809793,0.17702448210922786,0.5218631178707225,1.458485639686684,4694000000.0,851000000.0,373000000.0,851000000.0,4.23,4.23,0.645123384253819
