report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,122377000000.0,111677000000.0,10108000000.0,8114000000.0,,4816000000.0,2292000000.0,,214000000.0,,65000000.0,0.81,265000000.0,131000000.0,8114000000.0,,14.3756,1.3865,0.81,,0.021171349426197073,0.0017486946076468617,0.09336823734729494,,,,,0.8027305104867432,,,,,1.2857363,550.18,396.14,0.64925,39438.562,11.0689,6.9561,2.0855
2010-06-30,6784000000.0,5480000000.0,683000000.0,5296000000.0,,570000000.0,4889000000.0,,473000000.0,,133000000.0,1.78,265100000.0,1316000000.0,5296000000.0,,9.5818,1.0411,1.78,,0.6925329428989752,0.06972287735849056,0.09674780118633668,,,,,7.75402635431918,,,,,1.2857363,550.18,396.14,0.64925,39438.562,11.0689,6.9561,2.0855
2010-09-30,122304000000.0,111976000000.0,,2735000000.0,869000000.0,3685000000.0,7354000000.0,,817000000.0,,263000000.0,3.1,263400000.0,1915000000.0,3604000000.0,,11.2627,1.2767,3.1,,,0.006680075876504448,0.1110960021756867,,,,,,,,,,1.2857363,550.18,396.14,0.64925,39438.562,11.0689,6.9561,2.0855
2010-12-31,13289000000.0,3122000000.0,10167000000.0,2311000000.0,,1316000000.0,-4489000000.0,,-407000000.0,,-127000000.0,-1.5099999999999998,-531200000.0,-1327000000.0,2311000000.0,0.7972,14.4289,1.4893,-1.5099999999999998,,-0.04003147437788925,-0.030626834223794114,0.0906660726219648,,,,,0.22730402281892398,10046000000.0,1097000000.0,4.180000000000001,4.180000000000001,1.2857363,550.18,396.14,0.64925,39438.562,11.0689,6.9561,2.0855
2011-03-31,7273000000.0,6093000000.0,559000000.0,5712000000.0,,906000000.0,2667000000.0,,241000000.0,,48000000.0,0.94,257700000.0,15000000.0,5712000000.0,,14.8083,1.5124,0.94,,0.43112701252236135,0.03313625739034786,0.09036370453693289,,,,,10.21824686940966,10421000000.0,1124000000.0,4.3100000000000005,4.3100000000000005,1.2857363,550.18,396.14,0.64925,39438.562,11.0689,6.9561,2.0855
2011-06-30,128040000000.0,117991000000.0,,2332000000.0,505000000.0,2528000000.0,5179000000.0,,550000000.0,,207000000.0,2.16,254300000.0,658000000.0,2837000000.0,,13.0364,1.3837,2.16,,,0.00429553264604811,0.1061981077428075,,,,,,10711000000.0,1201000000.0,4.69,4.69,1.2857363,550.18,396.14,0.64925,39438.562,11.0689,6.9561,2.0855
2011-09-30,130380000000.0,119393000000.0,10271000000.0,,504000000.0,2693000000.0,7646000000.0,,823000000.0,,288000000.0,3.29,,1451000000.0,504000000.0,,8.5006,0.8752,3.29,,0.08012851718430533,0.0063123178401595335,0.10763798064347371,,,,,0.04907019764385162,11003000000.0,1207000000.0,4.880000000000001,4.880000000000001,1.2857363,550.18,396.14,0.64925,39438.562,11.0689,6.9561,2.0855
2012-03-31,136757000000.0,127008000000.0,9115000000.0,,,2312000000.0,2572000000.0,,244000000.0,,73000000.0,1.05,,175000000.0,0.0,,11.4456,1.2476,1.05,,0.026769061985737794,0.0017841865498658203,0.09486780715396578,,,,,0.0,18064000000.0,1858000000.0,7.44,7.44,1.2857363,550.18,396.14,0.64925,39438.562,11.0689,6.9561,2.0855
2012-06-30,135270000000.0,125657000000.0,9005000000.0,,,2721000000.0,5096000000.0,,467000000.0,,201000000.0,2.04,,468000000.0,0.0,,11.0674,1.1192,2.04,,0.05186007773459189,0.0034523545501589413,0.09164050235478807,,,,,0.0,20493000000.0,2084000000.0,8.54,8.54,1.2857363,550.18,396.14,0.64925,39438.562,11.0689,6.9561,2.0855
2012-09-30,138564000000.0,128743000000.0,9157000000.0,,,3325000000.0,7575000000.0,,640000000.0,,248000000.0,2.84,,883000000.0,0.0,,13.6348,1.1747,2.84,,0.06989188598886098,0.004618804307035016,0.08448844884488449,,,,,0.0,22889000000.0,2174000000.0,9.219999999999999,9.219999999999999,1.2857363,550.18,396.14,0.64925,39438.562,11.0689,6.9561,2.0855
2012-12-31,134729000000.0,125017000000.0,9092000000.0,,,2371000000.0,-4984000000.0,,-322000000.0,,-187000000.0,-1.3099999999999996,,-21000000.0,0.0,0.87,12.527,1.2565,-1.3099999999999996,,-0.0354157501099868,-0.0023899828544708267,0.06460674157303371,,,,,0.0,10259000000.0,1029000000.0,4.620000000000001,4.620000000000001,1.2857363,550.18,396.14,0.64925,39438.562,11.0689,6.9561,2.0855
2013-03-31,137296000000.0,127679000000.0,8960000000.0,,,2160000000.0,2699000000.0,,335000000.0,,121000000.0,1.58,,-466000000.0,0.0,,13.1886,1.4222,1.58,,0.037388392857142856,0.0024399836848852116,0.12412004446091145,,,,,0.0,10386000000.0,1120000000.0,5.15,5.15,1.2857363,550.18,396.14,0.64925,39438.562,11.0689,6.9561,2.0855
2013-06-30,137258000000.0,128276000000.0,8340000000.0,5498000000.0,501000000.0,2331000000.0,5456000000.0,,656000000.0,,241000000.0,3.0,,-93000000.0,5999000000.0,,13.2724,1.5223,3.0,,0.07865707434052757,0.0047793206953328764,0.12023460410557185,,,,,0.7193045563549161,10746000000.0,1309000000.0,6.11,6.11,1.2857363,550.18,396.14,0.64925,39438.562,11.0689,6.9561,2.0855
2013-09-30,140208000000.0,131039000000.0,8325000000.0,599000000.0,150000000.0,3125000000.0,8277000000.0,,1038000000.0,,395000000.0,4.0,,1106000000.0,749000000.0,,12.4589,1.622,4.0,,0.12468468468468469,0.007403286545703526,0.1254077564334904,,,,,0.08996996996996998,11448000000.0,1707000000.0,7.2700000000000005,7.2700000000000005,1.2857363,550.18,396.14,0.64925,39438.562,11.0689,6.9561,2.0855
2013-12-31,144576000000.0,135344000000.0,8192000000.0,,,2632000000.0,-5202000000.0,,-695000000.0,,-265000000.0,-2.1399999999999997,,817000000.0,0.0,0.8521,16.778,1.993,-2.1399999999999997,,-0.0848388671875,-0.0048071602478972995,0.13360246059207997,,,,,0.0,11230000000.0,1334000000.0,6.44,6.44,1.2857363,550.18,396.14,0.64925,39438.562,11.0689,6.9561,2.0855
