report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2019-03-31,101837000000.0,19244000000.0,11942000000.0,101837000000.0,69600000000.0,6320000000.0,3205000000.0,3796000000.0,6288000000.0,49000000.0,85000000.0,56000000.0,-40000000.0,,-1422000000.0,678000000.0,9525000000.0,1.7259,,,,727000000.0,0.001221264367816092,0.0008346671641937606,0.013517811704834605,0.007792620865139949,0.000481161071123462,0.0006192733017377567,0.11561704834605598,0.13685344827586207,1.6114553676101155,,,,,,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2019-06-30,43998000000.0,14521000000.0,8614000000.0,,25886000000.0,,2058000000.0,2077000000.0,8952000000.0,,-444000000.0,93000000.0,203000000.0,0.0,-1088000000.0,485000000.0,2058000000.0,,,,0.0,,-0.017152128563702386,-0.010091367789444975,-0.049597855227882036,,,,,0.07950243374797188,1.6857441374506617,,,,,,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2019-09-30,43235000000.0,14117000000.0,8993000000.0,,25015000000.0,,3604000000.0,1980000000.0,10863000000.0,,-938000000.0,112000000.0,99000000.0,-1.0,-2303000000.0,711000000.0,3604000000.0,,,,-1.0,,-0.03749750149910054,-0.021695385682895803,-0.08634815428518826,,,,,0.1440735558664801,1.5697764928277549,,,,,,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2019-12-31,42397000000.0,13519000000.0,8238000000.0,,24309000000.0,,7000000.0,1764000000.0,-12257000000.0,,338000000.0,-125000000.0,-308000000.0,0.0,5883000000.0,-275000000.0,7000000.0,1.6411,,,0.0,,0.013904315274178288,0.007972262188362384,-0.02757607897527943,,,,,0.0002879591920687811,1.641053653799466,13846000000.0,-959000000.0,136000000.0,,,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2020-03-31,42978000000.0,14679000000.0,9199000000.0,,23825000000.0,,1996000000.0,1963000000.0,3956000000.0,,272000000.0,10000000.0,127000000.0,0.0,-1930000000.0,283000000.0,1996000000.0,,,1.2223,0.0,,0.011416579223504721,0.006328819395970031,0.06875631951466127,,,,,0.0837775445960126,1.5957169257527992,11514000000.0,-772000000.0,90000000.0,-1.0,-1.0,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2020-06-30,42180000000.0,14422000000.0,7529000000.0,,24561000000.0,,1529000000.0,2809000000.0,9147000000.0,,1032000000.0,24000000.0,205000000.0,1.0,-869000000.0,583000000.0,1529000000.0,,38.7791,1.4279,1.0,,0.042017833150116035,0.024466571834992887,0.11282387668087898,,,,,0.06225316558772037,1.915526630362598,11709000000.0,704000000.0,21000000.0,0.0,0.0,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2020-09-30,41690000000.0,14088000000.0,7734000000.0,,24106000000.0,,2142000000.0,2768000000.0,11010000000.0,,640000000.0,35000000.0,88000000.0,0.0,-1237000000.0,1736000000.0,2142000000.0,,34.8405,1.5412,0.0,,0.02654940678669211,0.015351403214200048,0.05812897366030881,,,,,0.08885754583921016,1.8215671062839411,11856000000.0,2282000000.0,-56000000.0,1.0,1.0,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2020-12-31,42649000000.0,14768000000.0,8548000000.0,,24824000000.0,,3000000.0,3526000000.0,-9896000000.0,,-1263000000.0,-24000000.0,-501000000.0,-0.08999999999999997,6100000000.0,,3000000.0,1.7277,42.3598,2.029,-0.08999999999999997,,-0.05087818240412504,-0.029613824474196346,0.12762732417138237,,,,,0.00012085078955849179,1.7276555919513337,14217000000.0,681000000.0,45000000.0,0.91,0.91,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2021-03-31,42549000000.0,15036000000.0,8999000000.0,,24538000000.0,,1250000000.0,2404000000.0,4178000000.0,,600000000.0,7000000.0,178000000.0,0.8,-1950000000.0,608000000.0,1250000000.0,,34.2205,2.3913,0.8,,0.02445187056809846,0.014101388986815202,0.14360938247965535,,,,,0.05094139701687179,1.6708523169241027,14439000000.0,1009000000.0,42000000.0,1.71,1.71,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2021-06-30,41496000000.0,14285000000.0,7252000000.0,,25385000000.0,,677000000.0,2861000000.0,9805000000.0,,1570000000.0,14000000.0,462000000.0,2.11,-643000000.0,1234000000.0,677000000.0,,26.8174,2.1977,2.11,,0.06184754776442781,0.03783497204549836,0.16012238653748087,,,,,0.026669292889501674,1.9698014340871484,15097000000.0,1547000000.0,32000000.0,2.82,2.82,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
