report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2021-09-30,41122000000.0,14146000000.0,7805000000.0,,24740000000.0,,1372000000.0,2779000000.0,12176000000.0,,1600000000.0,22000000.0,434000000.0,2.15,-819000000.0,1852000000.0,1372000000.0,,18.8266,2.0084,2.15,,0.0646725949878739,0.03890861339429016,0.1314060446780552,,,,,0.05545675020210186,1.8124279308135811,16263000000.0,2507000000.0,19000000.0,4.97,4.97,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2021-12-31,42344000000.0,15546000000.0,9558000000.0,42344000000.0,25384000000.0,1100000000.0,17000000.0,4459000000.0,-10504000000.0,2346000000.0,-2011000000.0,-13000000.0,-550000000.0,-2.6900000000000004,6101000000.0,-2451000000.0,1117000000.0,1.6265,19.5923,2.2014,-2.6900000000000004,-105000000.0,-0.07922313268200441,-0.04749197052711128,0.19145087585681644,-0.22334348819497335,0.05540336293217457,0.08852496132221425,0.009996191926884996,0.04400409706901986,1.6264908976773385,15655000000.0,1759000000.0,30000000.0,2.369999999999999,2.369999999999999,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2022-03-31,42633000000.0,15878000000.0,9653000000.0,,25696000000.0,,1018000000.0,2031000000.0,4601000000.0,,564000000.0,9000000.0,121000000.0,0.78,-2730000000.0,,1018000000.0,,24.2455,2.5983,0.78,,0.021948941469489416,0.013229188656674407,0.12258204738100413,,,,,0.03961706102117061,1.644877240236196,16078000000.0,1723000000.0,32000000.0,2.3499999999999996,2.3499999999999996,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2022-06-30,40906000000.0,14764000000.0,7856000000.0,,25831000000.0,,712000000.0,2401000000.0,10853000000.0,,1533000000.0,25000000.0,446000000.0,2.11,-1621000000.0,1218000000.0,712000000.0,,22.7533,2.3458,2.11,,0.0593472958847896,0.03747616486578986,0.14125126693080253,,,,,0.027563779954318454,1.879327902240326,17126000000.0,1686000000.0,43000000.0,2.349999999999999,2.349999999999999,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2022-12-31,42618000000.0,16795000000.0,10744000000.0,,25302000000.0,,24000000.0,3191000000.0,17455000000.0,,1147000000.0,79000000.0,210000000.0,1.0,872000000.0,1223000000.0,24000000.0,1.5632,36.6153,2.4061,1.0,,0.04533238479171607,0.026913510723168613,0.06571183042108278,,,,,0.0009485416172634575,1.5631980640357408,22405000000.0,1233000000.0,100000000.0,1.1999999999999993,1.1999999999999993,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2023-06-30,44189000000.0,17207000000.0,10346000000.0,,26220000000.0,,3023000000.0,2563000000.0,10929000000.0,,1309000000.0,113000000.0,373000000.0,1.0,-2499000000.0,593000000.0,3023000000.0,,44.0469,2.3191,1.0,,0.04992372234935164,0.029622756794677407,0.11977308079421722,,,,,0.11529366895499618,1.6631548424511888,43838000000.0,4553000000.0,226000000.0,4.89,4.89,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2023-09-30,43110000000.0,16333000000.0,10348000000.0,,25226000000.0,0.0,115000000.0,2254000000.0,13519000000.0,,988000000.0,171000000.0,244000000.0,1.39,-2604000000.0,899000000.0,115000000.0,,38.0747,2.0482,1.39,,0.0391659399032744,0.022918116446300162,0.07308232857459872,,,,,0.00455878855149449,1.578372632392733,52756000000.0,4977000000.0,388000000.0,5.499999999999999,5.499999999999999,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2024-06-30,41464000000.0,15359000000.0,8953000000.0,,25179000000.0,0.0,2253000000.0,1839000000.0,10604000000.0,,1472000000.0,107000000.0,388000000.0,2.1,-2158000000.0,619000000.0,2253000000.0,,40.9914,2.178,2.1,,0.0584614162595814,0.03550067528458422,0.13881554130516785,,,,,0.0894793280114381,1.7155143527309282,52507000000.0,4916000000.0,470000000.0,5.49,5.49,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2024-09-30,41908000000.0,15649000000.0,10424000000.0,,24737000000.0,,0.0,2421000000.0,12930000000.0,,948000000.0,173000000.0,274000000.0,1.35,-2028000000.0,925000000.0,0.0,,58.2968,2.4353,1.35,,0.03832315963940656,0.02262097928796411,0.07331786542923434,,,,,0.0,1.5012471220260937,47982000000.0,4717000000.0,564000000.0,5.84,5.84,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2024-12-31,40825000000.0,15097000000.0,10386000000.0,,23789000000.0,,750000000.0,3106000000.0,16908000000.0,,907000000.0,233000000.0,412000000.0,1.3,2145000000.0,1227000000.0,750000000.0,1.4536,43.1623,2.3154,1.3,,0.03812686535793854,0.022216778934476423,0.05364324580080435,,,,,0.03152717642607928,1.4535913730021182,53961000000.0,4315000000.0,684000000.0,6.140000000000001,6.140000000000001,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2025-03-31,42123000000.0,16587000000.0,11481000000.0,,24285000000.0,,2291000000.0,2008000000.0,4417000000.0,,652000000.0,36000000.0,117000000.0,0.95,-2109000000.0,296000000.0,2291000000.0,,37.7042,2.5535,0.95,,0.026847848466131356,0.015478479690430405,0.14761150101879103,,,,,0.09433806876672843,1.4447347792004182,44859000000.0,3979000000.0,549000000.0,5.700000000000001,5.700000000000001,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2025-06-30,41759000000.0,16004000000.0,9516000000.0,,25909000000.0,,1942000000.0,2065000000.0,10873000000.0,,1966000000.0,88000000.0,539000000.0,2.87,-1162000000.0,597000000.0,1942000000.0,,36.168,2.95,2.87,,0.0758809680033965,0.04707967144807108,0.18081486250344891,,,,,0.07495464896368058,1.6817990752416982,45128000000.0,4473000000.0,530000000.0,6.470000000000001,6.470000000000001,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2025-09-30,42198000000.0,16438000000.0,10420000000.0,,25219000000.0,,2685000000.0,2509000000.0,13491000000.0,,1646000000.0,134000000.0,477000000.0,2.41,-969000000.0,897000000.0,2685000000.0,,28.5165,2.62,2.41,,0.0652682501288711,0.03900658798995213,0.12200726410199392,,,,,0.10646734604861414,1.5775431861804223,45689000000.0,5171000000.0,491000000.0,7.530000000000001,7.530000000000001,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
2025-12-31,42845000000.0,17335000000.0,12125000000.0,,24144000000.0,,894000000.0,4521000000.0,-11380000000.0,,-3170000000.0,-78000000.0,-649000000.0,-4.630000000000001,7646000000.0,-587000000.0,894000000.0,1.4297,41.4025,2.603,-4.630000000000001,,-0.13129555997349238,-0.07398762982845139,0.27855887521968364,,,,,0.03702783300198807,1.4296907216494845,17401000000.0,1094000000.0,180000000.0,1.5999999999999996,1.5999999999999996,0.7247454,80.905,53.4,3.72156,53358.055,48.7734,1.876,3.0664
