report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2011-06-30,263160000.0,207774000.0,31009000.0,36030000.0,227130000.0,97685000.0,96096000.0,48863000.0,5955000.0,,787000.0,0.15,35598000.0,21514000.0,5271000.0,4375000.0,16243000.0,0.0,,23.2454,2.4691,0.15,10330000.0,,,,0.5084811022311022,0.06196928071928072,0.022628818969448246,0.026218465196143178,0.16902888777888778,0.10749666999667,0.0,6.70044180721726,,,,,,,,,,1.5379742,1256.22,438.86,0.53341,53373.094,85.8802,12.2953,19.127
2011-09-30,267162000.0,203126000.0,25089000.0,30109000.0,237053000.0,92972000.0,149058000.0,76677000.0,11006000.0,,368000.0,0.31,35275.0,30419000.0,18795000.0,6550000.0,11624000.0,0.0,,23.4957,1.7364,0.31,17556000.0,,,,0.5144104979269815,0.07383702988098592,0.04119597846999199,0.046428435835024234,0.07798306699405601,0.1177796562411947,0.0,8.096217465821676,,,,,,,,,,1.5379742,1256.22,438.86,0.53341,53373.094,85.8802,12.2953,19.127
2011-12-31,273867000.0,211505000.0,26070000.0,30990000.0,,96371000.0,196519000.0,101594000.0,13417000.0,,425000.0,0.38,35160000.0,43685000.0,21022000.0,8732000.0,22663000.0,0.0,8.1034,38.3699,2.6152,0.38,22149000.0,,,,0.5169678249940209,0.06827329672957831,0.04899093355533891,,0.11532218258794315,0.11270665940697847,,8.112965093977753,,,,,,,,,,1.5379742,1256.22,438.86,0.53341,53373.094,85.8802,12.2953,19.127
2012-03-31,291180000.0,225420000.0,31469000.0,36399000.0,254781000.0,78731000.0,50484000.0,26410000.0,3198000.0,2995000.0,309000.0,0.08,35538.0,6219000.0,4875000.0,2184000.0,1344000.0,0.0,,46.8698,3.3545,0.08,5382000.0,0.011755193676137546,0.010285733910296036,0.059325726962998176,0.5231360431027652,0.0633468029474685,0.010982897177003915,0.012551956386072744,0.026622296173044926,0.1066080342286665,0.0,7.163240013982014,492157000.0,,33576000.0,253544000.0,51874000.0,55417000.0,0.92,0.92,0.0,1.5379742,1256.22,438.86,0.53341,53373.094,85.8802,12.2953,19.127
2012-09-30,315269000.0,242568000.0,24864000.0,30205000.0,285064000.0,78247000.0,165599000.0,87595000.0,16299000.0,15508000.0,1412000.0,0.43,36008.0,13450000.0,18735000.0,6866000.0,-5285000.0,0.0,,38.0128,3.2108,0.43,23165000.0,0.05440181853899475,0.04918973955574446,0.09364790850186293,0.528958508203552,0.09842450739436832,0.05169870808737935,0.057176634019027305,-0.031914443927801496,0.13988611042337212,0.0,9.755791505791505,561660000.0,,43920000.0,292276000.0,30346000.0,68252000.0,1.2,1.2,0.0,1.5379742,1256.22,438.86,0.53341,53373.094,85.8802,12.2953,19.127
2012-12-31,287162000.0,214301000.0,23460000.0,28868000.0,258294000.0,75104000.0,213813000.0,113148000.0,17279000.0,15756000.0,2134000.0,0.43,36247.0,24912000.0,21059000.0,9332000.0,3853000.0,0.0,9.1191,50.3437,3.6969,0.43,26611000.0,0.061000255522776374,0.05486798392544975,0.07369056137840076,0.5291913962200615,0.08081360815291867,0.06017161044985061,0.06689663716540067,0.018020419712552558,0.12445922371418015,0.0,9.134739982949702,626415000.0,,50193000.0,328747000.0,22575000.0,77307000.0,1.32,1.32,0.0,1.5379742,1256.22,438.86,0.53341,53373.094,85.8802,12.2953,19.127
2013-03-31,310791000.0,234431000.0,27810000.0,34480000.0,276311000.0,93287000.0,51470000.0,27385000.0,2305000.0,2499000.0,-204000.0,0.0,37708.0,6704000.0,3435000.0,2709000.0,3269000.0,0.0,,56.6974,4.0121,0.0,5014000.0,0.009044156765383933,0.008040773381468575,0.04855255488634156,0.5320575092286769,0.04478336895278803,0.007416559681586661,0.008342049357426957,0.06351272585972412,0.09741597046823393,0.0,8.429737504494787,481366000.0,36758000.0,39081000.0,254538000.0,3181000.0,60172000.0,0.9400000000000001,0.9400000000000001,0.0,1.5379742,1256.22,438.86,0.53341,53373.094,85.8802,12.2953,19.127
2013-06-30,332594000.0,251952000.0,32613000.0,38632000.0,293962000.0,101735000.0,109184000.0,58313000.0,7219000.0,7989000.0,-562000.0,0.0,38019.0,22217000.0,10801000.0,5711000.0,11416000.0,0.0,,62.4147,4.1143,0.0,12930000.0,0.027176982058905574,0.024020276974329062,0.07317006154747949,0.5340800849941383,0.06611774618991793,0.021705142004967017,0.024557595879739557,0.10455744431418523,0.1184239449003517,0.0,7.725508232913255,540066000.0,41752000.0,43102000.0,286441000.0,13253000.0,67720000.0,0.8600000000000001,0.8600000000000001,0.0,1.5379742,1256.22,438.86,0.53341,53373.094,85.8802,12.2953,19.127
2013-09-30,350040000.0,270950000.0,26359000.0,32709000.0,317331000.0,110446000.0,174531000.0,93607000.0,15875000.0,15399000.0,625000.0,0.0,38419000.0,30238000.0,15424000.0,8960000.0,14814000.0,0.0,,74.1994,5.1976,0.0,24835000.0,0.04852661731756431,0.04399211518683579,0.08823074410849649,0.536334519369052,0.090958053297122,0.045351959776025595,0.05002662834705717,0.08487890403424034,0.14229563802419054,0.0,10.279221518267006,548998000.0,41643000.0,42678000.0,292453000.0,33352000.0,69390000.0,0.43000000000000005,0.43000000000000005,0.0,1.5379742,1256.22,438.86,0.53341,53373.094,85.8802,12.2953,19.127
2013-12-31,368908000.0,292086000.0,38489000.0,45509000.0,323399000.0,101213000.0,-97094000.0,-51404000.0,-1484000.0,-2989000.0,1250000.0,0.59,125273.0,1527000.0,-13896000.0,-5220000.0,-12369000.0,0.0,7.587,57.955,5.574,0.59,-6704000.0,-0.009242452821437295,-0.008102291086124454,0.030784600490246564,0.5294250932086432,0.015284157620450285,-0.004022683162197621,-0.0045887587778564555,0.12739201186479082,0.0690464910293118,0.0,7.5888175842448495,238091000.0,22898000.0,23915000.0,127901000.0,17130000.0,36075000.0,0.5900000000000001,0.5900000000000001,0.0,1.5379742,1256.22,438.86,0.53341,53373.094,85.8802,12.2953,19.127
