report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-08-31,1908745000.0,805269000.0,508011000.0,871434000.0,921920000.0,,578213000.0,,82107000.0,49368000.0,4841000.0,24981000.0,0.61,-104377000.0,24785000.0,-129162000.0,0.0,,15.3906,1.7933,0.61,82107000.0,0.05354911489066296,0.025864114902724042,,,0.04301622270130374,0.08906087296077751,,,0.0,1.5851408729338539,,,,,,,,,,,0.75652075,99.99,62.6954,3.49468,17927.658,12.8045,0.8006,2.1669
2010-11-30,2056590000.0,928658000.0,605985000.0,942846000.0,988529000.0,,663660000.0,,165251000.0,102873000.0,9140000.0,49527000.0,1.28,-60916000.0,51709000.0,-112625000.0,0.0,,17.8412,1.9396,1.28,165251000.0,0.10406674968564403,0.050021151517803744,,,0.08035194180658274,0.167168590906286,,,0.0,1.5324768764903423,,,,,,,,,,,0.75652075,99.99,62.6954,3.49468,17927.658,12.8045,0.8006,2.1669
2011-02-28,3052418000.0,1569712000.0,1237918000.0,1686510000.0,1096242000.0,301319000.0,1329065000.0,,243450000.0,150661000.0,13455000.0,70489000.0,1.87,733291000.0,77095000.0,656196000.0,301319000.0,,20.7052,2.1689,1.87,243450000.0,0.13743407021442347,0.049357918869565046,,,0.07975644226970224,0.17419633203845844,,,0.27486540380682367,1.2680258304669614,,,,,,,,,,,0.75652075,99.99,62.6954,3.49468,17927.658,12.8045,0.8006,2.1669
2011-05-31,3350531000.0,1847975000.0,1444364000.0,1878856000.0,1184535000.0,268217000.0,1354285000.0,1859802000.0,-159214000.0,-93664000.0,-9275000.0,-49921000.0,-1.1600000000000001,141774000.0,-55052000.0,86722000.0,268217000.0,1.2798,19.8735,2.2365,-1.1600000000000001,-159214000.0,-0.07907237861270457,-0.027954971913407158,-0.050362350400741586,-0.08560803784488887,-0.0475190350425052,-0.109594755333326,0.04662969498903647,-0.08560803784488887,0.22643231310176568,1.2794385625784082,,209238000.0,331594000.0,501131000.0,331594000.0,18161000.0,2.5999999999999996,2.5999999999999996,0.8088716924914202,18.25857606959969,0.75652075,99.99,62.6954,3.49468,17927.658,12.8045,0.8006,2.1669
2011-08-31,2715158000.0,1237579000.0,802387000.0,1262987000.0,1157711000.0,285766000.0,723952000.0,542771000.0,108610000.0,63974000.0,4087000.0,34943000.0,0.79,-605878000.0,,,285766000.0,,16.1192,1.839,0.79,108610000.0,0.05525904133242234,0.023561796403745196,0.11786554550630007,0.2001028057873394,0.04000135535390574,0.0752419331932549,,0.2001028057873394,0.24683707764718482,1.5423716984447655,,223844000.0,358097000.0,,358097000.0,17407000.0,2.7800000000000002,2.7800000000000002,0.7980128289262407,20.572011259837996,0.75652075,99.99,62.6954,3.49468,17927.658,12.8045,0.8006,2.1669
2011-11-30,2614339000.0,1190410000.0,807424000.0,1180591000.0,1146355000.0,203222000.0,770860000.0,1073276000.0,205190000.0,125155000.0,8965000.0,60755000.0,1.57,-314066000.0,,,203222000.0,,14.9564,1.6901,1.57,205190000.0,0.1091764767458597,0.04787252150543598,0.1166102661384397,0.19118101960725853,0.07848637839239671,0.1520402318652437,,0.19118101960725853,0.17727667258397267,1.4743307110019024,,246126000.0,398036000.0,,398036000.0,17232000.0,3.07,3.07,0.5105618587263464,23.098653667595173,0.75652075,99.99,62.6954,3.49468,17927.658,12.8045,0.8006,2.1669
2012-02-29,2616971000.0,1126499000.0,752370000.0,1107767000.0,1229977000.0,177846000.0,735733000.0,1606815000.0,297537000.0,183075000.0,12663000.0,86082000.0,2.3,-226846000.0,,,177846000.0,,16.7355,1.9021,2.3,297537000.0,0.1488442466810355,0.0699568317723047,0.1139365763949179,0.18517190840264747,0.11369518424162897,0.21134546033130586,,0.18517190840264747,0.14459294767300526,1.4972673019923708,5082664000.0,278540000.0,452123000.0,,452123000.0,16440000.0,3.4999999999999996,3.4999999999999996,0.39335755977908665,27.50139902676399,0.75652075,99.99,62.6954,3.49468,17927.658,12.8045,0.8006,2.1669
2012-05-31,2688143000.0,1248739000.0,837285000.0,1242800000.0,1172184000.0,236565000.0,781275000.0,-1019015000.0,-303988000.0,-184043000.0,-8867000.0,-98899000.0,-2.29,973315000.0,,,236565000.0,1.4922,17.7322,1.5143,-2.29,-303988000.0,-0.15700862663199633,-0.06846473569300443,0.1806087250923686,0.29831553019337304,-0.11308475776772292,-0.2157857787299228,,0.29831553019337304,0.20181558526647694,1.4914145123822833,2203847000.0,188161000.0,307349000.0,,307349000.0,16848000.0,2.37,2.37,0.7696950372377981,18.242462013295345,0.75652075,99.99,62.6954,3.49468,17927.658,12.8045,0.8006,2.1669
2012-08-31,2805492000.0,1336881000.0,1045946000.0,1522472000.0,1148952000.0,285464000.0,841331000.0,590287000.0,80488000.0,46675000.0,3545000.0,24764000.0,0.59,68627000.0,,,285464000.0,,19.2092,1.4582,0.59,80488000.0,0.04062397732890495,0.016637010549308287,0.07907170579734943,0.13635401084557172,0.028689441994487953,0.05611203444467992,,0.13635401084557172,0.24845598423606904,1.2781548951857935,2251363000.0,170862000.0,279227000.0,,279227000.0,16306000.0,2.1699999999999995,2.1699999999999995,1.0223366651505763,17.124187415675213,0.75652075,99.99,62.6954,3.49468,17927.658,12.8045,0.8006,2.1669
2012-11-30,3428721000.0,1489920000.0,1037470000.0,2053920000.0,1233964000.0,777988000.0,998261000.0,1178825000.0,197070000.0,116858000.0,18154000.0,53553000.0,1.48,124793000.0,,,777988000.0,,19.2529,1.4998,1.48,197070000.0,0.09470130408990862,0.03408209650187344,0.0991309142578415,0.1671749411490255,0.05747624259891662,0.09794965287442245,,0.1671749411490255,0.6304786849535319,1.4361089959227737,2356912000.0,162565000.0,271107000.0,,271107000.0,25495000.0,2.079999999999999,2.079999999999999,2.869671384361156,10.633732104334182,0.75652075,99.99,62.6954,3.49468,17927.658,12.8045,0.8006,2.1669
