report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,shares_outstanding,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_pe,bf_ps,eps,roe,roa,net_margin,fcf_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,132386000000.0,114798000000.0,17560000000.0,5910000000.0,,,7749000000.0,,92000000.0,-13000000.0,0.22,541800000.0,964000000.0,24000000.0,940000000.0,5910000000.0,13.9131,0.514,0.22,,,,0.12130597496451155,0.3365603644646925,,,,,,,0.2023158,216.75,176.0001,1.5412,53731.74,5.2258,1.7795,0.7939
2010-09-30,132534000000.0,113232000000.0,19274000000.0,5909000000.0,,,23313000000.0,,275000000.0,131000000.0,1.16,542700000.0,3023000000.0,114000000.0,2909000000.0,5909000000.0,14.7618,0.52,1.16,,,,0.12478016557285634,0.30657881083324684,,,,,,,0.2023158,216.75,176.0001,1.5412,53731.74,5.2258,1.7795,0.7939
2010-12-31,130874000000.0,111830000000.0,19016000000.0,5908000000.0,,,31400000000.0,,367000000.0,198000000.0,1.71,542500000.0,3689000000.0,162000000.0,3527000000.0,5908000000.0,18.4885,0.5306,1.71,,,,0.1123248407643312,0.3106857383256205,,,,,,,0.2023158,216.75,176.0001,1.5412,53731.74,5.2258,1.7795,0.7939
2011-03-31,130425000000.0,111084000000.0,19312000000.0,5908000000.0,,,8095000000.0,,92000000.0,215000000.0,0.97,533600000.0,726000000.0,48000000.0,678000000.0,5908000000.0,12.5354,0.5124,0.97,,,,0.08375540457072267,0.30592377796188897,70557000000.0,,8054000000.0,826000000.0,4.06,4.06,0.2023158,216.75,176.0001,1.5412,53731.74,5.2258,1.7795,0.7939
2011-06-30,129023000000.0,110230000000.0,18764000000.0,5907000000.0,,,16176000000.0,,183000000.0,-194000000.0,-0.19,528200000.0,1260000000.0,106000000.0,1154000000.0,5907000000.0,28.3588,0.4866,-0.19,,,,0.07134025717111771,0.31480494564058836,78984000000.0,,8268000000.0,917000000.0,3.6499999999999995,3.6499999999999995,0.2023158,216.75,176.0001,1.5412,53731.74,5.2258,1.7795,0.7939
2011-09-30,126959000000.0,108830000000.0,18100000000.0,5907000000.0,,,24418000000.0,,275000000.0,-156000000.0,0.12,522900000.0,1671000000.0,160000000.0,1511000000.0,5907000000.0,32.9879,0.3682,0.12,,,,0.061880579900073715,0.326353591160221,80089000000.0,,6870000000.0,917000000.0,2.61,2.61,0.2023158,216.75,176.0001,1.5412,53731.74,5.2258,1.7795,0.7939
2011-12-31,125563000000.0,106861000000.0,18674000000.0,5908000000.0,,,-16035000000.0,788000000.0,-183000000.0,307000000.0,0.61,-1061600000.0,-1728000000.0,-68000000.0,-1796000000.0,5908000000.0,17.8189,0.4222,0.61,0.042197708043268715,0.006275734093642235,-0.04914250077954475,0.11200498908637356,0.3163757095426797,32654000000.0,,1547000000.0,367000000.0,1.51,1.51,0.2023158,216.75,176.0001,1.5412,53731.74,5.2258,1.7795,0.7939
2012-03-31,125933000000.0,106723000000.0,19182000000.0,6058000000.0,,,8362000000.0,766000000.0,95000000.0,346000000.0,1.53,501500000.0,807000000.0,51000000.0,756000000.0,6058000000.0,15.9984,0.4927,1.53,0.0399332707746846,0.006082599477499941,0.09160487921549869,0.09040899306386033,0.3158169116880409,32921000000.0,,1625000000.0,370000000.0,2.0700000000000003,2.0700000000000003,0.2023158,216.75,176.0001,1.5412,53731.74,5.2258,1.7795,0.7939
2012-06-30,125535000000.0,106060000000.0,19475000000.0,6058000000.0,,,16640000000.0,1189000000.0,188000000.0,525000000.0,2.39,497900000.0,1774000000.0,116000000.0,1658000000.0,6058000000.0,8.3361,0.5151,2.39,0.061052631578947365,0.009471462142032103,0.07145432692307692,0.09963942307692308,0.31106546854942235,33385000000.0,,2129000000.0,375000000.0,4.65,4.65,0.2023158,216.75,176.0001,1.5412,53731.74,5.2258,1.7795,0.7939
2012-09-30,126988000000.0,106151000000.0,20837000000.0,6057000000.0,,,24768000000.0,1912000000.0,281000000.0,850000000.0,3.86,494700000.0,2618000000.0,176000000.0,2442000000.0,6057000000.0,7.3829,0.5813,3.86,0.09175985026635312,0.015056540775506347,0.07719638242894057,0.09859496124031007,0.2906848394682536,33735000000.0,4655000000.0,3060000000.0,381000000.0,8.39,8.39,0.2023158,216.75,176.0001,1.5412,53731.74,5.2258,1.7795,0.7939
