report_date,total_assets,current_assets,current_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-04-02,47403000000.0,17208000000.0,13583000000.0,24872000000.0,4419000000.0,,5684000000.0,,4984000000.0,2183000000.0,1614000000.0,85000000.0,553000000.0,0.0,2327000000.0,1326000000.0,393000000.0,295000000.0,933000000.0,4419000000.0,,17.8362,4.0343,0.0,2478000000.0,0.06489224831135414,0.0340484779444339,,,,0.04605193764107757,0.07452801201734321,,,0.17766966870376327,1.266877714790547,,,,,,,,,,,,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2010-07-02,48444000000.0,18574000000.0,13934000000.0,25518000000.0,4427000000.0,,7735000000.0,,10703000000.0,4946000000.0,3983000000.0,166000000.0,1294000000.0,1.0,2326000000.0,4310000000.0,893000000.0,611000000.0,3417000000.0,4427000000.0,,11.1273,3.6364,1.0,5557000000.0,0.1560859001489145,0.08221864420774502,,,,0.10209726694740319,0.16516947737518783,,,0.17348538286699586,1.3329984211281758,,,,,,,,,,,,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2010-10-01,54089000000.0,23105000000.0,17271000000.0,27906000000.0,4456000000.0,,10509000000.0,,16211000000.0,7290000000.0,6038000000.0,246000000.0,1927000000.0,2.0,2329000000.0,7224000000.0,1335000000.0,934000000.0,5889000000.0,4456000000.0,,10.1483,4.2488,2.0,8224000000.0,0.21636923959005233,0.11163083066797315,,,,0.13477786610956016,0.22526419875162226,,,0.1596789220956067,1.3377916739042326,,,,,,,,,,,,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2010-12-31,72921000000.0,21579000000.0,18508000000.0,31003000000.0,14041000000.0,,8517000000.0,,-9472000000.0,-5970000000.0,174000000.0,236000000.0,-1390000000.0,2.0,-4649000000.0,-3328000000.0,-406000000.0,-397000000.0,-3734000000.0,14041000000.0,1.1659,8.6478,4.3486,2.0,-6367000000.0,0.005612360094184434,0.00238614390916197,,,,-0.08186942033159172,-0.13253707486013674,,,0.4528916556462278,1.1659282472444348,,11809000000.0,8449000000.0,22426000000.0,6505000000.0,9892000000.0,733000000.0,5.0,5.0,1.4194298422968055,11.526603001364256,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2011-04-01,76058000000.0,23542000000.0,21923000000.0,32279000000.0,12681000000.0,,9075000000.0,,6568000000.0,2279000000.0,1900000000.0,113000000.0,598000000.0,0.0,2331000000.0,458000000.0,589000000.0,486000000.0,-131000000.0,12681000000.0,,8.5954,4.0481,0.0,2765000000.0,0.05886179869264847,0.024980935601777592,,,,0.029963974861290068,0.05068950177935943,,,0.3928560364323554,1.0738493819276558,,12095000000.0,8545000000.0,24010000000.0,5441000000.0,10179000000.0,761000000.0,5.0,5.0,1.2458001768346596,11.228646517739817,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2011-07-01,80090000000.0,26539000000.0,24194000000.0,35142000000.0,11373000000.0,,10166000000.0,,14316000000.0,5453000000.0,4697000000.0,197000000.0,1588000000.0,2.0,2330000000.0,3642000000.0,1190000000.0,957000000.0,2452000000.0,11373000000.0,,10.1053,3.696,2.0,6410000000.0,0.13365773148938592,0.05864652266200524,,,,0.06808590335872144,0.11723100075244544,,,0.3236298446303568,1.0969248574026618,,12809000000.0,9052000000.0,27623000000.0,4476000000.0,11032000000.0,792000000.0,6.0,6.0,1.0309100797679478,11.429292929292929,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2011-09-30,81753000000.0,28191000000.0,25581000000.0,33209000000.0,13708000000.0,,12682000000.0,,21689000000.0,8203000000.0,6918000000.0,313000000.0,2268000000.0,2.0,2329000000.0,6800000000.0,1915000000.0,1423000000.0,4885000000.0,13708000000.0,,12.2376,3.3726,2.0,9626000000.0,0.20831702249390224,0.08462074786246376,,,,0.10033882548652649,0.17484067608755888,,,0.41277966816224515,1.1020288495367656,,13689000000.0,9965000000.0,33101000000.0,3472000000.0,12434000000.0,859000000.0,6.0,6.0,1.1024609940485766,11.60069848661234,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2011-12-31,79974000000.0,25497000000.0,24283000000.0,31635000000.0,13656000000.0,,12803000000.0,,-14247000000.0,-5781000000.0,-4943000000.0,-206000000.0,-1649000000.0,-1.0,-4667000000.0,-1426000000.0,-774000000.0,-912000000.0,-2200000000.0,13656000000.0,1.05,20.3427,3.4228,-1.0,-6693000000.0,-0.1562509878299352,-0.06180758746592643,,,,-0.072285992947708,-0.12764125322911837,,,0.4316737790422001,1.049993822839023,,8572000000.0,10154000000.0,28326000000.0,5006000000.0,12108000000.0,417000000.0,3.0,3.0,1.1278493557978195,24.350119904076738,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2012-03-30,83897000000.0,28023000000.0,24846000000.0,32818000000.0,16351000000.0,,10664000000.0,,6789000000.0,2509000000.0,2054000000.0,88000000.0,658000000.0,0.0,2301000000.0,493000000.0,592000000.0,447000000.0,-99000000.0,16351000000.0,,20.9974,3.5537,0.0,2956000000.0,0.06258760436345907,0.024482401039369703,,,,0.02990571772530603,0.05102808680266021,,,0.49823267718934733,1.127867664815262,,8726000000.0,10384000000.0,28547000000.0,5038000000.0,12299000000.0,392000000.0,3.0,3.0,1.329457679486137,26.489795918367346,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2012-06-29,85149000000.0,29325000000.0,26482000000.0,32269000000.0,16390000000.0,,9337000000.0,,14650000000.0,5803000000.0,4842000000.0,200000000.0,1481000000.0,2.0,2298000000.0,4178000000.0,1305000000.0,955000000.0,2873000000.0,16390000000.0,,22.1321,3.7128,2.0,6758000000.0,0.1500511326660262,0.056865024838811964,,,,0.06815112332499501,0.119258513327442,,,0.5079178158604233,1.1073559398836945,,8871000000.0,10734000000.0,28881000000.0,5459000000.0,12647000000.0,395000000.0,3.0,3.0,1.2959595160907724,27.174683544303797,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
