ticker,entry_date,entry_price,tp_price,sl_price_original,event_type,event_date,days_from_entry,price,trailing_stop,peak_price,return_pct
AVGO,2024-02-15,126.507,196.0859,112.589,TRAILING_ACTIVATED,2024-12-13,302,224.8,213.56,224.8,77.7
AVGO,2024-02-15,126.507,196.0859,112.589,REVIEW,2025-01-13,333,225.29,213.56,250.0,78.08
AVGO,2024-02-15,126.507,196.0859,112.589,EXIT_TP_TRAIL,2025-01-27,347,202.13,213.56,250.0,59.78
ORLY,2024-02-15,69.86,104.723,61.5868,EXIT_TIME,2025-02-14,365,87.92,61.5868,77.8353,25.85
LRCX,2024-02-15,91.378,141.6359,78.1074,EXIT_SL,2024-09-03,201,76.572,78.1074,112.73,-16.2
NVDA,2024-02-15,72.658,112.6199,66.8454,TRAILING_ACTIVATED,2024-08-16,183,124.58,118.351,124.58,71.46
NVDA,2024-02-15,72.658,112.6199,66.8454,EXIT_TP_TRAIL,2024-08-29,196,117.59,118.351,130.0,61.84
DXCM,2024-02-15,117.69,182.4195,102.5657,EXIT_SL,2024-08-16,183,74.65,102.5657,140.45,-36.57
MPC,2024-02-15,171.31,262.6235,145.2444,EXIT_SL,2024-10-30,258,144.76,145.2444,219.13,-15.5
BX,2024-02-15,130.25,195.1864,112.1778,TRAILING_ACTIVATED,2024-11-22,281,199.05,189.0975,199.05,52.82
BX,2024-02-15,130.25,195.1864,112.1778,EXIT_TP_TRAIL,2024-11-27,286,189.02,189.0975,199.05,45.12
