run_id,entry_date,candidate_train_months,ticker,eligible,reason,in_fold_base_universe,has_snapshot_in_analysis_quarter,passes_sp500_entry_filter,passes_history_filter
T06_20240215,2024-02-15,144,A,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,AAL,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,AAP,False,not_member_sp500_on_entry,False,True,False,False
T06_20240215,2024-02-15,144,AAPL,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,ABBV,False,insufficient_train_history,True,True,True,False
T06_20240215,2024-02-15,144,ABNB,False,insufficient_train_history,True,True,True,False
T06_20240215,2024-02-15,144,ABT,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,ACGL,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,ACN,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,ADBE,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,ADI,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,ADM,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,ADP,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,ADSK,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,AEE,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,AEP,False,insufficient_train_history,True,True,True,False
T06_20240215,2024-02-15,144,AES,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,AET,False,not_member_sp500_on_entry,False,True,False,False
T06_20240215,2024-02-15,144,AFL,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,AIG,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,AIV,False,not_member_sp500_on_entry,False,True,False,False
T06_20240215,2024-02-15,144,AIZ,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,AJG,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,AKAM,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,ALB,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,ALGN,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,ALK,False,not_member_sp500_on_entry,False,True,False,False
T06_20240215,2024-02-15,144,ALL,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,ALLE,False,insufficient_train_history,True,True,True,False
T06_20240215,2024-02-15,144,AMAT,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,AMCR,False,insufficient_train_history,True,True,True,False
T06_20240215,2024-02-15,144,AMD,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,AME,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,AMG,False,not_member_sp500_on_entry,False,True,False,False
T06_20240215,2024-02-15,144,AMGN,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,AMP,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,AMT,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,AMTM,False,out_of_fold_base_universe,False,False,False,False
T06_20240215,2024-02-15,144,AMZN,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,ANET,False,insufficient_train_history,True,True,True,False
T06_20240215,2024-02-15,144,ANSS,False,no_snapshot_in_analysis_quarter,True,False,False,False
T06_20240215,2024-02-15,144,AON,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,AOS,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,APA,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,APD,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,APH,True,eligible,True,True,True,True
T06_20240215,2024-02-15,144,APO,False,not_member_sp500_on_entry,False,True,False,False
