,shap_importance
eps,0.0
revenue_yoy_growth,0.0
earnings_quality,0.0
eps_yoy_growth,0.0
net_margin_trend_2y,0.0
total_debt_yoy_growth,0.0
capex_to_revenue,0.0
accruals_ratio,0.0
