,shap_importance
operating_margin,0.5381146
total_debt_yoy_growth,0.47872818
revenue_yoy_growth,0.47741276
current_ratio_change_yoy,0.44853917
net_margin_trend_2y,0.39128572
debt_equity,0.3461188
roe_trend_2y,0.34508294
fcf_yoy_growth,0.015237199
