,shap_importance
debt_equity,0.5855311
roi,0.46297172
current_ratio,0.4628217
capex_to_revenue,0.39471504
net_margin_trend_2y,0.38452324
net_income_yoy_growth,0.3413151
current_ratio_change_yoy,0.33495218
total_debt_yoy_growth,0.2570267
