,shap_importance
net_margin_trend_2y,1.0620253
gross_margin_change_yoy,0.8542266
total_debt_yoy_growth,0.55481124
current_ratio_change_yoy,0.53078717
debt_equity,0.384563
roa,0.37683952
gross_margin,0.3065
interest_coverage,0.10009104
