ticker,strategy,selected,selected_strategy,reject_reason,selection_score,rule_adjusted_rbs,risk_benefit_score,certainty_component,tp_quality_component,tp_floor_penalty_component,tp_pct,sl_pct,tp_feasibility,confidence,historical_tp_prob
A,conservative,False,balanced,lower_selection_score,,,0.20984609788502698,,,,0.26881045878649107,0.08,1.0,0.5563043242449326,0.5814814814814815
AAL,conservative,False,balanced,lower_selection_score,,,0.10545211385485774,,,,0.33592749439064334,0.25722720272609206,1.0,0.5676838834534932,0.49259259259259264
AAP,conservative,False,balanced,lower_selection_score,,,0.17315542918479312,,,,0.2880705448143963,0.09368906729766234,1.0,0.5018592078960211,0.5777777777777777
AAPL,conservative,False,balanced,lower_selection_score,,,0.15424927511071898,,,,0.4207193040269602,0.08,1.0,0.31379784300646707,0.6444444444444444
ABT,conservative,False,aggressive,lower_selection_score,,,0.19569394372939258,,,,0.23513818147039559,0.08,1.0,0.6118092630743305,0.6333333333333334
ACN,conservative,False,balanced,lower_selection_score,,,0.2797372770659426,,,,0.23896506201820494,0.08,1.0,0.7528907309812167,0.7037037037037037
ADBE,conservative,False,aggressive,lower_selection_score,,,0.4759111749963614,,,,0.4060355962198927,0.08,1.0,0.6541816895121626,0.7074074074074075
ADI,conservative,False,aggressive,lower_selection_score,,,0.1684253347684509,,,,0.22840041107844272,0.08766349066668697,1.0,0.6000547919610897,0.5962962962962963
ADM,conservative,False,aggressive,lower_selection_score,,,0.178679975270597,,,,0.21477468743292608,0.08,1.0,0.6341081520338558,0.5370370370370371
ADP,conservative,False,aggressive,lower_selection_score,,,0.2050829780437417,,,,0.24657732501185683,0.08,1.0,0.5996430584915836,0.6185185185185186
ADSK,conservative,False,aggressive,lower_selection_score,,,0.4609091087670035,,,,0.3566595392502851,0.09293150394288262,1.0,0.7298921079900276,0.5962962962962963
AEE,conservative,True,conservative,selected,,,-0.00830409174052486,,,,0.18735510047058773,0.08,1.0,0.27963718255310277,0.5814814814814815
AEP,conservative,False,balanced,lower_selection_score,,,-0.016653709413710124,,,,0.17758391005479848,0.08,1.0,0.2689992270821086,0.6481481481481481
AES,conservative,True,conservative,selected,,,-0.06708713268692729,,,,0.20406380916149228,0.11858463565344987,1.0,0.22215309381338422,0.41851851851851857
AFL,conservative,False,balanced,lower_selection_score,,,0.2245125889577285,,,,0.21492712157607086,0.08,1.0,0.7266412051308874,0.5370370370370371
AIG,conservative,False,aggressive,lower_selection_score,,,0.16851920313182203,,,,0.17922883840119105,0.09987221883715068,1.0,0.7746335246158563,0.4888888888888889
AIZ,conservative,False,aggressive,lower_selection_score,,,0.22652928171378692,,,,0.231278972370813,0.08720117459498683,1.0,0.7014986177549661,0.5962962962962963
AJG,conservative,False,aggressive,lower_selection_score,,,0.2386624895032649,,,,0.26607893532494725,0.08,1.0,0.6076939820186944,0.6814814814814815
AKAM,conservative,True,conservative,selected,,,0.028095417433328166,,,,0.2658521966234319,0.12461426837863718,1.0,0.36606771019374607,0.5481481481481482
ALB,conservative,False,balanced,lower_selection_score,,,0.03073867759137427,,,,0.3265825165019187,0.14959736026602005,1.0,0.35592231546204994,0.48148148148148145
ALGN,conservative,True,conservative,selected,,,0.526320244417947,,,,0.55,0.11556808336098498,1.0,0.5690299986403452,0.5962962962962963
ALK,conservative,False,balanced,lower_selection_score,,,0.08665445622143782,,,,0.31658290034272085,0.12431508915701844,1.0,0.4020458077898894,0.4740740740740741
ALL,conservative,False,balanced,lower_selection_score,,,0.11848995362233675,,,,0.22822966700726366,0.08,1.0,0.4839320929957335,0.5296296296296297
AMAT,conservative,False,balanced,lower_selection_score,,,0.3828248625582145,,,,0.4442115418381524,0.08813898817704283,1.0,0.5251265917743534,0.5259259259259259
AMD,conservative,True,conservative,selected,,,0.4918444357694068,,,,0.55,0.1848800825259082,1.0,0.6354035300549237,0.5518518518518518
AME,conservative,False,balanced,lower_selection_score,,,0.044485523142510024,,,,0.21550417973684377,0.0815403270808295,1.0,0.3646829740077654,0.5777777777777777
AMGN,conservative,False,aggressive,lower_selection_score,,,0.21165768515255834,,,,0.2490742595353762,0.08,1.0,0.6047834501645195,0.6037037037037037
AMP,conservative,False,balanced,lower_selection_score,,,0.0865581630802356,,,,0.32930276251573765,0.0991465033978326,1.0,0.34178413092704496,0.5814814814814815
AMT,conservative,False,aggressive,lower_selection_score,,,0.12122528732279558,,,,0.2470281448821891,0.08,1.0,0.4538233003155767,0.5814814814814815
AMZN,conservative,False,balanced,lower_selection_score,,,0.681112554589211,,,,0.41788510707610416,0.08,1.0,0.844685392909978,0.6148148148148148
AON,conservative,False,balanced,lower_selection_score,,,0.14358699207702913,,,,0.25997183055062145,0.08,1.0,0.46834544182361293,0.6629629629629629
AOS,conservative,False,balanced,lower_selection_score,,,0.11455087760071044,,,,0.32981678301620637,0.08,1.0,0.33496783072187314,0.5814814814814815
APD,conservative,False,balanced,lower_selection_score,,,0.15014194228239552,,,,0.22047071002999774,0.08,1.0,0.5621030878839833,0.5666666666666667
APH,conservative,False,balanced,lower_selection_score,,,0.18223617802241793,,,,0.27811202019622305,0.08,1.0,0.4956533519440161,0.5777777777777777
ARE,conservative,True,conservative,selected,,,0.015437369919248836,,,,0.20774697623965266,0.08,1.0,0.3105522378800382,0.5518518518518518
ATO,conservative,False,balanced,lower_selection_score,,,-0.019721940473492305,,,,0.20224154845494474,0.08,1.0,0.2406290422286969,0.6185185185185185
AVB,conservative,True,conservative,selected,,,-0.045239227981166696,,,,0.1517265849901754,0.09074149471678114,1.0,0.24266439865104814,0.49259259259259264
AVY,conservative,False,balanced,lower_selection_score,,,0.2377806171533953,,,,0.24948692983116716,0.08,1.0,0.6483144547512818,0.6074074074074074
AWK,conservative,False,aggressive,lower_selection_score,,,0.015001899930886369,,,,0.2265129349270173,0.08,1.0,0.289658477894279,0.6666666666666666
AXP,conservative,True,conservative,selected,,,0.08311493011984705,,,,0.2534421240968191,0.08,1.0,0.379019081462884,0.5851851851851853
AZO,conservative,False,aggressive,lower_selection_score,,,0.17443873763178397,,,,0.29301902494802895,0.08,1.0,0.45857762596095986,0.6962962962962963
BA,conservative,False,aggressive,lower_selection_score,,,0.1733344048946692,,,,0.26318256728893646,0.08,1.0,0.5102557670189443,0.46296296296296297
BAC,conservative,True,conservative,selected,,,0.13052012955276174,,,,0.2961746842822752,0.08,1.0,0.3928585547051917,0.6444444444444444
