ticker,final_score,label,fundamental_score,valuation_score,momentum_score,bear_score,sector_score,rank,selected,common_score,common_label,score_gap_vs_threshold,score_gap_vs_selected_cutoff,selected_cutoff_score,selected_rank,selection_reason,above_threshold,distance_to_threshold,selected_position
ORLY,0.8995410009429116,1,0.5467809497532742,0.6408207230101015,0.47543773080062235,0.4846113132568597,0.7893465652127648,1,True,0.8995410009429116,Outperform,0.3295410009429116,0.14193804966658485,0.7576029512763267,2.0,selected_above_threshold,True,0.3295410009429116,1.0
BKNG,0.8797897948382688,1,0.48143558061073405,0.5546276656403841,0.49877311295327115,0.45708929144054417,0.7168554066534465,2,False,0.8797897948382688,Outperform,0.30978979483826885,0.1221868435619421,0.7576029512763267,,qualified_but_not_selected,True,0.30978979483826885,
UAL,0.8635245632549964,0,0.48841782211576823,0.6014228599259605,0.5164960358923545,0.4660151503076789,0.8372814064685314,3,False,0.8635245632549964,Outperform,0.29352456325499643,0.10592161197866967,0.7576029512763267,,qualified_but_not_selected,True,0.29352456325499643,
TSCO,0.8506894494676146,1,0.5026878983356918,0.5713204322080363,0.47861153399064227,0.5278119791982865,0.7893465652127648,4,False,0.8506894494676146,Outperform,0.28068944946761465,0.09308649819128789,0.7576029512763267,,qualified_but_not_selected,True,0.28068944946761465,
AVGO,0.8485778685380045,1,0.5367030708436917,0.5602118972276082,0.5578151054282827,0.5608155614588528,0.6272732415340394,5,True,0.8485778685380045,Outperform,0.2785778685380046,0.09097491726167783,0.7576029512763267,1.0,selected_above_threshold,True,0.2785778685380046,5.0
MHK,0.8484798657472342,1,0.5786586082712225,0.5243941507638529,0.5315337688173799,0.5807153469634292,0.6993997388180282,6,False,0.8484798657472342,Outperform,0.27847986574723427,0.09087691447090751,0.7576029512763267,,qualified_but_not_selected,True,0.27847986574723427,
CMG,0.8444821836451873,1,0.49256329760740614,0.5580834298812185,0.5569623943471947,0.5288053498061314,0.7168554066534465,7,False,0.8444821836451873,Outperform,0.2744821836451874,0.08687923236886064,0.7576029512763267,,qualified_but_not_selected,True,0.2744821836451874,
STX,0.8431287174492099,1,0.5607901201078017,0.5250810598452437,0.5423898963623704,0.5718508946527423,0.6272732415340394,8,False,0.8431287174492099,Outperform,0.27312871744920997,0.08552576617288321,0.7576029512763267,,qualified_but_not_selected,True,0.27312871744920997,
LRCX,0.8425454610468739,0,0.5225541475353825,0.5398158408617175,0.5705284095048433,0.5423817838824982,0.6272732415340394,9,True,0.8425454610468739,Outperform,0.27254546104687394,0.08494250977054718,0.7576029512763267,3.0,selected_above_threshold,True,0.27254546104687394,9.0
BA,0.8422658699978143,0,0.5817607643429742,0.44690283562298816,0.5146609733567868,0.6115278847145453,0.6912730141729242,10,False,0.8422658699978143,Outperform,0.2722658699978143,0.08466291872148757,0.7576029512763267,,qualified_but_not_selected,True,0.2722658699978143,
ILMN,0.8399597063167038,0,0.5896342294066119,0.4972700815240194,0.5639924290649888,0.5665859290276144,0.6926683897767845,11,False,0.8399597063167038,Outperform,0.26995970631670385,0.0823567550403771,0.7576029512763267,,qualified_but_not_selected,True,0.26995970631670385,
PNW,0.8344497109770378,1,0.5753712562430574,0.418212688673951,0.5171535910012353,0.3988375855259292,0.8111551932707517,12,False,0.8344497109770378,Outperform,0.26444971097703784,0.07684675970071109,0.7576029512763267,,qualified_but_not_selected,True,0.26444971097703784,
FIS,0.8330674851857952,1,0.5403088538230236,0.4377770142546238,0.49294214340135495,0.5915116082780579,0.7266748622723633,13,False,0.8330674851857952,Outperform,0.26306748518579526,0.0754645339094685,0.7576029512763267,,qualified_but_not_selected,True,0.26306748518579526,
WDC,0.8323472284038895,1,0.5907812744773224,0.47008283322998773,0.5606471898681834,0.5608115506138378,0.6272732415340394,14,False,0.8323472284038895,Outperform,0.2623472284038896,0.07474427712756282,0.7576029512763267,,qualified_but_not_selected,True,0.2623472284038896,
CAH,0.8282685468023998,1,0.5099606561036577,0.541584761610833,0.47976462440049544,0.4882805312421143,0.6882893128285323,15,False,0.8282685468023998,Outperform,0.25826854680239986,0.0706655955260731,0.7576029512763267,,qualified_but_not_selected,True,0.25826854680239986,
