fold_id,ticker,entry_date,entry_price,tp_price,sl_price_original,event_type,event_date,days_from_entry,price,peak_price,trailing_stop,return_pct
2025Q1,ORLY,2025-02-18,86.3880,127.3342,75.8486,EXIT_TIME,2026-02-13,360,96.6600,104.4400,75.8486,11.8900
2025Q1,HCA,2025-02-18,316.7100,477.5480,281.5157,TRAILING_ACTIVATED,2025-11-18,273,478.1400,478.1400,450.9664,50.9700
2025Q1,HCA,2025-02-18,316.7100,477.5480,281.5157,REVIEW,2025-12-18,303,466.5600,515.8500,450.9664,47.3100
2025Q1,HCA,2025-02-18,316.7100,477.5480,281.5157,REVIEW,2026-01-20,336,464.3800,515.8500,450.9664,46.6300
2025Q1,HCA,2025-02-18,316.7100,477.5480,281.5157,EXIT_TIME,2026-02-13,360,540.2900,540.2900,450.9664,70.5900
2025Q1,SMCI,2025-02-18,55.8000,86.1545,46.4130,EXIT_SL,2025-08-20,183,42.6100,60.7100,46.4130,-23.6400
2025Q1,MU,2025-02-18,106.7900,165.5245,93.0878,TRAILING_ACTIVATED,2025-09-18,212,168.8900,168.8900,150.2298,58.1500
2025Q1,MU,2025-02-18,106.7900,165.5245,93.0878,REVIEW,2025-10-20,244,206.7700,206.7700,183.9246,93.6200
2025Q1,MU,2025-02-18,106.7900,165.5245,93.0878,REVIEW,2025-11-19,274,225.9200,253.3000,225.3136,111.5600
2025Q1,MU,2025-02-18,106.7900,165.5245,93.0878,EXIT_TP_TRAIL,2025-11-20,275,201.3700,253.3000,225.3136,88.5700
2025Q1,NVDA,2025-02-18,139.4000,216.0700,128.2480,EXIT_TIME,2026-02-13,360,182.8100,183.1600,128.2480,31.1400
2025Q1,ERIE,2025-02-18,391.0000,600.2726,324.9952,EXIT_SL,2025-09-15,209,321.8100,450.6100,324.9952,-17.7000
2025Q1,MSCI,2025-02-18,572.6900,887.6695,498.2937,EXIT_TIME,2026-02-13,360,526.0600,590.5100,498.2937,-8.1400
