portfolio_size,mean_alpha,std_alpha,min_alpha,max_alpha,median_alpha
1,0.057048,0.364868,-0.210398,0.850400,-0.057996
2,0.119777,0.313761,-0.214486,0.742290,0.086029
3,0.166329,0.281356,-0.107212,0.627354,0.064265
4,0.151525,0.213403,-0.071439,0.516069,0.107731
5,0.182727,0.197496,-0.034506,0.503924,0.123903
6,0.174810,0.142612,-0.008782,0.407617,0.157392
7,0.135983,0.141181,-0.016385,0.393125,0.103021
8,0.132925,0.127012,-0.007469,0.361609,0.113067
9,0.099719,0.121593,-0.014741,0.324850,0.055899
10,0.090880,0.125582,-0.029497,0.327665,0.067065
11,0.081132,0.116340,-0.020904,0.312857,0.045344
12,0.066509,0.125098,-0.020862,0.325725,0.015857
13,0.068479,0.133645,-0.024524,0.346397,0.004383
14,0.067232,0.129037,-0.015564,0.336766,0.013249
15,0.061411,0.111789,-0.006679,0.298212,0.001640
16,0.055763,0.108387,-0.046922,0.275980,0.023774
17,0.045191,0.101684,-0.037287,0.257859,0.011664
18,0.044613,0.098574,-0.017762,0.258403,0.010134
19,0.039561,0.090904,-0.021544,0.235677,0.005237
20,0.031356,0.084756,-0.022282,0.217053,0.004150
