,strategy,benchmark
2020-02-19,0.012883725248158824,0.004705785881164548
2020-02-20,-0.007575520137199787,-0.00381551976362815
2020-02-21,-0.016735558549736008,-0.01051810302712286
2020-02-24,-0.03091238297983819,-0.03351362667122315
2020-02-25,-0.022184858009039132,-0.030279995565056117
2020-02-26,0.005661200621623351,-0.0037785406053220116
2020-02-27,-0.03467386869945142,-0.04416324258407911
2020-02-28,-0.0018037729387096269,-0.008238340444361891
2020-03-02,0.03395757851387466,0.046039229006110016
2020-03-03,-0.01690872627737431,-0.028107896121075893
2020-03-04,0.05114616985026562,0.04220259077449118
2020-03-05,-0.02692634091450059,-0.033922077046888544
2020-03-06,-0.015237738814638878,-0.01705385200037013
2020-03-09,-0.06407083901896478,-0.07596969747745097
2020-03-10,0.04495032468133345,0.04939630628156144
2020-03-11,-0.03786524727481842,-0.048868445131273974
2020-03-12,-0.08735383006798349,-0.09511268097833658
2020-03-13,0.06861592165183125,0.09287124972971839
2020-03-16,-0.12011314318818851,-0.11984055240393443
2020-03-17,0.06254158215275749,0.05995484974402432
2020-03-18,-0.06245344903439413,-0.051830762729157875
2020-03-19,0.03438791909637003,0.0047078080405855705
2020-03-20,-0.035466712600965754,-0.04335951230846191
2020-03-23,0.047505974001036906,-0.02929386782180443
2020-03-24,0.06747828473473427,0.09382773976227554
2020-03-25,-0.014176570070353563,0.011535011448221999
2020-03-26,0.07822157162533652,0.062414163303876835
2020-03-27,-0.03750047217671988,-0.033687352562252526
2020-03-30,0.03789312925181293,0.03351600948370015
2020-03-31,-0.010660989792547468,-0.016012721914555605
2020-04-01,-0.03659366855161716,-0.04414243033166543
2020-04-02,0.029171132705921386,0.02282934723487151
2020-04-03,-0.008038556208905485,-0.015137125124949469
2020-04-06,0.062169275646709946,0.07033131865275055
2020-04-07,-0.0037318512868552076,-0.0016030527844311804
2020-04-08,0.01838422091924915,0.03405645287963033
2020-04-09,-0.007634721785332227,0.014487410153376512
2020-04-13,0.025424415523743853,-0.010104660822607414
2020-04-14,0.03908475416484934,0.030572589146256046
2020-04-15,-0.0006915683041749244,-0.022030438529415775
2020-04-16,0.026606392816506723,0.005816689462164515
2020-04-17,-0.002664352066347572,0.026793594848223412
2020-04-20,-0.006428729475353652,-0.01788104803401469
2020-04-21,-0.029630054732549965,-0.030674795694063395
2020-04-22,0.03061279270469308,0.022930247703843776
2020-04-23,-0.0023471795978335652,-0.0005394221197431159
2020-04-24,0.016116575929350133,0.013918057304545428
2020-04-27,-0.002315225288279883,0.014714069804799612
2020-04-28,-0.02645157794054264,-0.005242380698498916
2020-04-29,0.020721532650699707,0.026583916282167053
2020-04-30,-0.0006875458413169247,-0.009212446303987654
2020-05-01,-0.024749623858066085,-0.028059034078492195
2020-05-04,0.016465577531771854,0.004249827591976452
2020-05-05,0.009341793312230501,0.009040556385797371
2020-05-06,-0.003943696829971704,-0.006979410390386298
2020-05-07,0.013523306869809938,0.011504630788313985
2020-05-08,0.014061724059307336,0.016871538638701944
2020-05-11,0.0059214841442441855,0.00013307822091168653
2020-05-12,-0.018044655085405276,-0.020500317528877154
2020-05-13,-0.005336845273212006,-0.01746272460422804
2020-05-14,0.013868235619979215,0.01152482269503552
2020-05-15,0.0022420390578249717,0.0039263632504382695
