fold_id,ticker,entry_date,entry_price,tp_price,sl_price_original,event_type,event_date,days_from_entry,price,peak_price,trailing_stop,return_pct
2020Q1,NVDA,2020-02-18,7.4142,11.4921,6.8211,TRAILING_ACTIVATED,2020-08-19,183,12.1385,12.1385,10.9134,63.7200
2020Q1,NVDA,2020-02-18,7.4142,11.4921,6.8211,REVIEW,2020-09-18,213,12.1892,14.3465,10.9134,64.4000
2020Q1,NVDA,2020-02-18,7.4142,11.4921,6.8211,REVIEW,2020-10-19,244,13.4978,14.3465,12.8985,82.0500
2020Q1,NVDA,2020-02-18,7.4142,11.4921,6.8211,EXIT_TP_TRAIL,2020-10-28,253,12.6270,14.3465,12.8985,70.3100
2020Q1,LRCX,2020-02-18,32.5340,50.4277,27.6811,TRAILING_ACTIVATED,2020-12-07,293,50.8680,50.8680,46.3599,56.3500
2020Q1,LRCX,2020-02-18,32.5340,50.4277,27.6811,REVIEW,2021-01-06,323,49.6490,51.1660,46.6315,52.6100
2020Q1,LRCX,2020-02-18,32.5340,50.4277,27.6811,REVIEW,2021-02-05,353,50.9760,58.0020,46.6315,56.6900
2020Q1,LRCX,2020-02-18,32.5340,50.4277,27.6811,EXIT_TIME,2021-02-12,360,58.6160,58.6160,46.6315,80.1700
2020Q1,AVGO,2020-02-18,31.0750,48.1663,26.7484,TRAILING_ACTIVATED,2021-02-12,360,48.6320,48.6320,45.7215,56.5000
2020Q1,AVGO,2020-02-18,31.0750,48.1663,26.7484,EXIT_TIME,2021-02-12,360,48.6320,48.6320,45.7215,56.5000
2020Q1,EA,2020-02-18,109.4600,169.6630,95.3444,EXIT_TIME,2021-02-12,360,147.7400,146.9500,95.3444,34.9700
2020Q1,TTWO,2020-02-18,113.4300,175.8165,100.0790,TRAILING_ACTIVATED,2020-11-27,283,176.4100,176.4100,161.9169,55.5200
2020Q1,TTWO,2020-02-18,113.4300,175.8165,100.0790,REVIEW,2020-12-28,314,201.1200,203.3900,186.6804,77.3100
2020Q1,TTWO,2020-02-18,113.4300,175.8165,100.0790,REVIEW,2021-01-27,344,195.3800,210.4300,193.1420,72.2500
2020Q1,TTWO,2020-02-18,113.4300,175.8165,100.0790,EXIT_TIME,2021-02-12,360,199.8600,213.3400,193.1420,76.2000
2020Q1,AMZN,2020-02-18,107.7835,167.0644,99.1608,TRAILING_ACTIVATED,2020-08-25,189,167.3245,167.3245,153.8122,55.2400
2020Q1,AMZN,2020-02-18,107.7835,167.0644,99.1608,EXIT_TP_TRAIL,2020-09-17,212,150.4365,176.5725,153.8122,39.5700
2020Q1,CHTR,2020-02-18,537.6000,831.4591,485.2885,EXIT_TIME,2021-02-12,360,613.4500,610.6900,485.2885,14.1100
