fold,train_years,train_start,test_start,test_period,test_end,strategy_cumulative_return,benchmark_cumulative_return,alpha,strategy_sharpe,benchmark_sharpe,excess_sharpe,strategy_sortino,strategy_max_drawdown,strategy_calmar,strategy_volatility,n_stocks
T02_20200215,8,2012-02-15,2020-02-15,2020-02-15 -> 2021-02-12,2021-02-12,0.4976,0.1675,0.3301,1.2524,0.5088,0.7436,1.4906,-0.2637,1.9050,0.3397,7
T03_20210215,9,2012-02-15,2021-02-15,2021-02-15 -> 2022-02-15,2022-02-15,0.1069,0.1369,-0.0301,0.3843,0.7017,-0.3173,0.5418,-0.1860,0.5722,0.2247,7
T04_20220215,11,2011-02-15,2022-02-15,2022-02-15 -> 2023-02-15,2023-02-15,-0.0185,-0.0723,0.0538,-0.1178,-0.3641,0.2463,-0.1563,-0.2804,-0.0663,0.2447,7
T05_20230215,12,2011-02-15,2023-02-15,2023-02-15 -> 2024-02-15,2024-02-15,0.5848,0.2127,0.3721,2.3305,1.2957,1.0348,3.7610,-0.1078,5.4512,0.1890,7
T06_20240215,12,2012-02-15,2024-02-15,2024-02-15 -> 2025-02-14,2025-02-14,0.1141,0.2157,-0.1016,0.4817,1.2899,-0.8082,0.6058,-0.1315,0.8751,0.1748,7
T07_20250215,12,2013-02-15,2025-02-15,2025-02-15 -> 2026-02-13,2026-02-13,0.1984,0.1153,0.0831,0.9125,0.4681,0.4443,1.2416,-0.1019,1.9734,0.1734,7
T08_20260215,12,2014-02-15,2026-02-15,2026-02-15 -> 2026-04-02,2026-04-02,0.0014,-0.0381,0.0395,0.0045,-2.0540,2.0585,0.0079,-0.1024,0.1101,0.2487,7
