fold_id,ticker,entry_date,entry_price,tp_price,sl_price_original,event_type,event_date,days_from_entry,price,peak_price,trailing_stop,return_pct
2024Q1,AVGO,2024-02-15,126.5070,196.0859,112.5890,TRAILING_ACTIVATED,2024-12-13,302,224.8000,224.8000,212.0132,77.7000
2024Q1,AVGO,2024-02-15,126.5070,196.0859,112.5890,REVIEW,2025-01-13,333,225.2900,250.0000,212.0132,78.0800
2024Q1,AVGO,2024-02-15,126.5070,196.0859,112.5890,EXIT_TP_TRAIL,2025-01-27,347,202.1300,250.0000,212.0132,59.7800
2024Q1,ORLY,2024-02-15,69.8600,104.7230,61.5868,EXIT_TIME,2025-02-14,365,87.9200,77.8353,61.5868,25.8500
2024Q1,LRCX,2024-02-15,91.3780,141.6359,78.1074,EXIT_SL,2024-09-03,201,76.5720,112.7300,78.1074,-16.2000
2024Q1,NVDA,2024-02-15,72.6580,112.6199,66.8454,TRAILING_ACTIVATED,2024-08-16,183,124.5800,124.5800,112.2966,71.4600
2024Q1,NVDA,2024-02-15,72.6580,112.6199,66.8454,EXIT_TP_TRAIL,2024-09-03,201,108.0000,130.0000,112.2966,48.6400
2024Q1,DXCM,2024-02-15,117.6900,182.4195,102.5657,EXIT_SL,2024-08-16,183,74.6500,140.4500,102.5657,-36.5700
2024Q1,MPC,2024-02-15,171.3100,262.6235,145.2444,EXIT_SL,2024-10-30,258,144.7600,219.1300,145.2444,-15.5000
2024Q1,BX,2024-02-15,130.2500,195.1864,112.1778,TRAILING_ACTIVATED,2024-11-22,281,199.0500,199.0500,183.0603,52.8200
2024Q1,BX,2024-02-15,130.2500,195.1864,112.1778,EXIT_TP_TRAIL,2024-12-18,307,171.7000,199.0500,183.0603,31.8200
