fold_id,ticker,entry_date,entry_price,tp_price,sl_price_original,event_type,event_date,days_from_entry,price,peak_price,trailing_stop,return_pct
2023Q1,ORLY,2023-02-15,57.4153,86.9909,49.7621,EXIT_TIME,2024-02-15,365,69.8600,64.6153,49.7621,21.6700
2023Q1,NVDA,2023-02-15,22.7640,35.2842,20.9429,TRAILING_ACTIVATED,2023-08-17,183,43.3440,43.3440,38.9688,90.4100
2023Q1,NVDA,2023-02-15,22.7640,35.2842,20.9429,REVIEW,2023-09-18,215,43.9660,49.3550,38.9688,93.1400
2023Q1,NVDA,2023-02-15,22.7640,35.2842,20.9429,REVIEW,2023-10-18,245,42.1960,49.3550,38.9688,85.3600
2023Q1,NVDA,2023-02-15,22.7640,35.2842,20.9429,REVIEW,2023-11-17,275,49.2980,49.6560,44.6437,116.5600
2023Q1,NVDA,2023-02-15,22.7640,35.2842,20.9429,REVIEW,2023-12-18,306,50.0770,50.4090,45.3207,119.9800
2023Q1,NVDA,2023-02-15,22.7640,35.2842,20.9429,REVIEW,2024-01-17,336,56.0530,56.3820,50.6908,146.2400
2023Q1,NVDA,2023-02-15,22.7640,35.2842,20.9429,EXIT_TIME,2024-02-15,365,72.6580,73.9000,50.6908,219.1800
2023Q1,NFLX,2023-02-15,36.1420,56.0201,32.8234,TRAILING_ACTIVATED,2024-01-25,344,56.2000,56.2000,50.7824,55.5000
2023Q1,NFLX,2023-02-15,36.1420,56.0201,32.8234,EXIT_TIME,2024-02-15,365,59.3460,59.3460,50.7824,64.2000
2023Q1,LRCX,2023-02-15,52.0290,78.3248,46.3675,TRAILING_ACTIVATED,2023-12-26,314,79.5710,79.5710,72.4708,52.9400
2023Q1,LRCX,2023-02-15,52.0290,78.3248,46.3675,REVIEW,2024-01-25,344,86.5600,86.5600,78.8361,66.3700
2023Q1,LRCX,2023-02-15,52.0290,78.3248,46.3675,EXIT_TIME,2024-02-15,365,91.3780,91.5700,78.8361,75.6300
2023Q1,MU,2023-02-15,61.8400,92.6323,53.0667,EXIT_TIME,2024-02-15,365,81.6300,73.9300,53.0667,32.0000
2023Q1,AMZN,2023-02-15,101.1600,156.7980,91.3550,TRAILING_ACTIVATED,2024-01-24,343,156.8700,156.8700,144.1589,55.0700
2023Q1,AMZN,2023-02-15,101.1600,156.7980,91.3550,EXIT_TIME,2024-02-15,365,169.8000,174.4500,144.1589,67.8500
2023Q1,DHI,2023-02-15,99.2400,153.8220,76.3839,TRAILING_ACTIVATED,2024-01-10,329,154.5200,154.5200,142.1516,55.7000
2023Q1,DHI,2023-02-15,99.2400,153.8220,76.3839,EXIT_TP_TRAIL,2024-01-24,343,139.2100,157.7000,142.1516,40.2800
