report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,cogs,gross_profit,interest_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2020-03-31,88628000.0,23297000.0,31626000.0,2604762000.0,1192363000.0,1250403000.0,,51439000.0,,,-8457000.0,-27892000.0,38961000.0,38882000.0,671000.0,292922000.0,1412399000.0,1119477000.0,130926000.0,671000.0,0.01953851301994443,0.008944003329286899,0.2628627521776414,,1.0486764517181428,0.0022907122032486465,0.0022907122032486465,0.01214160833120262,0.01294679883378105,0.5979569312902646,3734000.0,,334.86957686127477
2020-06-30,89715000.0,23484000.0,31769000.0,2622518000.0,1216797000.0,1232564000.0,,65243000.0,,,-8346000.0,-28570000.0,39077000.0,39007000.0,104000.0,301890000.0,1405721000.0,1103831000.0,128733000.0,104000.0,0.01929985034479868,0.008954752646121018,0.26176224711586693,,1.012957790001126,0.00034449633972639043,0.00034449633972639043,0.012113930199907112,0.012970321647156136,0.6009673209304706,3199000.0,,385.29665520475146
2020-09-30,92012000.0,24401000.0,32762000.0,2635686000.0,1244618000.0,1211067000.0,,62925000.0,,,-8347000.0,-29211000.0,39450000.0,39338000.0,19000.0,306516000.0,1391068000.0,1084552000.0,126515000.0,19000.0,0.019605212201655446,0.009257931331729197,0.2651936703908186,,0.9730431345199893,6.198697621005103e-05,6.198697621005103e-05,0.012430160497115362,0.013341287665152492,0.618529784537389,3551000.0,,341.0495635032385
2020-12-31,92668000.0,37181000.0,32735000.0,2720803000.0,1270518000.0,1310895000.0,,16678000.0,,,-8777000.0,-30686000.0,39696000.0,39513000.0,21000.0,139390000.0,1450285000.0,1310895000.0,,21000.0,0.029264441747381777,0.013665450971643298,0.4012280398843182,,1.031779951169523,0.00015065643159480594,0.00015065643159480594,0.012031374561113025,0.01268103941523499,0.9366434905280129,2049000.0,,639.7730600292825
2021-03-31,97931000.0,27339000.0,35762000.0,2756921000.0,1316798000.0,1286063000.0,,78822000.0,,,-8276000.0,-30313000.0,39765000.0,39673000.0,68000.0,154060000.0,1440123000.0,1286063000.0,,68000.0,0.020761726551832553,0.009916497425932772,0.2791659433682899,,0.9766592901872573,0.0004413864728028041,0.0004413864728028041,0.012971717361505824,0.013739496653874333,0.6875141456054319,5449000.0,,236.01816847127913
2021-06-30,99575000.0,27558000.0,35683000.0,2855622000.0,1373331000.0,1316129000.0,,62588000.0,,71518000.0,-8181000.0,-31349000.0,40163000.0,40067000.0,38565000.0,166162000.0,1482291000.0,1316129000.0,,38565000.0,0.020066538948003067,0.009650436927576549,0.27675621390911376,0.7182324880743158,0.9583479874844447,0.2320927769285396,0.2320927769285396,0.012495701461888163,0.013267719170391082,0.6861539227647337,4334000.0,,303.6753576372866
2021-09-30,104597000.0,30771000.0,39131000.0,2985010000.0,1419740000.0,1336615000.0,,99756000.0,,74953000.0,-8416000.0,-32263000.0,40567000.0,40434000.0,247000.0,228655000.0,1565270000.0,1336615000.0,,247000.0,0.02167368673137335,0.01030850817920208,0.2941862577320573,0.716588429878486,0.9414505472833054,0.0010802300408912992,0.0010802300408912992,0.013109168813504813,0.014196647383954535,0.7585229373628811,6868000.0,,194.61488060570764
2021-12-31,107372000.0,71889000.0,41018000.0,3215336000.0,1571460000.0,1451778000.0,,15326000.0,,,-8072000.0,-33174000.0,41773000.0,41562000.0,4393000.0,192098000.0,1643876000.0,1451778000.0,,4393000.0,0.04574663052193501,0.02235816101334355,0.6695320940282383,,0.9238402504677179,0.022868535851492466,0.022868535851492466,0.012756987139135692,0.013567572252002655,1.7209441505278529,7844000.0,,185.08133605303416
2022-03-31,112974000.0,63580000.0,41259000.0,3344735000.0,1674389000.0,1464516000.0,,82264000.0,,,-8110000.0,-36341000.0,41011000.0,40844000.0,5718000.0,205830000.0,1670346000.0,1464516000.0,,5718000.0,0.037972060256009806,0.019008979784646617,0.562784357462779,,0.8746569644210515,0.027780206966914443,0.027780206966914443,0.012335506400357577,0.013144392710196708,1.5503157689400404,4918000.0,,297.78690524603496
2022-06-30,118553000.0,46139000.0,44320000.0,3851717000.0,1986074000.0,1623536000.0,,93888000.0,,,-8970000.0,-37461000.0,41359000.0,41246000.0,5555000.0,242107000.0,1865643000.0,1623536000.0,,5555000.0,0.02323125925821495,0.011978813604426286,0.38918458411006046,,0.8174599737975523,0.02294440061625645,0.02294440061625645,0.011506556686277834,0.012278334778549484,1.1155733939408594,6859000.0,,236.70155999416824
2022-09-30,125658000.0,37792000.0,47381000.0,3962323000.0,1990186000.0,1697728000.0,,100399000.0,,,-9771000.0,-39277000.0,42316000.0,42211000.0,4848000.0,274409000.0,1972137000.0,1697728000.0,,4848000.0,0.01898917990579775,0.009537839292758313,0.30075283706568623,,0.8530499159375053,0.01766705902503198,0.01766705902503198,0.011957884301708872,0.012847642325715839,0.8930900841289346,8104000.0,,209.49259624876603
2022-12-31,129840000.0,38671000.0,50150000.0,4035837000.0,1953439000.0,1861744000.0,,39950000.0,,,-11648000.0,-40559000.0,36822000.0,36719000.0,538505000.0,136988000.0,2082398000.0,1861744000.0,,56000.0,0.019796369377287952,0.009581903332567693,0.297835797905114,,0.9530597064971059,3.9310377551318365,3.9310377551318365,0.012426170829000278,0.01314484783560841,1.0502145456520557,9591000.0,,194.1136482118653
2023-03-31,135025000.0,44690000.0,52621000.0,4080461000.0,2036382000.0,1797595000.0,,33650000.0,,,-13025000.0,-41014000.0,43823000.0,43751000.0,9390000.0,246484000.0,2044079000.0,1797595000.0,,9390000.0,0.02194578423890999,0.010952193882014802,0.3309757452323644,,0.8827395842233923,0.038095779036367475,0.038095779036367475,0.012895846817308142,0.013724912799424723,1.019784131620382,11607000.0,,154.87162918928232
