report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps
2020-03-31,568507000.0,-720642000,-655247000.0,2752422000,1937721000.0,18524000.0,-683417000.0,541188000.0,-602000.0,-16566000.0,216721000.0,216721000.0,1716169000.0,503412000.0,814701000.0,18524000.0,1302592000.0,-0.3719018372614014,-0.26182104343011353,-1.2676044446242527,0.9519460622296647,0.009559683772844491,3.4090744757772957,3.4090744757772957,-0.23806196869520735,-0.33495139923680317,-3.325206140613969
2020-06-30,688043000.0,290298000,250080000.0,3212321000,2344604000.0,18588000.0,269382000.0,654679000.0,-600000.0,-16966000.0,220434000.0,217549000.0,2077625000.0,556513000.0,867717000.0,18588000.0,1589486000.0,0.12381536498274336,0.0903701715986665,0.4219183975420141,0.9515088446506977,0.00792799125140109,3.73329104621096,3.73329104621096,0.07785025220082302,0.10582297164174558,1.3169384033316094
2020-09-30,620643000.0,-15203000,27424000.0,3307430000,2390833000.0,11900000.0,182115000.0,586321000.0,-544000.0,-11695000.0,218784000.0,218784000.0,2159425000.0,606202000.0,916597000.0,11900000.0,1734800000.0,-0.0063588715732131856,-0.004596620336635999,-0.02449556347207654,0.9446992876742346,0.0049773447162557985,3.5622201840310654,3.5622201840310654,0.00829163429006812,0.011413669350693564,-0.06948862805323973
2020-12-31,789509000.0,149850000,180253000.0,3560918000,2611268000.0,0.0,107321000.0,753186000.0,-428000.0,-18252000.0,216353000.0,219238000.0,2359894000.0,631195000.0,949650000.0,,1801377000.0,0.05738591366340031,0.04208184518711186,0.18980150954580632,0.953992924716501,0.0,3.738771694959561,3.738771694959561,0.05061981208216533,0.06902891622001266,0.6926180824855676
2021-03-31,604718000.0,53535000,114807000.0,3661436000,2727844000.0,0.0,206095000.0,575498000.0,-359000.0,-15787000.0,221867000.0,219801000.0,2449969000.0,623881000.0,933592000.0,,1962393000.0,0.019625389135155824,0.014621312512358538,0.08852886800128325,0.9516799566078734,0.0,3.926981267260904,3.926981267260904,0.031355730374639894,0.04208708415877154,0.24129320719169592
2021-06-30,705709000.0,149456000,155311000.0,3904623000,2935861000.0,0.0,172944000.0,667681000.0,-358000.0,-22177000.0,221867000.0,219801000.0,2620060000.0,660324000.0,968762000.0,,2080967000.0,0.05090704226119697,0.038276678695997025,0.21178134330155915,0.9461137664391414,0.0,3.9678400300458563,3.9678400300458563,0.039776183257641005,0.05290134648745291,0.6736287956298143
2021-09-30,812987000.0,181739000,247469000.0,4198831000,3148657000.0,0.0,255098000.0,773118000.0,-439000.0,-27730000.0,222248000.0,220845000.0,2923797000.0,742712000.0,1050174000.0,,1999021000.0,0.05771952931043299,0.04328323764400139,0.22354477992883034,0.9509598554466431,0.0,3.936649737717985,3.936649737717985,0.05893759477340241,0.07859509625850006,0.8177306432453836
2021-12-31,862853000.0,563851000,119950000.0,4933352000,3770004000.0,0.0,115351000.0,818979000.0,-752000.0,443831000.0,222248000.0,220845000.0,3149428000.0,854308000.0,1163348000.0,,2348192000.0,0.1495624407825562,0.11429368915901399,0.6534728395219116,0.9491524048708181,0.0,3.6865252344587667,3.6865252344587667,0.024314097189902524,0.03181694236929192,2.5370352039163455
2022-03-31,733235000.0,37992000,127664000.0,5054221000,3863072000.0,0.0,215741000.0,690621000.0,-680000.0,-32543000.0,222248000.0,220845000.0,3289791000.0,886163000.0,1191149000.0,,2256759000.0,0.009834660083995328,0.007516885391438167,0.0518142205432092,0.9418822069322932,0.0,3.7123994118463535,3.7123994118463535,0.025258887571398242,0.03304727429361917,0.17094417047622476
2022-06-30,911397000.0,161432000,260288000.0,5319035000,4085061000.0,0.0,174157000.0,860761000.0,-678000.0,-67946000.0,223661000.0,221660000.0,3667115000.0,926674000.0,1233974000.0,,2722425000.0,0.03951764734969686,0.030349866094131737,0.17712588476810873,0.9444413356638216,0.0,3.957287028663802,3.957287028663802,0.048935192191816745,0.0637170411898378,0.7217708943445661
2022-09-30,823303000.0,112775000,116483000.0,5510214000,4226651000.0,0.0,296381000.0,768719000.0,-641000.0,-35813000.0,223661000.0,221660000.0,3877976000.0,1006596000.0,1283563000.0,,2690622000.0,0.026681881234102367,0.020466537234307053,0.1369787307953451,0.9337012011373699,0.0,3.852564484659188,3.852564484659188,0.021139469356362565,0.0275591715521343,0.5042229087771225
2022-12-31,926700000.0,28461000,102413000.0,5840984000,4370119000.0,0.0,283662000.0,867537000.0,39784000.0,-52154000.0,222074000.0,220428000.0,4173512000.0,1117360000.0,1470865000.0,,2951422000.0,0.006512637298892776,0.004872637897998008,0.030712204596956946,0.9361573324700551,0.0,3.735154292260328,3.735154292260328,0.017533518324994557,0.023434830950827656,0.12815998270846654
