report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps
2020-03-31,856108000.0,161180000,177482000.0,6053993000,4934400000.0,0.0,225874000.0,506940000.0,12026000.0,-16455000.0,191684000.0,190803000.0,2928886000.0,781872000.0,1119593000.0,1440250000.0,0.03266455901426719,0.026623750638628093,0.1882706387511856,0.5921449162956076,0.0,3.745991671271001,3.745991671271001,0.029316518866143386,0.035968304150453954,0.8408630871642913
2020-06-30,869867000.0,184180000,188389000.0,6220042000,4740861000.0,0.0,199237000.0,515430000.0,10455000.0,-13412000.0,191597000.0,191024000.0,3258439000.0,1163927000.0,1479181000.0,1735804000.0,0.03884948324787417,0.029610732532031135,0.21173351788261885,0.5925388593888491,0.0,2.799521791315091,2.799521791315091,0.0302874160656793,0.03973729666404478,0.9612885379207399
2020-09-30,1109194000.0,313417000,317101000.0,6550669000,5104341000.0,0.0,274338000.0,667983000.0,7777000.0,-23300000.0,191998000.0,191234000.0,3341870000.0,1122956000.0,1446328000.0,1653680000.0,0.06140204974550094,0.04784503689623151,0.28256283391363457,0.6022237769046713,0.0,2.975958096310096,2.975958096310096,0.048407422203747434,0.06212378835975104,1.6323972124709631
2020-12-31,1351405000.0,333548000,371267000.0,7031373000,5516116000.0,0.0,435818000.0,790984000.0,6744000.0,-57918000.0,192301000.0,191279000.0,3669351000.0,1164217000.0,1515257000.0,1846084000.0,0.06046790894172639,0.04743710794463613,0.24681572141585978,0.5853049233945412,0.0,3.1517758287329594,3.1517758287329594,0.05280149410364093,0.06730587246533612,1.734509960946641
2021-03-31,1072327000.0,220029000,249659000.0,6999729000,5715827000.0,0.0,368362000.0,641556000.0,7652000.0,-30485000.0,192810000.0,191896000.0,3557920000.0,933125000.0,1283902000.0,1942131000.0,0.03849469201919512,0.03143393122790897,0.20518834273500527,0.5982839189911286,0.0,3.8129082384460817,3.8129082384460817,0.03566695224915136,0.043678543804772256,1.1411700637933717
2021-06-30,1326905000.0,316997000,371172000.0,7402724000,5584248000.0,0.0,229680000.0,780851000.0,7018000.0,-55062000.0,192870000.0,192151000.0,3883765000.0,1458830000.0,1818476000.0,1970014000.0,0.05676628258630347,0.042821669428712995,0.23889954442857628,0.5884754372016082,0.0,2.662246457777808,2.662246457777808,0.05013992146674656,0.06646767836958531,1.6435785762430652
2021-09-30,1191973000.0,259039000,282670000.0,7571489000,5854738000.0,0.0,245423000.0,695947000.0,6897000.0,-16347000.0,193185000.0,192322000.0,4008966000.0,1373939000.0,1716751000.0,1984270000.0,0.04424433680892296,0.03421242505932453,0.21731951982133824,0.5838613794104397,0.0,2.917863165686395,2.917863165686395,0.037333475621505886,0.04828055499665399,1.3408856795299842
2021-12-31,1391589000.0,286136000,315120000.0,7854427000,6114159000.0,0.0,168962000.0,772105000.0,7005000.0,-22702000.0,193875000.0,192919000.0,4261772000.0,1448148000.0,1740268000.0,1846038000.0,0.04679891379991917,0.03642990125186726,0.20561818180511632,0.5548369525772336,0.0,2.9429119123183543,2.9429119123183543,0.04012004949565385,0.05153938587465586,1.4758787878787878
2022-03-31,1172662000.0,211592000,228556000.0,7703249000,6248842000.0,0.0,185634000.0,662479000.0,7553000.0,-24272000.0,193306000.0,192353000.0,4082203000.0,1152501000.0,1454407000.0,1792768000.0,0.03386099376492477,0.027467890496594358,0.18043732976765683,0.5649360173690288,0.0,3.5420385752376786,3.5420385752376786,0.02967007817091204,0.03657573675250551,1.0945961325566718
2022-06-30,1240833000.0,257873000,292740000.0,7813696000,5865933000.0,0.0,79842000.0,728826000.0,8495000.0,-21093000.0,193306000.0,192353000.0,4122617000.0,1623886000.0,1947763000.0,1614020000.0,0.043961122638120825,0.03300269168393549,0.20782248699059422,0.5873683243434048,0.0,2.5387354777367377,2.5387354777367377,0.03746498456044361,0.04990510460995719,1.334014464113892
