report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,tax_expense,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps
2020-03-31,4618000000.0,84000000,1018000000.0,54266000000,16011000000.0,7967000000.0,1421000000.0,2879000000.0,-179000000.0,1185000000.0,1173000000.0,38184000000.0,27449000000.0,38255000000.0,7967000000.0,10186000000.0,0.005246393104740491,0.0015479305642575462,0.018189692507579038,0.6234300563014292,0.4975954031603273,1.3910889285584174,1.3910889285584174,0.01875944421921645,0.04245558428559513,0.07088607594936709
2020-06-30,5261000000.0,1530000000,1438000000.0,63166000000,17684000000.0,8934000000.0,1772000000.0,,-269000000.0,1184000000.0,1173000000.0,46500000000.0,33729000000.0,45482000000.0,8934000000.0,13048000000.0,0.08651888712960869,0.024221891523921096,0.29081923588671355,,0.5052024428862248,1.378635595481633,1.378635595481633,0.022765411772155908,0.05402359305732963,1.2922297297297298
2020-09-30,5459000000.0,1021000000,1340000000.0,65582000000,18527000000.0,8937000000.0,1314000000.0,3437000000.0,-123000000.0,1190000000.0,1172000000.0,48704000000.0,35246000000.0,47055000000.0,8937000000.0,14158000000.0,0.05510876018783397,0.015568296178829558,0.1870305916834585,0.6296024912987727,0.482377071301344,1.3818305623333145,1.3818305623333145,0.02043243572931597,0.048791144771337024,0.8579831932773109
2020-12-31,6116000000.0,1567000000,1373000000.0,70379000000,20063000000.0,8939000000.0,1712000000.0,3786000000.0,-292000000.0,1189000000.0,1174000000.0,50995000000.0,38447000000.0,50316000000.0,8939000000.0,13083000000.0,0.07810397248666699,0.02226516432458546,0.25621321124918245,0.619032047089601,0.4455465284354284,1.3263713683772467,1.3263713683772467,0.01950866025376888,0.04734156265085167,1.317914213624895
2021-03-31,6033000000.0,1097000000,1373000000.0,72517000000,19441000000.0,8942000000.0,1758000000.0,3758000000.0,225000000.0,1190000000.0,1173000000.0,53432000000.0,41340000000.0,53076000000.0,8942000000.0,13086000000.0,0.056427138521680985,0.015127487347794311,0.1818332504558263,0.6229073429471241,0.4599557635924078,1.2925012094823416,1.2925012094823416,0.018933491457175558,0.04837402670612691,0.9218487394957983
2021-06-30,6238000000.0,1184000000,1297000000.0,73816000000,20905000000.0,8945000000.0,1306000000.0,3714000000.0,-172000000.0,1184000000.0,1175000000.0,53231000000.0,41268000000.0,52911000000.0,8945000000.0,12395000000.0,0.05663716814159292,0.016039882952205483,0.18980442449503046,0.5953831356203911,0.42788806505620663,1.289885625666376,1.289885625666376,0.017570716375853473,0.043450586264656615,1.0
2021-09-30,6182000000.0,1087000000,1312000000.0,74534000000,22090000000.0,7949000000.0,1513000000.0,3618000000.0,-78000000.0,1187000000.0,1174000000.0,54130000000.0,41695000000.0,52444000000.0,7949000000.0,13292000000.0,0.0492077863286555,0.014583948265221242,0.17583306373341961,0.5852474927208023,0.35984608420099595,1.2982371987048806,1.2982371987048806,0.017602704805860413,0.04367655381337594,0.9157540016849199
2021-12-31,6918000000.0,801000000,1402000000.0,75803000000,21727000000.0,8049000000.0,1220000000.0,3966000000.0,95000000.0,1187000000.0,1174000000.0,52574000000.0,43029000000.0,54076000000.0,8049000000.0,9500000000.0,0.03686657154692318,0.010566864108280675,0.11578490893321769,0.5732870771899393,0.37046071708013073,1.2218271398359246,1.2218271398359246,0.018495310211996886,0.047084900591080066,0.6748104465037911
2022-03-31,6483000000.0,509000000,1116000000.0,75805000000,20603000000.0,8222000000.0,1217000000.0,3666000000.0,-120000000.0,1187000000.0,1174000000.0,52382000000.0,43967000000.0,55202000000.0,8222000000.0,7965000000.0,0.02470514002815124,0.006714596662489282,0.07851303408915626,0.5654789449329014,0.3990680968790953,1.191393545158869,1.191393545158869,0.014721984037992217,0.03871639202081526,0.42881213142375735
2022-06-30,6806000000.0,-341000000,1302000000.0,77810000000,19767000000.0,10198000000.0,1250000000.0,3762000000.0,-390000000.0,1187000000.0,1174000000.0,55252000000.0,45095000000.0,58043000000.0,10198000000.0,9306000000.0,-0.01725097384529772,-0.004382470119521913,-0.05010285042609462,0.5527475756685277,0.5159103556432438,1.2252356137044018,1.2252356137044018,0.016733067729083666,0.043450692474553645,-0.2872788542544229
