report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,tax_expense,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps
2022-03-31,377714000.0,79566000,96134000.0,1713981000,1326112000.0,0.0,107419000.0,218880000.0,-15934000.0,48240000.0,46139000.0,1247136000.0,272528000.0,387869000.0,773512000.0,0.059999457059433894,0.04642175146632314,0.21065144527340793,0.5794860661770546,0.0,4.5761756590148535,4.5761756590148535,0.056088136332899836,0.07249312275282932,1.6493781094527362
2022-06-30,461004000.0,114679000,141888000.0,1785693000,1423122000.0,0.0,105237000.0,270961000.0,-22117000.0,48286000.0,46675000.0,1332089000.0,254487000.0,362571000.0,811879000.0,0.08058269073206654,0.06422100551438573,0.24875922985483856,0.5877627959844166,0.0,5.234408830313533,5.234408830313533,0.07945822714206753,0.0997019229553053,2.374994822515843
2022-09-30,495418000.0,124337000,151871000.0,1931221000,1530709000.0,0.0,-18185000.0,290902000.0,-27539000.0,48349000.0,46829000.0,1323457000.0,290988000.0,400512000.0,736047000.0,0.08122837195051444,0.0643825849035403,0.2509739250491504,0.5871849630009406,0.0,4.548149751879802,4.548149751879802,0.07863988637240378,0.09921611488532438,2.5716560838900495
2022-12-31,460012000.0,119090000,136892000.0,2058885000,1668602000.0,0.0,52203000.0,267809000.0,-21674000.0,46533000.0,44237000.0,1410619000.0,316909000.0,390283000.0,737873000.0,0.07137112385098424,0.05784198728923665,0.2588845508378042,0.5821782910011043,0.0,4.4511799917326424,4.4511799917326424,0.0664884148458996,0.08203993522721416,2.5592590204800896
2023-03-31,451065000.0,109802000,124276000.0,2226651000,1776261000.0,0.0,218807000.0,258780000.0,-19771000.0,48655000.0,47234000.0,1622629000.0,315843000.0,450390000.0,917570000.0,0.06181636595072458,0.04931262240916964,0.24342833072838727,0.573708888962788,0.0,5.137454368151265,5.137454368151265,0.05581296754632854,0.06996494321498924,2.2567464803206247
2023-06-30,441128000.0,99504000,112325000.0,2220620000,1839089000.0,0.0,90185000.0,247675000.0,-19364000.0,48756000.0,47489000.0,1632351000.0,250841000.0,381531000.0,940486000.0,0.05410504874967987,0.04480910736641118,0.2255671823144303,0.5614583522242977,0.0,6.507512727185747,6.507512727185747,0.050582720141221824,0.06107643512630438,2.040856509968004
2023-09-30,474867000.0,121163000,135566000.0,2328089000,1944864000.0,0.0,175908000.0,263541000.0,-16692000.0,48792000.0,47780000.0,1735376000.0,250018000.0,383225000.0,1042301000.0,0.06229895766490613,0.05204397254572312,0.2551514424038731,0.5549785518892658,0.0,6.941004247694166,6.941004247694166,0.058230591699887764,0.06970461687809533,2.483255451713396
2023-12-31,454012000.0,96905000,109569000.0,2434353000,2049939000.0,0.0,153313000.0,251123000.0,-22640000.0,48881000.0,47937000.0,1819499000.0,295759000.0,384414000.0,1108476000.0,0.04727213834167748,0.03980729171159647,0.21344149493845976,0.553119741328423,0.0,6.151964944431108,6.151964944431108,0.04500949533613243,0.05344988314286425,1.9824676254577442
2024-03-31,457885000.0,92541000,95487000.0,2578701000,2113557000.0,0.0,248051000.0,252441000.0,-12486000.0,48928000.0,48635000.0,1976492000.0,311880000.0,465144000.0,1286389000.0,0.04378448274638441,0.03588667317381891,0.20210533212487852,0.5513196544984003,0.0,6.3373476978325,6.3373476978325,0.03702910884200999,0.045178341535146674,1.8913709941138
2024-06-30,507431000.0,100366000,116536000.0,2648132000,2195858000.0,0.0,140975000.0,280578000.0,-23682000.0,48945000.0,48687000.0,1997433000.0,295159000.0,452274000.0,1307245000.0,0.0457069628363947,0.037900678667075506,0.1977924092142577,0.5529382319960744,0.0,6.767311855643907,6.767311855643907,0.04400686974818476,0.053070826984258544,2.050587394013689
2024-09-30,620119000.0,144430000,164028000.0,2854740000,2351690000.0,0.0,231703000.0,343443000.0,-29876000.0,48964000.0,48757000.0,2160450000.0,401244000.0,503050000.0,1462350000.0,0.061415407643014175,0.05059304875400211,0.2329069098027959,0.5538340221796139,0.0,5.384379579507731,5.384379579507731,0.057458122280838186,0.069748989024914,2.949718160281023
2024-12-31,621665000.0,1449363000,163307000.0,3617097000,3145767000.0,0.0,167681000.0,344408000.0,1279832000.0,48503000.0,48317000.0,1565053000.0,359760000.0,471330000.0,862946000.0,0.4607343773394533,0.40069785244907724,2.331421263863978,0.5540089919812118,0.0,4.350269624193907,4.350269624193907,0.04514863715294337,0.05191325358807566,29.881924829391995
