report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,debt_to_ebitda
2020-04-30,651962000.0,28632000,34796000.0,3201786000,1835787000.0,0.0,-121243000.0,334402000.0,-5293000.0,-23000.0,130803000.0,130251000.0,1694545000.0,631496000.0,1365999000.0,823006000.0,0.015596580649062228,0.00894250896218548,0.04391666998996874,0.5129163969679215,0.0,2.68338200083611,2.68338200083611,0.01086768447360317,0.018954268659708343,0.2188940620627967,34773000.0,0.0
2020-07-31,902942000.0,86801000,135873000.0,3494027000,2001102000.0,0.0,181305000.0,489501000.0,-37264000.0,-724000.0,130799000.0,130245000.0,1489755000.0,763309000.0,1492925000.0,522998000.0,0.04337659949367898,0.024842681524785012,0.09613131297469826,0.5421178768957474,0.0,1.9517063207691774,1.9517063207691774,0.038887220963089296,0.06789908760273089,0.6636212815082684,135149000.0,0.0
2020-10-31,1117426000.0,143643000,213451000.0,3627920000,2162953000.0,0.0,25342000.0,627354000.0,-60697000.0,-2241000.0,130924000.0,130318000.0,1600813000.0,730878000.0,1464967000.0,481581000.0,0.06641059699401698,0.03959376171470154,0.12854810967348174,0.5614277813474897,0.0,2.1902602075859448,2.1902602075859448,0.05883564135923615,0.09868499223052928,1.0971479637041337,211210000.0,0.0
2021-01-31,1729549000.0,329837000,465708000.0,4185215000,2558566000.0,0.0,717932000.0,1012734000.0,-127183000.0,-2195000.0,130958000.0,130342000.0,2124379000.0,883178000.0,1626649000.0,1150517000.0,0.1289147905506444,0.07881004918504785,0.19070694152059295,0.5855480243693587,0.0,2.4053803423545426,2.4053803423545426,0.11127457012363762,0.18201914666262273,2.518647199865606,463513000.0,0.0
2021-04-30,1226465000.0,144956000,201485000.0,4329831000,2639855000.0,0.0,214109000.0,700314000.0,-49092000.0,-2195000.0,130984000.0,130358000.0,2253452000.0,964814000.0,1689976000.0,1179739000.0,0.054910591680224864,0.03347844292306097,0.11819008288047356,0.5710020261483206,0.0,2.335633603989992,2.335633603989992,0.04653414879241245,0.07632426781016381,1.1066695168875589,199290000.0,0.0
2021-07-31,1450618000.0,208074000,299174000.0,4405098000,2671166000.0,0.0,285663000.0,842686000.0,-83053000.0,-2195000.0,130490000.0,130007000.0,2275307000.0,981354000.0,1733932000.0,1170041000.0,0.07789631943503324,0.04723481747738643,0.14343817600498546,0.5809151685695338,0.0,2.3185384682795402,2.3185384682795402,0.06791540165508236,0.1120012758473266,1.594558970036018,296979000.0,0.0
2021-10-31,1450421000.0,187788000,282074000.0,4572007000,2658455000.0,0.0,158352000.0,829393000.0,-70174000.0,-2195000.0,130742000.0,130187000.0,2311294000.0,1118020000.0,1913552000.0,993591000.0,0.0706380209557807,0.04107342792782251,0.12947137417342963,0.5718291447793433,0.0,2.0673100660095525,2.0673100660095525,0.06169588104305177,0.10610448550003668,1.4363249759067476,279879000.0,0.0
2022-01-31,2129113000.0,434504000,592016000.0,4942478000,2740046000.0,0.0,730984000.0,1236172000.0,-156228000.0,-2197000.0,130871000.0,130289000.0,2614853000.0,1405334000.0,2202432000.0,1259871000.0,0.1585754399743654,0.08791217684732233,0.20407747263766648,0.5806042234489198,0.0,1.8606630167632747,1.8606630167632747,0.11978121096340742,0.21606060628179236,3.3200938328583107,589819000.0,0.0
2022-04-30,1613463000.0,189998000,260347000.0,4697212000,2668050000.0,0.0,-243256000.0,870393000.0,-70327000.0,-2195000.0,128541000.0,128077000.0,2303240000.0,1206891000.0,2029162000.0,649016000.0,0.07121230861490602,0.0404491004451151,0.11775789094636815,0.5394564362492353,0.0,1.908407635817982,1.908407635817982,0.05542585686999011,0.09757950563145368,1.4781120420721794,258152000.0,0.0
2022-07-31,1868328000.0,289521000,391028000.0,4920711000,2857798000.0,0.0,97638000.0,1055476000.0,-111832000.0,-2195000.0,127906000.0,127619000.0,2387094000.0,1207210000.0,2062913000.0,498831000.0,0.10130911981882554,0.05883722901019792,0.1549626189833905,0.5649307830316732,0.0,1.977364335948178,1.977364335948178,0.07946575200209888,0.136828425242092,2.263545103435335,388833000.0,0.0
