report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps
2020-03-31,8000000.0,-124000000,-131000000.0,2067541000,1640874000.0,38930000.0,-106000000.0,,8000000.0,,353105021.0,353105021.0,1249936000.0,134582000.0,426667000.0,38930000.0,1217701000.0,-0.07556948309254702,-0.05997462686350597,-15.5,,0.02372516110316819,9.287542167600423,9.287542167600423,-0.06336029128322002,-0.07798528875987913,-0.35117031088606354
2020-06-30,67000000.0,-117000000,-122000000.0,3486006000,2946885000.0,68136000.0,-24000000.0,,7000000.0,,380531488.0,380531488.0,2796744000.0,161647000.0,539121000.0,68136000.0,2717013000.0,-0.03970294056266193,-0.033562764952211784,-1.7462686567164178,,0.02312136374510712,17.30155214758084,17.30155214758084,-0.03499707114675075,-0.04046406310271139,-0.3074647005295919
2020-09-30,157000000.0,-233000000,-235000000.0,4650873000,2759798000.0,108609000.0,893000000.0,,6000000.0,-1000000.0,394682744.0,394682744.0,3577211000.0,1473561000.0,1891075000.0,108609000.0,3276302000.0,-0.08442646889373788,-0.05009812136345155,-1.484076433121019,,0.03935396721064368,2.4275961429489517,2.4275961429489517,-0.05052814815627087,-0.08192700687175844,-0.5903475729356944
2020-12-31,571000000.0,-273000000,-275000000.0,7337000000,2561000000.0,0.0,1264000000.0,,4000000.0,-2000000.0,397012983.0,397012983.0,6298000000.0,4389000000.0,4776000000.0,,4608000000.0,-0.1065989847715736,-0.03720866839307619,-0.47810858143607704,,0.0,1.4349510138983823,1.4349510138983823,-0.037481259370314844,-0.1073799297149551,-0.6876349431625515
2021-03-31,1937000000.0,1221000000,1266000000.0,12694000000,3838000000.0,0.0,2971000000.0,1744000000.0,4000000.0,-39000000.0,430000000.0,400000000.0,11703000000.0,8441000000.0,8856000000.0,,7735000000.0,0.31813444502344973,0.09618717504332755,0.6303562209602478,0.9003613835828601,0.0,1.3864471034237649,1.3864471034237649,0.09973215692453127,0.32985930171964567,2.83953488372093
2021-06-30,4354000000.0,2780000000,3062000000.0,16153000000,6704000000.0,0.0,4063000000.0,3604000000.0,3000000.0,-283000000.0,429000000.0,402000000.0,10969000000.0,8840000000.0,9449000000.0,,7990000000.0,0.4146778042959427,0.17210425307992325,0.6384933394579697,0.8277446026642168,0.0,1.2408371040723982,1.2408371040723982,0.1895623104067356,0.4567422434367542,6.480186480186481
2021-09-30,4969000000.0,3333000000,3558000000.0,20923000000,10124000000.0,0.0,3276000000.0,4247000000.0,4000000.0,-219000000.0,434000000.0,404000000.0,13425000000.0,9957000000.0,10799000000.0,,8906000000.0,0.329217700513631,0.15929837977345504,0.6707587039645804,0.8546991346347353,0.0,1.3482976800241036,1.3482976800241036,0.1700520957797639,0.3514421177400237,7.679723502304148
2021-12-31,7211000000.0,4868000000,5410000000.0,24669000000,14145000000.0,0.0,3310000000.0,6259000000.0,7000000.0,-542000000.0,443000000.0,410000000.0,16071000000.0,9128000000.0,10524000000.0,,10727000000.0,0.3441498762813715,0.19733268474603755,0.6750797392872001,0.8679794758008598,0.0,1.760626643295355,1.760626643295355,0.21930357939113868,0.3824673029338989,10.988713318284425
2022-03-31,6066000000.0,3657000000,4227000000.0,27609000000,17075000000.0,0.0,2763000000.0,5049000000.0,15000000.0,-572000000.0,431000000.0,405000000.0,16350000000.0,9238000000.0,10534000000.0,,10115000000.0,0.21417276720351391,0.13245680756275127,0.602868447082097,0.8323442136498517,0.0,1.7698636068413076,1.7698636068413076,0.1531022492665435,0.24755490483162518,8.48491879350348
2022-06-30,4749000000.0,2197000000,2447000000.0,26043000000,17985000000.0,0.0,304000000.0,3368000000.0,40000000.0,-277000000.0,419000000.0,396000000.0,13563000000.0,6812000000.0,8058000000.0,,7897000000.0,0.1221573533500139,0.08436048074338594,0.4626237102547905,0.7092019372499474,0.0,1.9910452143276571,1.9910452143276571,0.09395998924855048,0.13605782596608285,5.243436754176611
2022-09-30,3364000000.0,1043000000,1166000000.0,26056000000,17992000000.0,0.0,252000000.0,2264000000.0,58000000.0,-174000000.0,412000000.0,390000000.0,14297000000.0,6807000000.0,8064000000.0,,8348000000.0,0.057970208981769675,0.04002916794596254,0.3100475624256837,0.6730083234244947,0.0,2.100337887468782,2.100337887468782,0.044749769726742404,0.06480658070253446,2.5315533980582523
2022-12-31,5084000000.0,1465000000,1580000000.0,25858000000,19123000000.0,0.0,1662000000.0,3166000000.0,87000000.0,-190000000.0,402000000.0,385000000.0,13431000000.0,4923000000.0,6735000000.0,,9902000000.0,0.07660931862155519,0.0566555804779952,0.2881589299763965,0.6227380015735641,0.0,2.728214503351615,2.728214503351615,0.06110294686363988,0.08262301940072164,3.644278606965174
2023-03-31,1862000000.0,79000000,-366000000.0,24125000000,18863000000.0,0.0,-1225000000.0,1070000000.0,109000000.0,384000000.0,405000000.0,386000000.0,12122000000.0,3499000000.0,5262000000.0,,8923000000.0,0.00418809309229709,0.0032746113989637307,0.04242749731471536,0.5746509129967776,0.0,3.4644184052586455,3.4644184052586455,-0.015170984455958549,-0.019403064199756136,0.19506172839506172
2023-06-30,344000000.0,-1380000000,-1867000000.0,21884000000,16949000000.0,0.0,-915000000.0,-387000000.0,104000000.0,369000000.0,381000000.0,381000000.0,10599000000.0,3123000000.0,4935000000.0,,8459000000.0,-0.08142073278659508,-0.06305976969475416,-4.011627906976744,-1.125,0.0,3.393852065321806,3.393852065321806,-0.08531347102906232,-0.11015399138592247,-3.622047244094488
2023-09-30,1831000000.0,-3630000000,-2012000000.0,19450000000,13455000000.0,0.0,-1600000000.0,-410000000.0,105000000.0,-1672000000.0,381000000.0,381000000.0,10799000000.0,4385000000.0,5995000000.0,,7573000000.0,-0.2697881828316611,-0.18663239074550128,-1.9825232113599127,-0.2239213544511196,0.0,2.462713797035348,2.462713797035348,-0.10344473007712082,-0.14953548866592345,-9.527559055118111
2023-12-31,2811000000.0,217000000,6000000.0,18426000000,13854000000.0,0.0,622000000.0,1882000000.0,103000000.0,147000000.0,380000000.0,380000000.0,10325000000.0,3015000000.0,4572000000.0,,8604000000.0,0.01566334632597084,0.011776837078041898,0.07719672714336535,0.6695126289576663,0.0,3.4245439469320065,3.4245439469320065,0.00032562683165092806,0.00043308791684711995,0.5710526315789474
2024-03-31,167000000.0,-1175000000,-1266000000.0,16729000000,12817000000.0,0.0,-989000000.0,71000000.0,120000000.0,-10000000.0,382000000.0,382000000.0,9600000000.0,2380000000.0,3912000000.0,,8523000000.0,-0.09167511898260124,-0.07023731245143165,-7.0359281437125745,0.4251497005988024,0.0,4.033613445378151,4.033613445378151,-0.07567696813915954,-0.09877506436763674,-3.075916230366492
2024-06-30,241000000.0,-1279000000,-1363000000.0,15680000000,11712000000.0,0.0,-1274000000.0,126000000.0,111000000.0,,384000000.0,384000000.0,9661000000.0,2363000000.0,3968000000.0,,8488000000.0,-0.1092042349726776,-0.08156887755102041,-5.3070539419087135,0.5228215767634855,0.0,4.0884468895471855,4.0884468895471855,-0.08692602040816326,-0.11637636612021858,-3.3307291666666665
2024-09-30,1862000000.0,13000000,-70000000.0,15803000000,11927000000.0,0.0,-1566000000.0,1348000000.0,103000000.0,-8000000.0,399000000.0,385000000.0,9666000000.0,2201000000.0,3876000000.0,,6867000000.0,0.001089963947346357,0.0008226286148199709,0.006981740064446832,0.723952738990333,0.0,4.391640163562017,4.391640163562017,-0.004429538695184459,-0.005869036639557307,0.03258145363408521
2024-12-31,966000000.0,-1120000000,-1246000000.0,14142000000,10901000000.0,0.0,825000000.0,227000000.0,91000000.0,64000000.0,385000000.0,385000000.0,8099000000.0,2206000000.0,3241000000.0,,7025000000.0,-0.10274286762682323,-0.07919671899307029,-1.1594202898550725,0.2349896480331263,0.0,3.671350861287398,3.671350861287398,-0.0881063498797907,-0.11430144023484085,-2.909090909090909
