report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,cogs,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,capex,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2020-03-31,20691000000.0,5796000000.0,5846000000.0,,,0.0,,3358000000.0,,13629000000.0,42000000.0,-713000000.0,,2671000000.0,2633700000.0,,,,,,,,,,0.28012179208351456,0.6586921850079744,,,,,inf,2.169973792587046,,,
2020-04-30,,,,155017000000.0,61294000000.0,27583000000.0,,,,,,,,,,,44226000000.0,33689000000.0,93723000000.0,25393000000.0,2190000000.0,18024000000.0,,,,,0.45001142036740954,1.3127727151295676,1.3127727151295676,,,,,,
2020-07-31,18336000000.0,3626000000.0,4057000000.0,158380000000.0,62978000000.0,30394000000.0,,3452000000.0,,11757000000.0,-26000000.0,-314000000.0,,2665500000.0,2632900000.0,,45892000000.0,36772000000.0,95402000000.0,25062000000.0,5332000000.0,19135000000.0,0.05757566134205595,0.022894304836469252,0.19775305410122165,0.6411976439790575,0.482612975959859,1.248014793864897,1.248014793864897,0.025615608031317086,0.04344985648802639,1.360345151003564,,,
2020-09-30,21082000000.0,3554000000.0,5839000000.0,170693000000.0,64473000000.0,37758000000.0,,8383000000.0,,14110000000.0,-32000000.0,-847000000.0,,2669300000.0,2632500000.0,,57578000000.0,38847000000.0,106220000000.0,32680000000.0,5078000000.0,30781000000.0,0.055123850293921486,0.020821006133819195,0.16857983113556588,0.6692913385826772,0.5856405006747011,1.482173655623343,1.482173655623343,0.03420761249729046,0.0571157476694936,1.3314352077323643,,,
2020-12-31,22475000000.0,1738000000.0,4172000000.0,174894000000.0,63278000000.0,35266000000.0,,8343000000.0,,14661000000.0,-74000000.0,91000000.0,,2677000000.0,2632100000.0,,51237000000.0,42493000000.0,111616000000.0,32635000000.0,2631000000.0,25185000000.0,0.02746610196276747,0.009937447825540041,0.07733036707452726,0.6523248053392658,0.557318499320459,1.205775068834867,1.205775068834867,0.023854448980525345,0.04233641824971586,0.6492342174075457,,,
2021-03-31,22321000000.0,6197000000.0,6648000000.0,172557000000.0,65834000000.0,33613000000.0,,4074000000.0,,15258000000.0,-48000000.0,-1232000000.0,,2672700000.0,2631600000.0,,52533000000.0,40932000000.0,106723000000.0,30263000000.0,3350000000.0,24619000000.0,0.09413069234741926,0.03591277085252989,0.2776309305138659,0.6835715245732719,0.5105720448400523,1.2834212840809147,1.2834212840809147,0.03852639997218311,0.06684967872334006,2.3186291016575,,,
2021-06-30,23312000000.0,6278000000.0,6258000000.0,176440000000.0,69580000000.0,33483000000.0,,5314000000.0,,15725000000.0,-28000000.0,-384000000.0,,2672700000.0,2631600000.0,,53769000000.0,38721000000.0,106860000000.0,30310000000.0,3173000000.0,25306000000.0,0.09022707674619143,0.03558150079347087,0.26930336307481123,0.6745452985586822,0.4812158666283415,1.3886263267994112,1.3886263267994112,0.035468147812287465,0.060720142049037966,2.3489355333557826,,,
2021-09-30,23338000000.0,3667000000.0,6666000000.0,179228000000.0,70272000000.0,33928000000.0,,8290000000.0,,16088000000.0,-7000000.0,-182000000.0,,2670200000.0,2632596969.0,,59889000000.0,44561000000.0,108956000000.0,30130000000.0,3798000000.0,31001000000.0,0.05218294626593807,0.0204599727721115,0.15712571771360015,0.6893478447167709,0.4828096539162113,1.3439779179102802,1.3439779179102802,0.037192849331577654,0.06397312859884836,1.3733053703842408,,,
2021-12-31,9769000000.0,4736000000.0,1371000000.0,182018000000.0,74023000000.0,33751000000.0,,5732000000.0,,8267000000.0,-47000000.0,421000000.0,,2670200000.0,2632596969.0,,60979000000.0,45226000000.0,107995000000.0,29985000000.0,3766000000.0,31608000000.0,0.06398011428880213,0.026019404674262985,0.4847988535162248,0.8462483365748797,0.45595287951042246,1.3483173395834254,1.3483173395834254,0.00753222208792537,0.012721064449681742,1.77364991386413,,,
2022-03-31,23426000000.0,5149000000.0,6428000000.0,178355000000.0,74709000000.0,33148000000.0,,3979000000.0,,15828000000.0,12000000.0,-713000000.0,,2666500000.0,2629615456.0,,60424000000.0,43390000000.0,103646000000.0,28851000000.0,4297000000.0,30388000000.0,0.06892074582714265,0.028869389700316783,0.2197985144711005,0.6756595236062495,0.44369486942670894,1.3925789352385343,1.3925789352385343,0.03604048106304841,0.05959742993037077,1.930995687230452,,,
2022-06-30,24020000000.0,4814000000.0,6172000000.0,177724000000.0,76357000000.0,32597000000.0,,5581000000.0,,16101000000.0,26000000.0,-1026000000.0,,2666500000.0,2629615456.0,,63847000000.0,44821000000.0,101367000000.0,28292000000.0,4305000000.0,32568000000.0,0.06304595518420053,0.02708694380049965,0.20041631973355536,0.6703164029975021,0.426902576057205,1.4244885210057785,1.4244885210057785,0.034728005221579525,0.056647759604970906,1.8053628351771986,,,
2022-09-30,12605000000.0,4458000000.0,3607000000.0,175124000000.0,74599000000.0,32027000000.0,,6284000000.0,,9610000000.0,99000000.0,-637000000.0,,2666500000.0,2629615456.0,,65236000000.0,45543000000.0,100525000000.0,27603000000.0,4424000000.0,34079000000.0,0.05975951420260325,0.02545624814417213,0.353669178897263,0.7623958746529155,0.4293221088754541,1.4324045407636739,1.4324045407636739,0.020596834243164844,0.0338285221240598,1.6718544909056816,,,
2022-12-31,19939000000.0,3520000000.0,4806000000.0,187378000000.0,76804000000.0,39642000000.0,,5350000000.0,,13855000000.0,77000000.0,-613000000.0,,2661300000.0,2620784544.0,,55294000000.0,55802000000.0,110574000000.0,26886000000.0,12756000000.0,22281000000.0,0.04583094630487995,0.018785556468742328,0.176538442248859,0.6948693515221426,0.51614499244831,0.9908963836421634,0.9908963836421634,0.025648688746811258,0.04127234941517957,1.3226618569871866,,,
2023-03-31,20894000000.0,-68000000.0,5846000000.0,195969000000.0,70869000000.0,52907000000.0,,3257000000.0,,14207000000.0,-14000000.0,796000000.0,,2635700000.0,2605500000.0,,64388000000.0,60373000000.0,125100000000.0,34928000000.0,17979000000.0,24613000000.0,-0.0009595168550424022,-0.00034699365716006104,-0.0032545228295204364,0.6799559682205418,0.7465464448489466,1.0665032382025077,1.0665032382025077,0.029831248819966422,0.04723048086866598,-0.025799597829798536,,,
2023-06-30,21519000000.0,5144000000.0,5958000000.0,191686000000.0,76409000000.0,45602000000.0,,4182000000.0,,15057000000.0,109000000.0,-930000000.0,,2625700000.0,2598734075.0,,60567000000.0,54170000000.0,115277000000.0,33901000000.0,11701000000.0,28505000000.0,0.06732191234016935,0.026835553978903,0.23904456526790277,0.6997072354663321,0.5968145113795496,1.1180911943880376,1.1180911943880376,0.0310820821551913,0.04883166271893518,1.9590966218532202,,,
2023-09-30,13488000000.0,26028000000.0,4228000000.0,166061000000.0,71228000000.0,29921000000.0,,7489000000.0,,10340000000.0,234000000.0,-93000000.0,,2549700000.0,2408014158.0,,53703000000.0,44370000000.0,94833000000.0,26051000000.0,3870000000.0,23511000000.0,0.36541809400797437,0.1567375843816429,1.9297153024911031,0.7666073546856464,0.42007356657494244,1.210344827586207,1.210344827586207,0.02546052354255364,0.04179972120337324,10.208259795270031,,,
2023-12-31,21395000000.0,4049000000.0,4307000000.0,167558000000.0,68774000000.0,29332000000.0,,7863000000.0,,14597000000.0,212000000.0,-694000000.0,,2431400000.0,2521751767.0,,53495000000.0,46282000000.0,98784000000.0,25881000000.0,3451000000.0,22927000000.0,0.058873993078779774,0.024164766827009156,0.18924982472540314,0.6822622107969152,0.4264983860179719,1.1558489261483946,1.1558489261483946,0.025704532161997636,0.04390149430208142,1.6652957144032245,,,
2024-03-31,21383000000.0,3255000000.0,6073000000.0,171966000000.0,70020000000.0,33632000000.0,,3657000000.0,,14872000000.0,209000000.0,-459000000.0,,2430100000.0,2408200000.0,,57002000000.0,48725000000.0,101946000000.0,25082000000.0,8550000000.0,26218000000.0,0.04648671808054841,0.018928160217717455,0.15222372913061777,0.6955057756161437,0.48031990859754353,1.169871729091842,1.169871729091842,0.03531512043078283,0.05859028286960213,1.3394510513970619,,,
2024-06-30,22447000000.0,4686000000.0,6457000000.0,181088000000.0,71538000000.0,41491000000.0,,5633000000.0,,15578000000.0,125000000.0,-1062000000.0,,2422000000.0,2406800000.0,,57817000000.0,53933000000.0,109550000000.0,31636000000.0,9855000000.0,25475000000.0,0.06550364841063491,0.025876921717617955,0.20875840869603957,0.6939902882345079,0.5799854622717996,1.0720152782155639,1.0720152782155639,0.03565669729634211,0.05712693202629414,1.93476465730801,,,
