report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,tax_expense,depreciation,shares_diluted,shares_basic,total_liabilities,long_term_debt,short_term_debt,cash,capex,roe,roa,net_margin,debt_equity,roi,roic,eps,fcf_margin
2020-03-31,750000000.0,-59000000.0,-78000000.0,76337000000.0,7402000000.0,9697000000.0,,699000000.0,19000000.0,,141000000.0,141000000.0,68935000000.0,7434000000.0,2263000000.0,848000000.0,,-0.007970818697649283,-0.0007728886385370135,-0.07866666666666666,1.3100513374763578,-0.0010217849797607974,-0.0045616702731153865,-0.41843971631205673,
2020-06-30,718000000.0,118000000.0,146000000.0,84397000000.0,7802000000.0,7273000000.0,,45000000.0,-28000000.0,,139000000.0,139000000.0,76595000000.0,6521000000.0,752000000.0,1048000000.0,,0.01512432709561651,0.0013981539628185836,0.16434540389972144,0.9321968725967701,0.0017299193099280781,0.0096849087893864,0.8489208633093526,
2020-09-30,710000000.0,217000000.0,267000000.0,83631000000.0,7874000000.0,5764000000.0,,-24000000.0,-50000000.0,,140000000.0,139000000.0,75757000000.0,5754000000.0,10000000.0,988000000.0,,0.027559055118110236,0.002594731618658153,0.3056338028169014,0.7320294640589281,0.0031925960469204005,0.01957765068191817,1.55,
2020-12-31,734000000.0,221000000.0,286000000.0,88129000000.0,8050000000.0,5728000000.0,,208000000.0,-65000000.0,,140000000.0,137000000.0,80079000000.0,5728000000.0,,1031000000.0,,0.02745341614906832,0.00250768759432196,0.3010899182561308,0.711552795031056,0.0032452427691225362,0.02075772971403687,1.5785714285714285,
2021-03-31,713000000.0,350000000.0,448000000.0,86291000000.0,8152000000.0,2852000000.0,,159000000.0,-98000000.0,,141000000.0,140000000.0,78139000000.0,2852000000.0,,1064000000.0,,0.0429342492639843,0.004056042924522835,0.4908835904628331,0.34985279685966636,0.0051917349433892295,0.04071246819338423,2.482269503546099,
2021-06-30,749000000.0,328000000.0,421000000.0,88355000000.0,7931000000.0,2854000000.0,,-156000000.0,-93000000.0,,141000000.0,140000000.0,80424000000.0,2854000000.0,,1008000000.0,,0.041356701550876306,0.0037122969837587007,0.4379172229639519,0.3598537384945152,0.004764868994397601,0.03903569772832638,2.326241134751773,
2021-09-30,755000000.0,262000000.0,332000000.0,94529000000.0,7803000000.0,2837000000.0,,202000000.0,-70000000.0,,132870000.0,130769231.0,86726000000.0,2837000000.0,,1050000000.0,,0.03357682942458029,0.0027716362174570767,0.34701986754966885,0.3635781109829553,0.0035121497106707996,0.031203007518796993,1.9718521863475578,
2021-12-31,604000000.0,217000000.0,278000000.0,94616000000.0,7897000000.0,2796000000.0,,429000000.0,-61000000.0,,132870000.0,130769231.0,86719000000.0,2796000000.0,,1236000000.0,,0.027478789413701406,0.002293481018009639,0.35927152317880795,0.35405850322907434,0.0029381922719201826,0.025998316655756103,1.6331752841122902,
2022-03-31,671000000.0,176000000.0,225000000.0,89165000000.0,7036000000.0,2682000000.0,,-710000000.0,-49000000.0,,132912000.0,130935252.0,82129000000.0,2682000000.0,,1466000000.0,,0.025014212620807278,0.0019738686704424383,0.26229508196721313,0.38118249005116545,0.0025234116525542534,0.02315291212183577,1.324184422775972,
2022-06-30,786000000.0,247000000.0,323000000.0,86889000000.0,6435000000.0,2630000000.0,,358000000.0,-76000000.0,,132912000.0,130935252.0,80454000000.0,2630000000.0,,1631000000.0,,0.03838383838383838,0.0028427073622668,0.3142493638676845,0.4087024087024087,0.003717386550656585,0.0356315499172642,1.8583724569640063,
2022-09-30,985000000.0,351000000.0,455000000.0,84143000000.0,5069000000.0,3524000000.0,,393000000.0,-104000000.0,,132446000.0,131443299.0,79074000000.0,3016000000.0,508000000.0,1735000000.0,,0.06924442690866049,0.004171469997504249,0.35634517766497464,0.6952061550601697,0.005407461107875878,0.0529500756429652,2.6501366594687648,
