report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,tax_expense,depreciation,shares_diluted,shares_basic,total_liabilities,long_term_debt,short_term_debt,cash,capex,roe,roa,net_margin,debt_equity,roi,roic,eps,fcf_margin
2022-12-31,866000000.0,334000000.0,430000000.0,85406000000.0,5181000000.0,6235000000.0,,597000000.0,-96000000.0,,147994000.0,146331169.0,80225000000.0,3024000000.0,3211000000.0,1758000000.0,,0.0644663192433893,0.003910732267053837,0.3856812933025404,1.2034356301872224,0.005034775074350748,0.03766643307638402,2.256848250604754,
2023-03-31,990000000.0,324000000.0,409000000.0,91127000000.0,5994000000.0,18100000000.0,,462000000.0,-85000000.0,,132489000.0,131535270.0,85133000000.0,7084000000.0,11016000000.0,1563000000.0,,0.05405405405405406,0.0035554775203836403,0.32727272727272727,3.0196863530196865,0.004488241684681818,0.016975180542873745,2.4454860403505196,
2023-06-30,924000000.0,273000000.0,356000000.0,90761000000.0,5595000000.0,16519000000.0,,-155000000.0,-83000000.0,,132356000.0,131683168.0,85166000000.0,6961000000.0,9558000000.0,1413000000.0,,0.048793565683646116,0.003007899868886416,0.29545454545454547,2.9524575513851654,0.003922389572613788,0.016098399204124085,2.0626189972498414,
2023-09-30,896000000.0,251000000.0,327000000.0,85706000000.0,4972000000.0,10861000000.0,,-178000000.0,-76000000.0,,132655000.0,131891892.0,80734000000.0,6049000000.0,4812000000.0,1228000000.0,,0.050482703137570396,0.002928616432921849,0.28013392857142855,2.1844328238133546,0.0038153688189858353,0.02065306638034485,1.8921261920018093,
2023-12-31,635000000.0,26000000.0,45000000.0,85834000000.0,6406000000.0,9771000000.0,,1122000000.0,-19000000.0,,134500000.0,132889670.0,79428000000.0,6206000000.0,3565000000.0,1443000000.0,,0.004058694973462379,0.0003029102686581075,0.04094488188976378,1.5252887917577271,0.0005242677726774937,0.0027817271434753045,0.19330855018587362,
2024-03-31,784000000.0,138000000.0,167000000.0,79444000000.0,6050000000.0,7121000000.0,,-205000000.0,-29000000.0,,133000000.0,132000000.0,73394000000.0,7121000000.0,,689000000.0,,0.0228099173553719,0.0017370726549519157,0.1760204081632653,1.1770247933884297,0.002102109662151956,0.012679371346139246,1.037593984962406,
2024-06-30,824000000.0,206000000.0,269000000.0,79597000000.0,6161000000.0,8362000000.0,,111000000.0,-63000000.0,,134000000.0,133000000.0,73436000000.0,7112000000.0,1250000000.0,719000000.0,,0.03343613049829573,0.002588037237584331,0.25,1.357247200129849,0.0033795243539329373,0.01852234386834676,1.537313432835821,
2024-09-30,811000000.0,184000000.0,,79663000000.0,7366000000.0,6786000000.0,1015000000.0,1049000000.0,51000000.0,23000000.0,,,72297000000.0,6786000000.0,0.0,6393000000.0,-34000000.0,0.024979636166168884,0.00230972973651507,0.22688039457459927,0.9212598425196851,,,,1.25154130702836
2024-12-31,825000000.0,170000000.0,,79297000000.0,6543000000.0,6673000000.0,-389000000.0,-354000000.0,47000000.0,26000000.0,133361000.0,132520325.0,72754000000.0,6673000000.0,0.0,6804000000.0,-35000000.0,0.025981965459269448,0.0021438389850814026,0.20606060606060606,1.0198685618217942,,,1.27473549238533,-0.4715151515151515
2025-03-31,829000000.0,172000000.0,,77622000000.0,7052000000.0,6958000000.0,266000000.0,273000000.0,53000000.0,25000000.0,132700000.0,130952381.0,70570000000.0,5733000000.0,1225000000.0,5792000000.0,-7000000.0,0.024390243902439025,0.0022158666357475973,0.2074788902291918,0.9866704480998298,,,1.2961567445365485,0.3208685162846803
2025-06-30,849000000.0,199000000.0,,77988000000.0,6860000000.0,8687000000.0,449000000.0,476000000.0,45000000.0,25000000.0,131731000.0,130769231.0,71128000000.0,5762000000.0,2925000000.0,5288000000.0,-27000000.0,0.029008746355685133,0.002551674616607683,0.23439340400471143,1.2663265306122449,,,1.5106542879048972,0.5288574793875147
2025-09-30,838000000.0,176000000.0,,77376000000.0,7429000000.0,5422000000.0,-302000000.0,-270000000.0,51000000.0,24000000.0,129802000.0,128676471.0,69947000000.0,5422000000.0,0.0,5039000000.0,-32000000.0,0.02369094090725535,0.002274607113316791,0.2100238663484487,0.7298425090860142,,,1.3559113110737893,-0.360381861575179
2025-12-31,,,,,,0.0,,,,,129714000.0,128125000.0,,,,,,,,,,,,,
