report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,cogs,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2020-03-31,978241000.0,491053000.0,273816000.0,55007247000.0,36775870000.0,15676592000.0,,679093000.0,,704049000.0,-75642000.0,-30913000.0,-345970000.0,723983000.0,698272000.0,2783395000.0,2554785000.0,18231377000.0,15676592000.0,,807871000.0,0.013352586900051583,0.008927060101735322,0.501975484568731,0.7197091514258757,0.42627385837507037,1.089483068046822,1.089483068046822,0.004977816832025787,0.00522026973681426,0.6782659261336247,-72154000.0,,-217.2657371732683
2020-06-30,1266124000.0,406173000.0,481632000.0,55221857000.0,36746209000.0,15666872000.0,,676256000.0,,952470000.0,-81298000.0,-46511000.0,-398195000.0,765830000.0,737992000.0,2497637000.0,2808776000.0,18475648000.0,15666872000.0,,549129000.0,0.011053466767143244,0.007355294118414018,0.3208003323529133,0.7522722892860415,0.42635342328782816,0.8892261255436532,0.8892261255436532,0.008721763920398404,0.009189156424519292,0.5303696642858076,83437000.0,,187.76887951388474
2020-09-30,1082773000.0,302694000.0,313386000.0,55759598000.0,36489307000.0,16518126000.0,,977986000.0,,791492000.0,-80711000.0,-12154000.0,-400738000.0,764619000.0,738194000.0,2697380000.0,2752165000.0,19270291000.0,16518126000.0,,940193000.0,0.008295416517501963,0.005428554201556475,0.2795544403120506,0.7309860884968502,0.45268401507323774,0.9800938533845173,0.9800938533845173,0.005620305942664795,0.005912114250090171,0.39587559294236735,-87352000.0,,-189.09842934334645
2020-12-31,1111597000.0,281894000.0,332973000.0,56065005000.0,36324580000.0,16849076000.0,,603670000.0,,820620000.0,-76856000.0,-40880000.0,-417066000.0,763224000.0,738834000.0,1668810000.0,2891349000.0,19740425000.0,16849076000.0,,598086000.0,0.00776042007918605,0.005027984925712573,0.25359370347347104,0.7382351697602638,0.4638477857142464,0.5771734923732832,0.5771734923732832,0.005939052355386395,0.006261991840470778,0.36934635179187236,-84093000.0,,-200.36240828606424
2021-03-31,1148316000.0,367347000.0,341931000.0,55732809000.0,36385203000.0,16503458000.0,,816694000.0,,820982000.0,-71281000.0,-25717000.0,-397575000.0,764958000.0,738998000.0,1731825000.0,2844148000.0,19347606000.0,16503458000.0,,676074000.0,0.010096054706634452,0.006591216315689381,0.31990061969005046,0.7149443184628621,0.4535760869604053,0.6089081862125318,0.6089081862125318,0.0061351833172449645,0.0064651097897902915,0.48021852180119695,-55644000.0,,-296.59007260441376
2021-06-30,1150842000.0,600176000.0,386338000.0,56441385000.0,36480804000.0,16985305000.0,,649209000.0,,860610000.0,-68412000.0,-49195000.0,-392736000.0,764029000.0,739214000.0,1293518000.0,2975276000.0,19960581000.0,16985305000.0,,601446000.0,0.01645183039277314,0.010633615741357162,0.5215103376484348,0.7478089955006856,0.4655956869810216,0.43475563275474277,0.43475563275474277,0.006844941880855688,0.007225848434192209,0.7855408629777142,-6398000.0,,-2654.783526101907
2021-09-30,1183049000.0,723538000.0,411864000.0,57016670000.0,36757474000.0,17135668000.0,,-956280000.0,,874053000.0,-63638000.0,-59435000.0,-390806000.0,764945000.0,739439000.0,1156742000.0,3123528000.0,20259196000.0,17135668000.0,,585071000.0,0.01968410560529812,0.012689937872555518,0.6115875166624544,0.7388138614715029,0.4661818709305215,0.37033188112928717,0.37033188112928717,0.007223571632647084,0.0076422339599350134,0.9458693108654871,21058000.0,,813.7367271345806
2021-12-31,1277233000.0,1330454000.0,477276000.0,58486220000.0,37742210000.0,17715054000.0,,-153453000.0,,955308000.0,-62897000.0,-39911000.0,-396825000.0,765848000.0,740105000.0,1225805000.0,3028956000.0,20744010000.0,17715054000.0,,556117000.0,0.03525108890019954,0.022748161874711684,1.0416689828715668,0.7479512352092375,0.46936981167769454,0.40469554526378065,0.40469554526378065,0.008160486350459989,0.008606194492393278,1.7372298419529724,80451000.0,,220.19681545288435
2022-03-31,1219128000.0,1150785000.0,410761000.0,59779871000.0,38462202000.0,18368538000.0,,201891000.0,,891643000.0,-64064000.0,-29222000.0,-396647000.0,764945000.0,739439000.0,2286414000.0,2949131000.0,21317669000.0,18368538000.0,,1912750000.0,0.029919893821991783,0.019250376100677768,0.9439410791975904,0.731377673222172,0.477573748897684,0.775283973482358,0.775283973482358,0.0068712259348970494,0.007227796083598419,1.5044022772879095,14114000.0,,1301.4409805866514
2022-06-30,1252080000.0,611393000.0,427515000.0,59763817000.0,38873938000.0,18040832000.0,,-18424000.0,,924563000.0,-60293000.0,-49834000.0,-402313000.0,766074000.0,740637000.0,841132000.0,2849047000.0,20889879000.0,18040832000.0,,437515000.0,0.01572758077661183,0.010230153137641794,0.48830186569548273,0.7384216663471983,0.4640855269152305,0.29523275677796823,0.29523275677796823,0.0071534085582251215,0.007511494819358842,0.798086085678407,25202000.0,,715.8492183160066
