report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,tax_expense,shares_diluted,shares_basic,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,debt_equity,roi,roic,eps
2020-03-31,29621000000.0,1523000000,2284000000.0,82399000000,31693000000.0,21683000000.0,2515000000.0,-566000000.0,256400000.0,252400000.0,50706000000.0,20608000000.0,1075000000.0,5345000000.0,0.04805477550247689,0.018483234019830336,0.05141622497552412,0.6841573849114947,0.02771878299493926,0.042790767386091125,5.9399375975039
2020-06-30,29264000000.0,2276000000,3353000000.0,87976000000,34455000000.0,21476000000.0,5510000000.0,-873000000.0,255400000.0,252200000.0,53521000000.0,21476000000.0,0.0,6028000000.0,0.0660571760267015,0.025870692006910976,0.0777747402952433,0.6233057611377159,0.03811266709102482,0.059948865566501586,8.911511354737666
2020-09-30,31158000000.0,222000000,617000000.0,86574000000,33921000000.0,20843000000.0,-1150000000.0,-167000000.0,254200000.0,251000000.0,52653000000.0,20693000000.0,150000000.0,3984000000.0,0.006544618377995932,0.002564280268902904,0.007124975929135375,0.6144571209575189,0.007126851017626539,0.011266525454678256,0.8733280881195908
2020-12-31,31824000000.0,551000000,804000000.0,86615000000,33199000000.0,20035000000.0,3813000000.0,-60000000.0,251200000.0,247600000.0,53416000000.0,20035000000.0,,5741000000.0,0.016596885448356878,0.00636148473128211,0.017313976872800403,0.6034820325913431,0.00928245684927553,0.01510312957884059,2.1934713375796178
2021-03-31,32385000000.0,1665000000,2368000000.0,95683000000,33918000000.0,23234000000.0,2505000000.0,-509000000.0,248200000.0,245000000.0,61765000000.0,23234000000.0,,9326000000.0,0.04908897930302494,0.01740121024633425,0.05141269106067624,0.6850050120879769,0.0247483879058976,0.04143337066069429,6.708299758259468
2021-06-30,33851000000.0,1793000000,2563000000.0,96097000000,35046000000.0,23241000000.0,1683000000.0,-552000000.0,247400000.0,244500000.0,61051000000.0,23066000000.0,175000000.0,5258000000.0,0.05116133082234777,0.018658230746017045,0.05296741602906856,0.6631569936654682,0.026670967876208415,0.04397206924357061,7.247372675828617
2021-09-30,35822000000.0,1509000000,2197000000.0,98060000000,35808000000.0,22785000000.0,2504000000.0,-494000000.0,246000000.0,243400000.0,62252000000.0,22610000000.0,175000000.0,5490000000.0,0.04214142091152815,0.015388537630022436,0.04212495114733962,0.6363103217158177,0.0224046502141546,0.03749594661478334,6.134146341463414
2021-12-31,36581000000.0,1191000000,1686000000.0,97460000000,36128000000.0,23031000000.0,1672000000.0,-291000000.0,240400000.0,237958704.0,61332000000.0,22756000000.0,275000000.0,4880000000.0,0.032966120460584586,0.012220398112045968,0.03255788524097209,0.6374833923826395,0.017299404884054997,0.02849946753663855,4.954242928452579
2022-03-31,38095000000.0,1789000000,2507000000.0,100486000000,36031000000.0,23255000000.0,2541000000.0,-527000000.0,245500000.0,241770746.0,64455000000.0,22980000000.0,275000000.0,6161000000.0,0.049651688823513083,0.01780347511096073,0.04696154350964694,0.645416446948461,0.024948749079473757,0.04228654319738218,7.287169042769857
2022-06-30,38632000000.0,1637000000,2330000000.0,100877000000,35867000000.0,23588000000.0,2452000000.0,-488000000.0,245500000.0,241770746.0,65010000000.0,23413000000.0,175000000.0,6456000000.0,0.045640839769147123,0.01622768321817659,0.042374197556429904,0.6576518805587309,0.023097435490746155,0.03918930283407619,6.6680244399185336
