report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,debt_to_ebitda
2020-03-31,1901864000.0,122344000,201579000.0,3509967000,2037145000.0,0.0,165000000.0,615136000.0,4807000.0,-44464000.0,-12660000.0,171450000.0,168735000.0,2618817000.0,1159178000.0,1472822000.0,1111973000.0,0.06005659881844444,0.03485616816340439,0.0643284693332436,0.3234384793024107,0.0,2.2592017791918066,2.2592017791918066,0.05743045447435831,0.09895171919524628,0.7135841353164187,188919000.0,0.0
2020-06-30,2411078000.0,183869000,289001000.0,3810177000,2161598000.0,0.0,186721000.0,749591000.0,2559000.0,-66794000.0,-14109000.0,169290000.0,166767000.0,2858271000.0,1288069000.0,1648579000.0,1180455000.0,0.08506160719985863,0.04825733817615297,0.07626007951629935,0.31089454592510074,0.0,2.219035626197044,2.219035626197044,0.07584975711102135,0.13369784761088788,1.0861184948904248,274892000.0,0.0
2020-09-30,2348713000.0,191307000,294429000.0,4358554000,2504473000.0,0.0,161568000.0,734379000.0,1504000.0,-62710000.0,-15851000.0,170735000.0,168310000.0,3409902000.0,1496708000.0,1854081000.0,1465510000.0,0.07638612993631794,0.04389230923833914,0.08145184192364073,0.31267294045717803,0.0,2.278268038922756,2.278268038922756,0.0675519908666957,0.11756125939469102,1.1204908191056315,278578000.0,0.0
2020-12-31,2980835000.0,198620000,155428000.0,4927503000,2663227000.0,0.0,141660000.0,-709519000.0,1326000.0,-84382000.0,-14339000.0,172109000.0,169520000.0,3963544000.0,1893043000.0,2264276000.0,1527791000.0,0.07457869719704704,0.04030844831550585,0.06663233624135519,-0.23802692869615394,0.0,2.093742191804412,2.093742191804412,0.03154295390586267,0.058360778108662914,1.1540361050264658,141089000.0,0.0
2021-03-31,3198820000.0,287220000,430795000.0,5454997000,2878650000.0,0.0,355829000.0,951536000.0,1946000.0,-102511000.0,-12987000.0,171551000.0,169214000.0,4494195000.0,2195022000.0,2576347000.0,1793393000.0,0.09977593663696524,0.05265264123884945,0.089789359826436,0.297464690104476,0.0,2.047448727165377,2.047448727165377,0.07897254572275658,0.14965174647838397,1.6742543033849993,417808000.0,0.0
2021-06-30,3609093000.0,316372000,456011000.0,5953171000,3083651000.0,0.0,30297000.0,1010460000.0,2188000.0,-98508000.0,-12675000.0,171531000.0,169347000.0,4985262000.0,2485226000.0,2869520000.0,1674121000.0,0.10259656491606865,0.05314344237718016,0.08765969732561615,0.2799761602153228,0.0,2.0059592165863385,2.0059592165863385,0.07659968107752994,0.1478802237996453,1.8444013035544595,443336000.0,0.0
2021-09-30,4319261000.0,359068000,536367000.0,7076383000,3420592000.0,0.0,177371000.0,614160000.0,2462000.0,-132922000.0,-12753000.0,171565000.0,169633000.0,6111539000.0,3275482000.0,3655791000.0,1820106000.0,0.10497247260123393,0.050741741932283764,0.08313181352087776,0.14219099054213208,0.0,1.8658441719417174,1.8658441719417174,0.07579677357768792,0.15680531323232938,2.092897735552123,523614000.0,0.0
2021-12-31,5396343000.0,452832000,486153000.0,7609929000,3497991000.0,0.0,304997000.0,12818301000.0,1800000.0,-171830000.0,-12897000.0,171613000.0,170338000.0,6635045000.0,3726297000.0,4111938000.0,1728692000.0,0.129454878528847,0.05950541719903037,0.08391460661414592,2.3753680965053556,0.0,1.780600150766297,1.780600150766297,0.06388403886554,0.13898063202563987,2.6386812187887863,473256000.0,0.0
2022-03-31,4664298000.0,346109000,461760000.0,7955993000,3849331000.0,0.0,413946000.0,609247000.0,,-121699000.0,-12975000.0,170293000.0,168393000.0,6962729000.0,3721972000.0,4106662000.0,2139626000.0,0.08991406558698121,0.043502929175528435,0.07420387805410375,0.13061922715915664,0.0,1.8707096668110346,1.8707096668110346,0.05803926675149161,0.1199585070756451,2.032432337207049,448785000.0,0.0
2022-06-30,4603312000.0,377805000,505982000.0,7361142000,3535263000.0,0.0,558646000.0,,2662000.0,-126582000.0,-14254000.0,166474000.0,165092000.0,6330149000.0,3411066000.0,3825879000.0,1976971000.0,0.10686757958318802,0.051324237462067705,0.08207242958982576,,0.0,1.8557685486003497,1.8557685486003497,0.06873688892294158,0.14312428806569696,2.2694534882323967,491728000.0,0.0
