report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,cogs,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,capex,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2020-03-31,4789000000.0,438000000.0,469000000.0,30845000000.0,14291000000.0,8429000000.0,,323000000.0,,1487000000.0,-34000000.0,-183000000.0,,411100000.0,409300000.0,8670000000.0,4944000000.0,16554000000.0,7842000000.0,587000000.0,417000000.0,,0.030648659995801554,0.014200032420165343,0.0914595949049906,0.31050323658383794,0.5898117696452313,1.7536407766990292,1.7536407766990292,0.015205057545793484,0.020642605633802817,1.0654342009243494,,,
2020-06-30,3856000000.0,51000000.0,162000000.0,30348000000.0,14237000000.0,8268000000.0,,757000000.0,,979000000.0,-38000000.0,7000000.0,,401300000.0,400400000.0,8213000000.0,5489000000.0,16111000000.0,6906000000.0,1362000000.0,496000000.0,,0.003582215354358362,0.0016805061289047055,0.013226141078838174,0.2538900414937759,0.5807403245065674,1.4962652577883038,1.4962652577883038,0.005338078291814947,0.007198400355476561,0.1270869673560927,,,
2020-09-30,4526000000.0,446000000.0,589000000.0,30985000000.0,14520000000.0,8201000000.0,,921000000.0,,1475000000.0,-41000000.0,-78000000.0,,402300000.0,400400000.0,8671000000.0,5805000000.0,16465000000.0,6948000000.0,1253000000.0,763000000.0,,0.03071625344352617,0.014394061642730353,0.09854175872735307,0.32589482987185153,0.5648071625344353,1.493712316968131,1.493712316968131,0.01900919799903179,0.025923154790722238,1.1086254039274173,,,
2020-12-31,4687000000.0,475000000.0,604000000.0,31824000000.0,14975000000.0,8058000000.0,,943000000.0,,1509000000.0,-36000000.0,-77000000.0,,401300000.0,398700000.0,9178000000.0,5881000000.0,16849000000.0,7010000000.0,1048000000.0,1102000000.0,,0.03171953255425709,0.014925842131724485,0.10134414337529336,0.32195434179645827,0.5380968280467445,1.560618942356742,1.560618942356742,0.01897938662644545,0.026223244909477705,1.1836531273361575,,,
2021-03-31,4692000000.0,458000000.0,565000000.0,34080000000.0,15039000000.0,10158000000.0,,260000000.0,,1508000000.0,-38000000.0,-79000000.0,,400900000.0,398300000.0,9905000000.0,6581000000.0,19041000000.0,8682000000.0,1476000000.0,1299000000.0,,0.030454152536737816,0.013438967136150235,0.09761295822676896,0.3213981244671782,0.675443846000399,1.5050904117915211,1.5050904117915211,0.016578638497652582,0.022423304361630352,1.1424295335495136,,,
2021-06-30,5215000000.0,506000000.0,640000000.0,36804000000.0,15451000000.0,12102000000.0,,637000000.0,,1670000000.0,-37000000.0,-114000000.0,,401400000.0,398900000.0,9789000000.0,8906000000.0,21353000000.0,8721000000.0,3381000000.0,540000000.0,,0.03274868940521649,0.013748505597217693,0.09702780441035475,0.3202301054650048,0.7832502750631027,1.0991466427127778,1.0991466427127778,0.017389414194109335,0.023227960657641634,1.260587942202292,,,
2021-09-30,4923000000.0,629000000.0,599000000.0,34128000000.0,16015000000.0,9064000000.0,,471000000.0,,1585000000.0,-37000000.0,-483000000.0,,401900000.0,398900000.0,7487000000.0,5914000000.0,18113000000.0,8520000000.0,544000000.0,660000000.0,,0.03927567905088979,0.01843061415846226,0.1277676213690839,0.3219581555961812,0.5659694036840462,1.265979032803517,1.265979032803517,0.017551570557899673,0.023884524901311856,1.5650659368001991,,,
2021-12-31,4798000000.0,551000000.0,659000000.0,34027000000.0,16451000000.0,8579000000.0,,795000000.0,,1572000000.0,-32000000.0,-74000000.0,,404200000.0,399500000.0,7511000000.0,7212000000.0,17576000000.0,6831000000.0,1748000000.0,568000000.0,,0.0334934046562519,0.016193023187468774,0.11483951646519383,0.3276365152146728,0.5214880554373594,1.0414586799778147,1.0414586799778147,0.019366973285920006,0.026328405912904515,1.3631865413161801,,,
2022-03-31,4843000000.0,532000000.0,619000000.0,35208000000.0,16657000000.0,9607000000.0,,42000000.0,,1574000000.0,-32000000.0,-86000000.0,,402100000.0,398900000.0,8194000000.0,8256000000.0,18551000000.0,6763000000.0,2844000000.0,505000000.0,,0.03193852434411959,0.015110202226766643,0.10984926698327482,0.3250051620896139,0.5767545176202197,0.9924903100775194,0.9924903100775194,0.017581231538286755,0.02356838257691136,1.3230539666749566,,,
2022-06-30,5212000000.0,602000000.0,711000000.0,35151000000.0,16417000000.0,9699000000.0,,1143000000.0,,1707000000.0,-31000000.0,-119000000.0,,400700000.0,400700000.0,8686000000.0,8974000000.0,18735000000.0,6277000000.0,3422000000.0,623000000.0,,0.03666930620698057,0.017126113055105117,0.11550268610897928,0.3275134305448964,0.5907900347201072,0.9679072877200803,0.9679072877200803,0.02022702056840488,0.02722468984530556,1.5023708510107312,,,
