report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,cogs,gross_profit,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,cash,capex,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2020-03-31,1099500000.0,313500001.0,283000001.0,9891100000.0,8530500000.0,0.0,,352799999.0,,738200001.0,8100000.0,,359400000.0,349200000.0,4691500000.0,945900000.0,1360600000.0,3253400000.0,,0.03675048367622062,0.03169516039672028,0.28512960527512504,0.6713960900409277,0.0,4.959826620150122,4.959826620150122,0.028611580208470242,0.033175077779731554,0.8722871480244853,,,
2020-06-30,852100000.0,68000000.0,80600000.0,10103600000.0,8766400000.0,0.0,,229899999.0,,502900000.0,-37000000.0,,359100000.0,350400000.0,5899000000.0,924800000.0,1337200000.0,4488300000.0,,0.007756889943420332,0.006730274357654697,0.07980284004224857,0.5901889449595118,0.0,6.3786764705882355,6.3786764705882355,0.00797735460627895,0.009194196021171747,0.1893622946254525,,,
2020-09-30,1077700000.0,313900000.0,270400000.0,10617500000.0,9286700000.0,0.0,,274600002.0,,724300000.0,-38400000.0,,361800000.0,351900000.0,6300300000.0,894700000.0,1330800000.0,4718200000.0,,0.03380102727556613,0.02956439839886979,0.2912684420525192,0.6720794284123597,0.0,7.041801721247346,7.041801721247346,0.025467388744996468,0.02911690912810794,0.8676064123825318,,,
2020-12-31,1329100000.0,365200000.0,415800000.0,11168900000.0,9759100000.0,0.0,,627500000.0,,895800000.0,-72900000.0,,363300000.0,352500000.0,6625900000.0,965200000.0,1409800000.0,5111400000.0,,0.03742148353844105,0.03269793802433543,0.27477240237754874,0.673989917989617,0.0,6.8647948611686695,6.8647948611686695,0.03722837522047829,0.04260638788412866,1.0052298375997797,,,
2021-03-31,1292100000.0,426300000.0,416800000.0,11540400000.0,10190200000.0,0.0,,477600000.0,,902600000.0,-13600000.0,,363900000.0,354300000.0,6066400000.0,904600000.0,1350200000.0,4557500000.0,,0.04183431139722479,0.036939794114588746,0.3299280241467379,0.698552743595697,0.0,6.706168472252929,6.706168472252929,0.03611659907802156,0.040902043139486956,1.1714756801319044,,,
2021-06-30,1464000000.0,517200000.0,511200000.0,12297000000.0,10879500000.0,0.0,,542700000.0,,1023700000.0,-3200000.0,,364800000.0,355800000.0,6016600000.0,1004600000.0,1417500000.0,4439200000.0,,0.04753894940024817,0.042059038789948766,0.35327868852459016,0.6992486338797814,0.0,5.989050368305794,5.989050368305794,0.04157111490607465,0.04698745346753068,1.417763157894737,,,
2021-09-30,1403300000.0,380500000.0,442600000.0,12934600000.0,11459500000.0,0.0,,501400000.0,,971400000.0,-73900000.0,,366800000.0,356800000.0,5728000000.0,1027300000.0,1475100000.0,4088200000.0,,0.03320389196736332,0.02941722202464707,0.27114658305422934,0.6922254685384451,0.0,5.5757811739511345,5.5757811739511345,0.03421829820790747,0.038622976569658365,1.0373500545256271,,,
2021-12-31,1550700000.0,380600000.0,450400000.0,13555000000.0,11951500000.0,0.0,,567700000.0,,1060800000.0,-71500000.0,,371700000.0,360299996.0,5844900000.0,1149800000.0,1603500000.0,4204000000.0,,0.03184537505752416,0.028078199926226486,0.24543754433481654,0.6840781582511124,0.0,5.0834058097060355,5.0834058097060355,0.033227591294725196,0.03768564615320253,1.0239440408931935,,,
2022-03-31,1487700000.0,365600000.0,408100000.0,13678400000.0,12156900000.0,0.0,,223000000.0,,1009700000.0,-33000000.0,,367400000.0,357500000.0,5803200000.0,1112200000.0,1521500000.0,3985600000.0,,0.03007345622650511,0.026728272312551177,0.24574847079384285,0.6786986623647241,0.0,5.217766588743032,5.217766588743032,0.029835360860919407,0.0335694132550239,0.995100707675558,,,
2022-06-30,1522100000.0,307800000.0,397600000.0,13705200000.0,12082400000.0,0.0,,446700000.0,,1023300000.0,-93300000.0,,363900000.0,358100000.0,6292500000.0,1175000000.0,1622800000.0,4437400000.0,,0.025475071177911673,0.022458628841607566,0.2022206162538598,0.672294855791341,0.0,5.35531914893617,5.35531914893617,0.029010886378892684,0.03290736939680858,0.8458367683429514,,,
