report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,tax_expense,shares_diluted,shares_basic,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,debt_equity,roi,roic,eps
2020-03-31,18935000000.0,473000000,1074000000.0,34633000000,12355000000.0,8124000000.0,474000000.0,-252000000.0,132811000.0,132135000.0,22278000000.0,6057000000.0,2067000000.0,6054000000.0,0.03828409550789154,0.013657494297346461,0.024980195405334037,0.6575475515985431,0.031010885571564693,0.05244396699057571,3.561451988163631
2020-06-30,19083000000.0,1828000000,2435000000.0,38455000000,14416000000.0,8092000000.0,3067000000.0,-783000000.0,133023000.0,132248000.0,24039000000.0,6058000000.0,2034000000.0,7163000000.0,0.12680355160932297,0.04753608113379274,0.09579206623696483,0.5613207547169812,0.0633207645299701,0.10818375688644037,13.741984468851252
2020-09-30,20075000000.0,1340000000,1823000000.0,38477000000,15768000000.0,7997000000.0,1815000000.0,-450000000.0,133196000.0,132318000.0,22709000000.0,6059000000.0,1938000000.0,7985000000.0,0.08498224251648909,0.034825999948020894,0.06674968866749689,0.5071664129883308,0.04737895366062843,0.07670944666526404,10.060362173038229
2020-12-31,19062000000.0,-274000000,-346000000.0,34969000000,13728000000.0,6660000000.0,283000000.0,178000000.0,133018000.0,132095000.0,21241000000.0,6060000000.0,600000000.0,4673000000.0,-0.01995920745920746,-0.00783551145300123,-0.01437414751862344,0.48513986013986016,-0.009894477966198634,-0.016970767117912497,-2.0598715963253094
2021-03-31,20668000000.0,828000000,1223000000.0,37415000000,14190000000.0,7609000000.0,-837000000.0,-233000000.0,129551000.0,128931000.0,23225000000.0,6062000000.0,1547000000.0,3877000000.0,0.05835095137420719,0.022130161699853,0.040061931488291076,0.5362226920366455,0.032687424829613794,0.05610349098582504,6.391305354647977
2021-06-30,20645000000.0,588000000,1236000000.0,38070000000,14843000000.0,7408000000.0,360000000.0,-183000000.0,129388000.0,128693000.0,23227000000.0,6063000000.0,1345000000.0,3378000000.0,0.03961463316041232,0.015445232466509062,0.028481472511503996,0.499090480361113,0.03246650906225374,0.05554806525549413,4.544470893745943
2021-09-30,20697000000.0,1531000000,628000000.0,45320000000,16282000000.0,12501000000.0,2835000000.0,-120000000.0,129255000.0,128518000.0,29038000000.0,11466000000.0,1035000000.0,4304000000.0,0.09403021741800761,0.0337819947043248,0.07397207324733053,0.7677803709617983,0.013857016769638129,0.021818434492582427,11.844802908978377
2021-12-31,21054000000.0,-14000000,61000000.0,44358000000,16103000000.0,12494000000.0,-96000000.0,51000000.0,125878000.0,127930000.0,28255000000.0,10541000000.0,1953000000.0,3394000000.0,-0.0008694032167919022,-0.00031561386897515666,-0.0006649567778094424,0.7758802707570018,0.0013751747148203256,0.0021330908836591253,-0.11121879915473713
2022-03-31,23970000000.0,930000000,1289000000.0,46308000000,15342000000.0,12975000000.0,302000000.0,-286000000.0,128612000.0,128612000.0,30966000000.0,11285000000.0,1690000000.0,4864000000.0,0.06061791161517403,0.020082923037056232,0.03879849812265332,0.8457176378568635,0.02783536322017794,0.0455203587950701,7.231051534849003
2022-06-30,23662000000.0,696000000,1215000000.0,46820000000,15510000000.0,13222000000.0,959000000.0,-427000000.0,127474000.0,126938000.0,31310000000.0,11290000000.0,1932000000.0,5153000000.0,0.0448742746615087,0.01486544211875267,0.0294142506973206,0.8524822695035461,0.025950448526270823,0.042287345120423224,5.459936928314794
