report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,tax_expense,shares_diluted,shares_basic,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,debt_equity,roi,roic,eps
2020-03-31,4956000000.0,273000000,408000000.0,68724000000,15266000000.0,4349000000.0,298000000.0,-71000000.0,361100000.0,358500000.0,53458000000.0,4349000000.0,0.0,211000000.0,0.017882876981527577,0.003972411384669111,0.05508474576271186,0.284881435870562,0.005936790640824166,0.020800407851134337,0.7560232622542232
2020-06-30,5068000000.0,468000000,649000000.0,70990000000,17072000000.0,4350000000.0,969000000.0,-124000000.0,359300000.0,358100000.0,53918000000.0,4350000000.0,0.0,291000000.0,0.027413308341143392,0.006592477813776588,0.09234411996842937,0.2548031865042174,0.009142132694745739,0.030295957426944263,1.3025327024770388
2020-09-30,5171000000.0,459000000,677000000.0,72319000000,17802000000.0,4351000000.0,1388000000.0,-73000000.0,360500000.0,358300000.0,54517000000.0,4351000000.0,,173000000.0,0.02578361981799798,0.0063468797964573625,0.08876426223167666,0.244410740366251,0.009361302009153888,0.0305601950074482,1.273231622746186
2020-12-31,5328000000.0,537000000,726000000.0,74111000000,18556000000.0,4352000000.0,1216000000.0,-115000000.0,361500000.0,358300000.0,55555000000.0,4352000000.0,,151000000.0,0.028939426600560467,0.007245887924869452,0.10078828828828829,0.23453330459150679,0.009796116635857026,0.03169198533263489,1.4854771784232366
2021-03-31,5299000000.0,249000000,371000000.0,74201000000,17702000000.0,4353000000.0,759000000.0,-54000000.0,362200000.0,358200000.0,56499000000.0,4353000000.0,,176000000.0,0.01406620720822506,0.0033557499225077827,0.04698999811285148,0.24590441757993448,0.004999932615463404,0.01682158240761732,0.6874654886802871
2021-06-30,5589000000.0,905000000,1167000000.0,74732000000,18244000000.0,4354000000.0,838000000.0,-205000000.0,362200000.0,358200000.0,56488000000.0,4354000000.0,,177000000.0,0.04960534970401228,0.012109939517208157,0.16192521023438897,0.238653803990353,0.015615800460311514,0.051641738206920966,2.498619547211485
2021-09-30,5686000000.0,482000000,629000000.0,76290000000,17862000000.0,4943000000.0,1292000000.0,-101000000.0,345600000.0,345600000.0,58428000000.0,4943000000.0,,232000000.0,0.0269846601724331,0.006317997116266876,0.08476960956735842,0.2767327286977942,0.008244855157949928,0.027581670686253015,1.3946759259259258
2021-12-31,5816000000.0,735000000,973000000.0,76578000000,17843000000.0,4944000000.0,1204000000.0,-174000000.0,345600000.0,345600000.0,58735000000.0,4944000000.0,,205000000.0,0.04119262455865045,0.009598056883177936,0.1263755158184319,0.27708345009247326,0.012705999112016506,0.04269978496511169,2.126736111111111
2022-03-31,5393000000.0,443000000,608000000.0,75252000000,15897000000.0,4945000000.0,429000000.0,-98000000.0,344761905.0,334925984.0,59355000000.0,4354000000.0,591000000.0,223000000.0,0.0278668931244889,0.005886886727263063,0.08214351937697015,0.3110649808139901,0.008079519481209801,0.029171864504366183,1.2849447504938227
2022-06-30,5373000000.0,444000000,607000000.0,72402000000,14226000000.0,4355000000.0,974000000.0,-110000000.0,344761905.0,334925984.0,58176000000.0,4355000000.0,,258000000.0,0.03121045972163644,0.006132427281014337,0.0826353992183138,0.3061296218192043,0.008383746305350681,0.03266777891394435,1.2878453029780075
